《1739-0000》,# カンマ区切りテキスト形式です。
《1739-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1739-0020》,# ・表の区画内での改行は“/”で表記します。
《1739-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1739-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1739-0050》,# 外部リンク
《1739-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/180 ～ 185
《1739-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1739g　(GitHub上データを表成型)
《1739-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1739h　(翻刻編集データを表成型 - 未実装)
《1739-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1739-0100》,《版元》,出版地○○,出版元□□□,　
《1739-1980》,《暦日0》,十四／,つちのとのうし,やふる,,とよう夜ねの三刻ニ入,十し
《1739-1990》,《暦日1》,十五／,かのえとら,あやふ,木,初伏, つめとりよし
《1739-2000》,《食記》,月そく八分
《1739-2010》,《暦日1》,十六／,かのとのう,なる,木,　,神よし 天火 らうしやく
《1739-2020》,《暦日2》,十七／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1739-2030》,《暦日0》,十八／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1739-2040》,《節中》,大暑六月中ねの七刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1739-2050》,《暦日2》,十九／,きのえむま,とつ,金,　,●
《1739-2060》,《暦日0》,廿／,きのとのひつし,たつ,,　,大みやう 五む日
《1739-2070》,《暦日2》,廿一／,ひのえさる,のそく,火,　,神よし
《1739-2080》,《暦日0》,廿二／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1739-2090》,《暦日2》,廿三／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1739-2100》,《暦日0》,廿四／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1739-2110》,《暦日2》,廿五／,かのえね,とる,土,中伏,きこ わうまう 下しきたつの時
《1739-2120》,《暦日0》,廿六／,かのとのうし,やふる,,　,十し
《1739-2130》,《暦日2》,廿七／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1739-2140》,《暦日0》,廿八／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1739-2150》,《暦日2》,廿九／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1739-2160》,《暦日0》,卅／,きのとのみ,ひらく,,　,大みやう ちう日
《1739-2170》,《月序》,七月,小,建,壬申,箕宿　參　水よう
《1739-2180》,《暦日2》,一／,ひのえむま,とつ,水,　,●
《1739-2190》,《暦日0》,二／,ひのとのひつし,たつ,,　,くゑ日
《1739-2200》,《暦日1》,三／,つちのえさる,たつ,土,　,天しや よろつよし
《1739-2210》,《節中》,立秋七月せつうの四刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1739-2220》,《暦日1》,四／,つちのとのとり,のそく,土,　,十し
《1739-2230》,《暦日2》,五／,かのえいぬ,みつ,金,末伏,大みやう ふく日
《1739-2240》,《暦日0》,六／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1739-2250》,《暦日2》,七／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1739-2260》,《暦日0》,八／,みつのとのうし,とる,,ま日,●
《1739-2270》,《暦日2》,九／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1739-2280》,《暦日0》,十／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1739-2290》,《暦日2》,十一／,ひのえたつ,なる,土,ま日,大みやう ちいみ わうまう  くさかりよし
《1739-2300》,《暦日0》,十二／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1739-2310》,《暦日2》,十三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1739-2320》,《暦日0》,十四／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1739-2330》,《暦日2》,十五／,かのえさる,たつ,木,　,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《1739-2340》,《暦日0》,十六／,かのとのとり,のそく,,　,十し
《1739-2350》,《暦日2》,十七／,みつのえいぬ,みつ,水,ま日
《1739-2360》,《暦日0》,十八／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1739-2370》,《節中》,処暑七月中むまの一刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1739-2380》,《暦日2》,十九／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1739-2390》,《暦日0》,廿／,きのとのうし,とる,,　,●
《1739-2400》,《暦日2》,廿一／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1739-2410》,《暦日0》,廿二／,ひのとのう,あやふ,,　,神よし  わたましよし
《1739-2420》,《暦日2》,廿三／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1739-2430》,《暦日0》,廿四／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1739-2440》,《暦日2》,廿五／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
