«1728-0000»,【 カンマ区切りテキスト形式です。】
«1728-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1728-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1728-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1728-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1728-0050»,【 外部リンク　】
«1728-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/111 ～ 115】
«1728-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1728h　(翻刻編集終了データを表成型して表示します)】
«1728-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1728ht (翻刻編集中データを表成型して表示します)】
«1728-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1728-0100»,«版元»,出版地○○,出版元□□□,　
«1728-1630»,«暦日2»,十八〳,つちのえたつ,ひらく,木,　,きしく 五む日  かまぬり 田うへよし
«1728-1640»,«暦日0»,十九〳,つちのとのみ,とつ,,　,十し
«1728-1650»,«暦日2»,廿〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1728-1660»,«暦日0»,廿一〳,かのとのひつし,のそく,,　,大みやう  ふねのり 井ほりよし
«1728-1670»,«暦日2»,廿二〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1728-1680»,«暦日0»,廿三〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1728-1690»,«暦日2»,廿四〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1728-1700»,«暦日0»,廿五〳,きのとのい,とる,,はんけしやう,ちう日  むきかり 田うへよし
«1728-1710»,«暦日2»,廿六〳,ひのえね,やふる,水,　,●
«1728-1720»,«暦日0»,廿七〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1728-1730»,«暦日2»,廿八〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1728-1740»,«暦日0»,廿九〳,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
«1728-1750»,«月序»,六月,大,建,己未,壁宿　箕　水よう
«1728-1760»,«暦日2»,一〳,かのえたつ,おさん,金,六月せつとらの三刻ニ入,めつもん  けんふくよし
«1728-1770»,«暦日0»,二〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1728-1780»,«暦日2»,三〳,みつのえむま,とつ,木,　,●
«1728-1790»,«暦日0»,四〳,みつのとのひつし,たつ,,　, たねまきよし
«1728-1800»,«暦日2»,五〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1728-1810»,«暦日0»,六〳,きのとのとり,みつ,,　,神よし ちいみ
«1728-1820»,«暦日2»,七〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1728-1830»,«暦日0»,八〳,ひのとのい,さたん,,　,大みやう ちう日
«1728-1840»,«暦日2»,九〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1728-1850»,«暦日0»,十〳,つちのとのうし,やふる,,　,十し
«1728-1860»,«暦日2»,十一〳,かのえとら,あやふ,木,初伏, やたて  つめとりよし
«1728-1870»,«暦日0»,十二〳,かのとのう,なる,,　,神よし 天火 らうしやく
