《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2220》,《暦日2》,三／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《2230》,《暦日0》,四／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《2240》,《暦日2》,五／,みつのえさる,たつ,金,　,神よし きしく 大みやう 下しきみの時
《2250》,《暦日0》,六／,みつのとのとり,のそく,,　,十し
《2260》,《暦日2》,七／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《2270》,《暦日0》,八／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2280》,《暦日1》,九／,ひのえね,さたん,水,　, 田かりよし
《2290》,《節中》,処暑七月中たつの初刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2300》,《暦日1》,十／,ひのとのうし,とる,水,　,●
《2310》,《暦日2》,十一／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2320》,《暦日0》,十二／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《2330》,《暦日2》,十三／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《2340》,《暦日0》,十四／,かのとのみ,おさん,,　,大くわ ちう日
《2350》,《暦日2》,十五／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《2360》,《暦日0》,十六／,みつのとのひつし,とつ,,　
《2370》,《暦日2》,十七／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2380》,《暦日0》,十八／,きのとのとり,のそく,,　,十し
《2390》,《暦日2》,十九／,ひのえいぬ,みつ,土,　,五む日
《2400》,《暦日0》,廿／,ひのとのい,たいら,,二百十日,大みやう ちう日 めつもん 地火
《2410》,《暦日2》,廿一／,つちのえね,さたん,火,　, けんふく くさかりよし
《2420》,《暦日0》,廿二／,つちのとのうし,とる,,　,●
《2430》,《暦日2》,廿三／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2440》,《暦日0》,廿四／,かのとのう,やふる,,　,ふく日  田かりよし
《2450》,《節中》,白露八月せつむまの六刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2460》,《暦日2》,廿五／,みつのえたつ,あやふ,水,　,大みやう 五む日
《2470》,《暦日0》,廿六／,みつのとのみ,なる,,天一天上,十し
《2480》,《暦日2》,廿七／,きのえむま,おさん,金,　,めつもん
《2490》,《暦日0》,廿八／,きのとのひつし,ひらく,,　,●
《2500》,《暦日1》,廿九／,ひのえさる,とつ,火,　,神よし
《2510》,《月序》,八月,大,建,乙酉,危宿　觜　火よう
《2520》,《暦日1》,一／,ひのとのとり,たつ,火,二百廿日,天火 らうしやく 下しきむまの時
《2530》,《暦日2》,二／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《2540》,《暦日0》,三／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2550》,《暦日2》,四／,かのえね,たいら,土,　,神よし きしく 大くわ 地火
《2560》,《暦日0》,五／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2570》,《暦日2》,六／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2580》,《暦日0》,七／,みつのとのう,やふる,,　, くらたて 田かりよし
《2590》,《暦日2》,八／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2600》,《暦日0》,九／,きのとのみ,なる,,　,十し
《2610》,《暦日1》,十／,ひのえむま,おさん,水,　,大みやう めつもん
《2620》,《節中》,秋分八月中とりの二刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2630》,《暦日1》,十一／,ひのとのひつし,ひらく,水,　,●
《2640》,《暦日2》,十二／,つちのえさる,とつ,土,社日/ひかんニなる,天しや よろつよし
《2650》,《暦日0》,十三／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
