《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/182 ～ 186
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1847g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1847h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《2210》,《暦日0》,四／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2220》,《暦日2》,五／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2230》,《暦日0》,六／,みつのとのひつし,とつ,,　,天おん 母倉 わうまう
《2240》,《暦日2》,七／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2250》,《暦日0》,八／,きのとのとり,のそく,,　,十し
《2260》,《暦日2》,九／,ひのえいぬ,みつ,土,　,母倉 五む日
《2270》,《暦日0》,十／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2280》,《暦日2》,十一／,つちのえね,さたん,火,　, けんふく くさかりよし
《2290》,《暦日0》,十二／,つちのとのうし,とる,,　,●
《2300》,《暦日2》,十三／,かのえとら,やふる,木,　,ふく日  つめとりよし
《2310》,《暦日0》,十四／,かのとのう,あやふ,,　,神よし
《2320》,《節中》,処暑七月中明六時日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2330》,《暦日2》,十五／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2340》,《暦日0》,十六／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2350》,《暦日2》,十七／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2360》,《暦日0》,十八／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2370》,《暦日2》,十九／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《2380》,《暦日0》,廿／,ひのとのとり,のそく,,　,十し
《2390》,《暦日2》,廿一／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2400》,《暦日0》,廿二／,つちのとのい,たいら,,二百十日,神よし ちう日 めつもん 地火
《2410》,《暦日2》,廿三／,かのえね,さたん,土,　,神よし ふく日
《2420》,《暦日0》,廿四／,かのとのうし,とる,,　,●
《2430》,《暦日2》,廿五／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2440》,《暦日0》,廿六／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2450》,《暦日2》,廿七／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2460》,《暦日0》,廿八／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2470》,《暦日1》,廿九／,ひのえむま,おさん,水,　,大みやう めつもん
