《1726-0000》,# カンマ区切りテキスト形式です。
《1726-2000》,《暦日2》,廿五／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1726-2010》,《暦日0》,廿六／,ひのとのい,さたん,,　,大みやう ちう日
《1726-2020》,《暦日2》,廿七／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《1726-2030》,《暦日0》,廿八／,つちのとのうし,やふる,,　,十し
《1726-2040》,《暦日1》,廿九／,かのえとら,あやふ,木,中伏, やたて  つめとりよし
《1726-2050》,《月序》,七月,小,建,丙申,畢宿　張　月よう
《1726-2060》,《暦日1》,一／,かのとのう,なる,木,　,神よし 天火 らうしやく
《1726-2070》,《暦日2》,二／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1726-2080》,《暦日0》,三／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1726-2090》,《暦日2》,四／,きのえむま,とつ,金,　,●
《1726-2100》,《暦日0》,五／,きのとのひつし,たつ,,　,大みやう 五む日
《1726-2110》,《暦日2》,六／,ひのえさる,のそく,火,　,神よし
《1726-2120》,《暦日0》,七／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1726-2130》,《暦日2》,八／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1726-2140》,《暦日0》,九／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1726-2150》,《暦日2》,十／,かのえね,さたん,土,立秋七月せつうしの七刻ニ入/末伏,神よし ふく日
《1726-2160》,《暦日0》,十一／,かのとのうし,とる,,　,●
《1726-2170》,《暦日2》,十二／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1726-2180》,《暦日0》,十三／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1726-2190》,《暦日2》,十四／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1726-2200》,《暦日0》,十五／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1726-2210》,《暦日2》,十六／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1726-2220》,《暦日0》,十七／,ひのとのひつし,とつ,,　,さい下しき 神よし  いちたちよし
《1726-2230》,《暦日2》,十八／,つちのえさる,たつ,土,　,天しや よろつよし
《1726-2240》,《暦日0》,十九／,つちのとのとり,のそく,,　,十し
《1726-2250》,《暦日2》,廿／,かのえいぬ,みつ,金,　,大みやう ふく日
《1726-2260》,《暦日0》,廿一／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1726-2270》,《暦日2》,廿二／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1726-2280》,《暦日0》,廿三／,みつのとのうし,とる,,ま日,●
《1726-2290》,《暦日2》,廿四／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1726-2300》,《暦日0》,廿五／,きのとのう,あやふ,,七月中たつの四刻,神よし  くらたて かまぬりよし
《1726-2310》,《暦日2》,廿六／,ひのえたつ,なる,土,ま日,きしく 大みやう ちいみ  くさかりよし
《1726-2320》,《暦日0》,廿七／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1726-2330》,《暦日2》,廿八／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1726-2340》,《暦日0》,廿九／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1726-2350》,《月序》,八月,大,建,丁酉,觜宿　翼　火よう
《1726-2360》,《暦日2》,一／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1726-2370》,《暦日0》,二／,かのとのとり,のそく,,　,十し
《1726-2380》,《暦日2》,三／,みつのえいぬ,みつ,水,ま日
《1726-2390》,《暦日0》,四／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1726-2400》,《暦日2》,五／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1726-2410》,《暦日0》,六／,きのとのうし,とる,,　,●
《1726-2420》,《暦日2》,七／,ひのえとら,やふる,火,二百十日, けんふく  つめとりよし
《1726-2430》,《暦日0》,八／,ひのとのう,あやふ,,　,神よし  わたましよし
《1726-2440》,《暦日2》,九／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1726-2450》,《暦日0》,十／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1726-2460》,《暦日2》,十一／,かのえむま,おさん,土,八月せつひつしの一刻ニ入,めつもん  竹木こりよし
《1726-2470》,《暦日0》,十二／,かのとのひつし,ひらく,,　,●
《1726-2480》,《暦日2》,十三／,みつのえさる,とつ,金,　,神よし 大みやう
《1726-2490》,《暦日0》,十四／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1726-2500》,《暦日2》,十五／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1726-2510》,《暦日0》,十六／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1726-2520》,《暦日2》,十七／,ひのえね,たいら,水,二百廿日,大くわ 地火
《1726-2530》,《暦日0》,十八／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1726-2540》,《暦日2》,十九／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《1726-2550》,《暦日0》,廿／,つちのとのう,やふる,,　,大みやう
《1726-2560》,《暦日2》,廿一／,かのえたつ,あやふ,金,　
《1726-2570》,《暦日0》,廿二／,かのとのみ,なる,,　,十し
《1726-2580》,《暦日2》,廿三／,みつのえむま,おさん,木,　,大みやう めつもん
《1726-2590》,《暦日0》,廿四／,みつのとのひつし,ひらく,,　,●
《1726-2600》,《暦日2》,廿五／,きのえさる,とつ,水,十方くれニ入,神よし きしく 大みやう  竹木こり 田かりよし
《1726-2610》,《暦日0》,廿六／,きのとのとり,たつ,,秋分八月中とりの六刻,ふく日 天火 らうしやく 下しきむまの時
《1726-2620》,《暦日2》,廿七／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1726-2630》,《暦日0》,廿八／,ひのとのい,みつ,,ひかんニなる,大みやう ちう日 わうまう  入学よし
《1726-2640》,《暦日2》,廿九／,つちのえね,たいら,火,社日,大くわ 地火
《1726-2650》,《暦日0》,卅／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1726-2660》,《月序》,九月,小,建,戊戌,參宿　角　木よう
《1726-2670》,《暦日2》,一／,かのえとら,とる,木,　,きこ  つめとりよし
《1726-2680》,《暦日0》,二／,かのとのう,やふる,,　,ふく日  田かりよし
《1726-2690》,《暦日2》,三／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1726-2700》,《暦日0》,四／,みつのとのみ,なる,,天一天上,十し
《1726-2710》,《暦日2》,五／,きのえむま,おさん,金,　,めつもん
《1726-2720》,《暦日0》,六／,きのとのひつし,ひらく,,　,●
《1726-2730》,《暦日2》,七／,ひのえさる,とつ,火,　,神よし
《1726-2740》,《暦日0》,八／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1726-2750》,《暦日2》,九／,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
《1726-2760》,《暦日0》,十／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1726-2770》,《暦日2》,十一／,かのえね,みつ,土,かん露九月せつ夜ねの三刻ニ入,神よし きこ 天火 らうしやく
《1726-2780》,《暦日0》,十二／,かのとのうし,たいら,,　,十し
《1726-2790》,《暦日2》,十三／,みつのえとら,さたん,金,　,●
《1726-2800》,《暦日0》,十四／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1726-2810》,《暦日2》,十五／,きのえたつ,やふる,火,　,大みやう
《1726-2820》,《暦日0》,十六／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1726-2830》,《暦日2》,十七／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《1726-2840》,《暦日0》,十八／,ひのとのひつし,おさん,,　,さい下しき 神よし 大くわ  田かりよし
《1726-2850》,《暦日2》,十九／,つちのえさる,ひらく,土,　,天しや よろつよし
《1726-2860》,《暦日0》,廿／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1726-2870》,《暦日2》,廿一／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1726-2880》,《暦日0》,廿二／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1726-2890》,《暦日2》,廿三／,みつのえね,みつ,木,八せんのはしめ,神よし きしく きこ 天火 らうしやく
《1726-2900》,《暦日0》,廿四／,みつのとのうし,たいら,,ま日/とようとらの三刻ニ入,十し
《1726-2910》,《暦日2》,廿五／,きのえとら,さたん,水,　,●
《1726-2920》,《暦日0》,廿六／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《1726-2930》,《暦日2》,廿七／,ひのえたつ,やふる,土,九月中とらの八刻/ま日,大みやう  かとたてよし
《1726-2940》,《暦日0》,廿八／,ひのとのみ,あやふ,,　,ちいみ ちう日 下しきひつしの時
《1726-2950》,《暦日1》,廿九／,つちのえむま,なる,火,ま日,神よし ふく日
《1726-2960》,《月序》,十月,大,建,己亥,井宿　亢　金よう
