«1772-0000»,【 カンマ区切りテキスト形式です。】
«1772-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1772-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1772-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1772-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1772-0050»,【 外部リンク　】
«1772-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/130 ～ 134】
«1772-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1772h　(翻刻編集終了データを表成型して表示します)】
«1772-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1772ht (翻刻編集中データを表成型して表示します)】
«1772-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1772-0100»,«版元»,出版地○○,出版元□□□,　
«1772-1660»,«暦日0»,十三〳,ひのとのひつし,のそく,,　,神よし ふく日
«1772-1670»,«暦日2»,十四〳,つちのえさる,みつ,土,　,神よし  入学よし
«1772-1680»,«暦日0»,十五〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1772-1690»,«暦日2»,十六〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1772-1700»,«暦日0»,十七〳,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1772-1710»,«暦日2»,十八〳,みつのえね,やふる,木,八せんのはしめ,●
«1772-1720»,«暦日0»,十九〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1772-1730»,«暦日2»,廿〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1772-1740»,«暦日0»,廿一〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ わうまう  ものたちよし
«1772-1750»,«節中»,夏至五月中さるの三刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1772-1760»,«暦日2»,廿二〳,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
«1772-1770»,«暦日0»,廿三〳,ひのとのみ,とつ,,　,十し
«1772-1780»,«暦日2»,廿四〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1772-1790»,«暦日0»,廿五〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1772-1800»,«暦日2»,廿六〳,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
«1772-1810»,«暦日0»,廿七〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1772-1820»,«暦日2»,廿八〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1772-1830»,«暦日0»,廿九〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1772-1840»,«暦日1»,卅〳,きのえね,やふる,金,　,●
«1772-1850»,«月序»,六月,小,建,丁未,女宿　軫　水よう
«1772-1860»,«暦日1»,一〳,きのとのうし,あやふ,金,はんけしやう,神よし 天おん  つめとりよし
«1772-1870»,«暦日2»,二〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1772-1880»,«暦日0»,三〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1772-1890»,«暦日2»,四〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1772-1900»,«暦日0»,五〳,つちのとのみ,とつ,,　,十し
«1772-1910»,«暦日1»,六〳,かのえむま,とつ,土,　,●
«1772-1920»,«節中»,小暑六月せついぬの八刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1772-1930»,«暦日1»,七〳,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
«1772-1940»,«暦日2»,八〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1772-1950»,«暦日0»,九〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1772-1960»,«暦日2»,十〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1772-1970»,«暦日0»,十一〳,きのとのい,さたん,,　,ちう日
«1772-1980»,«暦日2»,十二〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1772-1990»,«暦日0»,十三〳,ひのとのうし,やふる,,　,十し
«1772-2000»,«暦日2»,十四〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1772-2010»,«暦日0»,十五〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1772-2020»,«暦日2»,十六〳,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
«1772-2030»,«暦日0»,十七〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1772-2040»,«暦日2»,十八〳,みつのえむま,とつ,木,　,●
«1772-2050»,«暦日0»,十九〳,みつのとのひつし,たつ,,とよう今暁うしの初刻ニ入,天おん  たねまきよし
«1772-2060»,«暦日2»,廿〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1772-2070»,«暦日0»,廿一〳,きのとのとり,みつ,,　,神よし ちいみ
«1772-2080»,«暦日1»,廿二〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1772-2090»,«節中»,大暑六月中今暁うしの五刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1772-2100»,«暦日1»,廿三〳,ひのとのい,さたん,土,　,大みやう ちう日
«1772-2110»,«暦日2»,廿四〳,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
«1772-2120»,«暦日0»,廿五〳,つちのとのうし,やふる,,　,十し
«1772-2130»,«暦日2»,廿六〳,かのえとら,あやふ,木,中伏,母倉  やたて  つめとりよし
«1772-2140»,«暦日0»,廿七〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1772-2150»,«暦日2»,廿八〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1772-2160»,«暦日0»,廿九〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日 わうまう  いちたちよし
«1772-2170»,«月序»,七月,大,建,戊申,虛宿　角　木よう
«1772-2180»,«暦日2»,一〳,きのえむま,とつ,金,　,●
«1772-2190»,«暦日0»,二〳,きのとのひつし,たつ,,　,大みやう 五む日
«1772-2200»,«暦日2»,三〳,ひのえさる,のそく,火,　,神よし
«1772-2210»,«暦日0»,四〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1772-2220»,«暦日2»,五〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1772-2230»,«暦日0»,六〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1772-2240»,«暦日2»,七〳,かのえね,とる,土,　,きこ 下しきたつの時
«1772-2250»,«暦日0»,八〳,かのとのうし,とる,,　,●
«1772-2260»,«節中»,立秋七月せつたつの一刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1772-2270»,«暦日2»,九〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1772-2280»,«暦日0»,十〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1772-2290»,«暦日2»,十一〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1772-2300»,«暦日0»,十二〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1772-2310»,«暦日2»,十三〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1772-2320»,«暦日0»,十四〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1772-2330»,«暦日2»,十五〳,つちのえさる,たつ,土,　,天しや よろつよし
«1772-2340»,«暦日0»,十六〳,つちのとのとり,のそく,,　,十し
«1772-2350»,«暦日2»,十七〳,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
«1772-2360»,«暦日0»,十八〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1772-2370»,«暦日2»,十九〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1772-2380»,«暦日0»,廿〳,みつのとのうし,とる,,ま日,●
«1772-2390»,«暦日2»,廿一〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
