《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2390》,《暦日2》,廿二／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2400》,《暦日0》,廿三／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2410》,《暦日2》,廿四／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《2420》,《暦日0》,廿五／,ひのとのみ,おさん,,　,さい下しき 大くわ ちう日  ものたちよし
《2430》,《暦日2》,廿六／,つちのえむま,ひらく,火,二百十日/ま日,神よし 天火 らうしやく  入学よし
《2440》,《暦日0》,廿七／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《2450》,《暦日2》,廿八／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《2460》,《暦日0》,廿九／,かのとのとり,のそく,,　,十し
《2470》,《月序》,八月,大,建,丁酉,軫宿　參　水よう
《2480》,《暦日1》,一／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《2490》,《節中》,白露八月せつ夜ねの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2500》,《暦日1》,二／,みつのとのい,みつ,水,八せんのおはり,ちう日  いちたちよし
《2510》,《暦日2》,三／,きのえね,たいら,金,　,きしく 大くわ 地火  わたましよし
《2520》,《暦日0》,四／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《2530》,《暦日2》,五／,ひのえとら,とる,火,　,きこ  つめとりよし
《2540》,《暦日0》,六／,ひのとのう,やふる,,　, 田かりよし
《2550》,《暦日2》,七／,つちのえたつ,あやふ,木,二百廿日,五む日  みそすつくりよし
《2560》,《暦日0》,八／,つちのとのみ,なる,,　,十し
《2570》,《暦日2》,九／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《2580》,《暦日0》,十／,かのとのひつし,ひらく,,　,●
《2590》,《暦日2》,十一／,みつのえさる,とつ,金,　,神よし 大みやう
《2600》,《暦日0》,十二／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2610》,《暦日2》,十三／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《2620》,《暦日0》,十四／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《2630》,《暦日2》,十五／,ひのえね,たいら,水,　,大くわ 地火
《2640》,《暦日0》,十六／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《2650》,《暦日1》,十七／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《2660》,《節中》,秋分八月中とらの六刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2670》,《暦日1》,十八／,つちのとのう,やふる,土,　,大みやう わうまう
《2680》,《暦日2》,十九／,かのえたつ,あやふ,金,ひかんニなる
《2690》,《暦日0》,廿／,かのとのみ,なる,,　,十し
《2700》,《暦日2》,廿一／,みつのえむま,おさん,木,　,大みやう めつもん
《2710》,《暦日0》,廿二／,みつのとのひつし,ひらく,,　,●
《2720》,《暦日2》,廿三／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2730》,《暦日0》,廿四／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《2740》,《暦日2》,廿五／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《2750》,《暦日0》,廿六／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2760》,《暦日2》,廿七／,つちのえね,たいら,火,　,大くわ 地火
《2770》,《暦日0》,廿八／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《2780》,《暦日2》,廿九／,かのえとら,とる,木,　,きこ  つめとりよし
《2790》,《暦日0》,卅／,かのとのう,やふる,,　,ふく日  田かりよし
