«1753-0000»,【 カンマ区切りテキスト形式です。】
«1753-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1753-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1753-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1753-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1753-0050»,【 外部リンク　】
«1753-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/38 ～ 43】
«1753-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1753h　(翻刻編集終了データを表成型して表示します)】
«1753-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1753ht (翻刻編集中データを表成型して表示します)】
«1753-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1753-0100»,«版元»,出版地○○,出版元□□□,　
«1753-1870»,«暦日2»,二〳,ひのえいぬ,さたん,土,はんけしやう,さい下しき 五む日  むきかりよし
«1753-1880»,«暦日0»,三〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1753-1890»,«暦日2»,四〳,つちのえね,やふる,火,　,●
«1753-1900»,«暦日0»,五〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1753-1910»,«暦日2»,六〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1753-1920»,«暦日0»,七〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1753-1930»,«節中»,小暑六月せつみの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1753-1940»,«暦日2»,八〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1753-1950»,«暦日0»,九〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1753-1960»,«暦日2»,十〳,きのえむま,とつ,金,　,●
«1753-1970»,«暦日0»,十一〳,きのとのひつし,たつ,,　,大みやう 五む日
«1753-1980»,«暦日2»,十二〳,ひのえさる,のそく,火,　,神よし
«1753-1990»,«暦日0»,十三〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1753-2000»,«暦日2»,十四〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1753-2010»,«暦日0»,十五〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1753-2020»,«暦日2»,十六〳,かのえね,とる,土,初伏,きこ 下しきたつの時
