«1774-0000»,【 カンマ区切りテキスト形式です。】
«1774-2320»,«暦日0»,十六〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1774-2330»,«節中»,処暑七月中今暁ねの五刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1774-2340»,«暦日2»,十七〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
«1774-2350»,«暦日0»,十八〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1774-2360»,«暦日2»,十九〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1774-2370»,«暦日0»,廿〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1774-2380»,«暦日2»,廿一〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1774-2390»,«暦日0»,廿二〳,みつのとのとり,のそく,,　,十し
«1774-2400»,«暦日2»,廿三〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1774-2410»,«暦日0»,廿四〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1774-2420»,«暦日2»,廿五〳,ひのえね,さたん,水,　, 田かりよし
«1774-2430»,«暦日0»,廿六〳,ひのとのうし,とる,,　,●
«1774-2440»,«暦日2»,廿七〳,つちのえとら,やふる,土,二百十日, たねまき  つめとりよし
«1774-2450»,«暦日0»,廿八〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1774-2460»,«暦日2»,廿九〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1774-2470»,«暦日0»,卅〳,かのとのみ,おさん,,　,天おん 大くわ ちう日
«1774-2480»,«月序»,八月,小,建,癸酉,斗宿　室　火よう
«1774-2490»,«暦日1»,一〳,みつのえむま,おさん,木,　,大みやう 天おん めつもん
«1774-2500»,«節中»,白露八月せつうの二刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1774-2510»,«食記»,日そく五分
«1774-2520»,«暦日1»,二〳,みつのとのひつし,ひらく,木,　,●
«1774-2530»,«暦日2»,三〳,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
«1774-2540»,«暦日0»,四〳,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
«1774-2550»,«暦日2»,五〳,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
«1774-2560»,«暦日0»,六〳,ひのとのい,みつ,,　,大みやう ちう日  入学よし
«1774-2570»,«暦日2»,七〳,つちのえね,たいら,火,二百廿日,大くわ 地火
«1774-2580»,«暦日0»,八〳,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
«1774-2590»,«暦日2»,九〳,かのえとら,とる,木,　,月とく きこ  つめとりよし
«1774-2600»,«暦日0»,十〳,かのとのう,やふる,,　,ふく日  田かりよし
«1774-2610»,«暦日2»,十一〳,みつのえたつ,あやふ,水,　,きしく 大みやう 母倉 五む日
«1774-2620»,«暦日0»,十二〳,みつのとのみ,なる,,天一天上,十し
«1774-2630»,«暦日2»,十三〳,きのえむま,おさん,金,　,めつもん
«1774-2640»,«暦日0»,十四〳,きのとのひつし,ひらく,,　,●
«1774-2650»,«暦日2»,十五〳,ひのえさる,とつ,火,ひかんニなる,神よし
«1774-2660»,«暦日0»,十六〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1774-2670»,«節中»,秋分八月中みの七刻日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1774-2680»,«暦日2»,十七〳,つちのえいぬ,のそく,木,社日,母倉 ちいみ  ふねのり 田かりよし
«1774-2690»,«暦日0»,十八〳,つちのとのい,みつ,,　,ちう日 わうまう  いちたちよし
«1774-2700»,«暦日2»,十九〳,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
«1774-2710»,«暦日0»,廿〳,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
«1774-2720»,«暦日2»,廿一〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1774-2730»,«暦日0»,廿二〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1774-2740»,«暦日2»,廿三〳,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
«1774-2750»,«暦日0»,廿四〳,きのとのみ,なる,,　,十し
«1774-2760»,«暦日2»,廿五〳,ひのえむま,おさん,水,　,大みやう めつもん
