«1688-0000»,【 カンマ区切りテキスト形式です。】
«1688-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1688-1880»,«暦日2»,十三〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1688-1890»,«暦日0»,十四〳,きのとのう,なる,,　,神よし 天火 らうしやく
«1688-1900»,«暦日2»,十五〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1688-1910»,«暦日0»,十六〳,ひのとのみ,ひらく,,　,さい下しき くゑ日 ちう日
«1688-1920»,«暦日2»,十七〳,つちのえむま,とつ,火,ま日,●
«1688-1930»,«暦日0»,十八〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1688-1940»,«暦日2»,十九〳,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
«1688-1950»,«暦日0»,廿〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1688-1960»,«暦日2»,廿一〳,みつのえいぬ,たいら,水,ま日|とようさるの四刻ニ入,大くわ 地火
«1688-1970»,«暦日0»,廿二〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1688-1980»,«暦日2»,廿三〳,きのえね,とる,金,　,きこ 下しきたつの時
«1688-1990»,«暦日0»,廿四〳,きのとのうし,やふる,,六月中とりの初刻,十し
«1688-2000»,«暦日2»,廿五〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1688-2010»,«暦日0»,廿六〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1688-2020»,«暦日2»,廿七〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1688-2030»,«暦日0»,廿八〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1688-2040»,«暦日1»,廿九〳,かのえむま,とつ,土,中伏,●
«1688-2050»,«月序»,七月,大,建,庚申,虛宿　尾　火よう
«1688-2060»,«暦日1»,一〳,かのとのひつし,たつ,土,　,大みやう  かといて ふねのりよし
«1688-2070»,«暦日2»,二〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1688-2080»,«暦日0»,三〳,みつのとのとり,みつ,,　,大みやう ちいみ わうまう  みそすつくりよし
«1688-2090»,«暦日2»,四〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1688-2100»,«暦日0»,五〳,きのとのい,さたん,,　,ちう日
«1688-2110»,«暦日2»,六〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1688-2120»,«暦日0»,七〳,ひのとのうし,やふる,,　,十し
«1688-2130»,«暦日2»,八〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1688-2140»,«暦日0»,九〳,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
«1688-2150»,«暦日2»,十〳,かのえたつ,なる,金,立秋七月せついの五刻ニ入|末伏,ちいみ ふく日  かといてよし
«1688-2160»,«暦日0»,十一〳,かのとのみ,おさん,,　,大くわ ちう日
«1688-2170»,«暦日2»,十二〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1688-2180»,«暦日0»,十三〳,みつのとのひつし,とつ,,　
«1688-2190»,«暦日2»,十四〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1688-2200»,«暦日0»,十五〳,きのとのとり,のそく,,　,十し
