《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/145 ～ 150
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1775g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1775h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1840》,《暦日1》,卅／,ひのえね,やふる,水,　,●
《1850》,《月序》,六月,小,建,癸未,昴宿　軫　水よう
《1860》,《暦日1》,一／,ひのとのうし,あやふ,水,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1870》,《暦日2》,二／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1880》,《暦日0》,三／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1890》,《暦日2》,四／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1900》,《暦日0》,五／,かのとのみ,とつ,,はんけしやう,十し
《1910》,《暦日2》,六／,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
《1920》,《暦日0》,七／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1930》,《暦日2》,八／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1940》,《暦日0》,九／,きのとのとり,たいら,,　,神よし めつもん 地火
《1950》,《暦日1》,十／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1960》,《節中》,小暑六月せつひつしの五刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1970》,《暦日1》,十一／,ひのとのい,さたん,土,　,大みやう ちう日
《1980》,《暦日2》,十二／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1990》,《暦日0》,十三／,つちのとのうし,やふる,,　,十し
《2000》,《暦日2》,十四／,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
《2010》,《暦日0》,十五／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2020》,《暦日2》,十六／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2030》,《暦日0》,十七／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2040》,《暦日2》,十八／,きのえむま,とつ,金,　,●
《2050》,《暦日0》,十九／,きのとのひつし,たつ,,　,大みやう 五む日
《2060》,《暦日2》,廿／,ひのえさる,のそく,火,　,神よし
《2070》,《暦日0》,廿一／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2080》,《暦日2》,廿二／,つちのえいぬ,たいら,木,とようとりの六刻ニ入,大くわ ふく日 地火
《2090》,《暦日0》,廿三／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2100》,《暦日2》,廿四／,かのえね,とる,土,初伏,きしく きこ 下しきたつの時
《2110》,《暦日0》,廿五／,かのとのうし,やふる,,　,十し
《2120》,《節中》,大暑六月中いぬの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2130》,《暦日2》,廿六／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2140》,《暦日0》,廿七／,みつのとのう,なる,,　,神よし 天火 らうしやく
《2150》,《暦日2》,廿八／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2160》,《暦日0》,廿九／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2170》,《月序》,七月,大,建,甲申,畢宿　角　木よう
《2180》,《暦日2》,一／,ひのえむま,とつ,水,　,●
《2190》,《暦日0》,二／,ひのとのひつし,たつ,,　,くゑ日
《2200》,《暦日2》,三／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2210》,《暦日0》,四／,つちのとのとり,みつ,,　,大みやう 天おん 月とく ちいみ ふく日 わうまう
《2220》,《暦日2》,五／,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
《2230》,《暦日0》,六／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2240》,《暦日2》,七／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2250》,《暦日0》,八／,みつのとのうし,やふる,,ま日,十し
《2260》,《暦日2》,九／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2270》,《暦日0》,十／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2280》,《暦日2》,十一／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2290》,《暦日0》,十二／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2300》,《節中》,立秋七月せつ今暁ねの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2310》,《暦日2》,十三／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2320》,《暦日0》,十四／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2330》,《暦日2》,十五／,かのえさる,たつ,木,末伏,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《2340》,《暦日0》,十六／,かのとのとり,のそく,,　,十し
《2350》,《暦日2》,十七／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2360》,《暦日0》,十八／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2370》,《暦日2》,十九／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2380》,《暦日0》,廿／,きのとのうし,とる,,　,●
《2390》,《暦日2》,廿一／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2400》,《暦日0》,廿二／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2410》,《暦日2》,廿三／,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ  いちたちよし
《2420》,《暦日0》,廿四／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2430》,《暦日2》,廿五／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2440》,《暦日0》,廿六／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2450》,《暦日1》,廿七／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2460》,《節中》,処暑七月中うの四刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《2470》,《暦日1》,廿八／,みつのとのとり,のそく,金,　,十し
《2480》,《暦日2》,廿九／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2490》,《暦日0》,卅／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2500》,《月序》,八月,大,建,乙酉,觜宿　氐　土よう
《2510》,《暦日1》,一／,ひのえね,さたん,水,　
《2520》,《食記》,日そく七分
《2530》,《暦日1》,二／,ひのとのうし,とる,水,　,●
《2540》,《暦日2》,三／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2550》,《暦日0》,四／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2560》,《暦日2》,五／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2570》,《暦日0》,六／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2580》,《暦日2》,七／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2590》,《暦日0》,八／,みつのとのひつし,とつ,,二百十日,天おん 母倉
《2600》,《暦日2》,九／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2610》,《暦日0》,十／,きのとのとり,のそく,,　,十し
《2620》,《暦日2》,十一／,ひのえいぬ,みつ,土,　,母倉 五む日
《2630》,《暦日0》,十二／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2640》,《節中》,白露八月せつむまの一刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
