«1830-0000»,【 カンマ区切りテキスト形式です。】
«1830-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1830-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1830-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1830-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1830-0050»,【 外部リンク　】
«1830-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/108 ～ 112】
«1830-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1830h　(翻刻編集終了データを表成型して表示します)】
«1830-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1830ht (翻刻編集中データを表成型して表示します)】
«1830-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1830-0100»,«版元»,出版地○○,出版元□□□,　
«1830-1460»,«暦日2»,廿六〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1830-1470»,«暦日0»,廿七〳,きのとのとり,さたん,,　,十し
«1830-1480»,«暦日2»,廿八〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1830-1490»,«暦日0»,廿九〳,ひのとのい,やふる,,　,大みやう ちう日
«1830-1500»,«月序»,四月,大,建,辛巳,房宿　氐　土よう
«1830-1510»,«暦日2»,一〳,つちのえね,あやふ,火,　, けんふくよし
«1830-1520»,«暦日0»,二〳,つちのとのうし,なる,,　,きこ  つめとりよし
«1830-1530»,«節中»,小満四月中うの八刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1830-1540»,«暦日2»,三〳,かのえとら,おさん,木,　,母倉 月とく めつもん  さひらき  つめとりよし
«1830-1550»,«暦日0»,四〳,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
«1830-1560»,«暦日2»,五〳,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
«1830-1570»,«暦日0»,六〳,みつのとのみ,たつ,,天一天上,●
«1830-1580»,«暦日2»,七〳,きのえむま,のそく,金,　,天しや よろつよし
«1830-1590»,«暦日0»,八〳,きのとのひつし,みつ,,　,大みやう 五む日 くゑ日
«1830-1600»,«暦日2»,九〳,ひのえさる,たいら,火,　,神よし ちいみ 大くわ ふく日 地火  入学よし
«1830-1610»,«暦日0»,十〳,ひのとのとり,さたん,,　,十し
«1830-1620»,«暦日2»,十一〳,つちのえいぬ,とる,木,　, くらたて かまぬりよし
«1830-1630»,«暦日0»,十二〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1830-1640»,«暦日2»,十三〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1830-1650»,«暦日0»,十四〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1830-1660»,«暦日2»,十五〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1830-1670»,«暦日0»,十六〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
