«1738-0000»,【 カンマ区切りテキスト形式です。】
«1738-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1738-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1738-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1738-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1738-0050»,【 外部リンク　】
«1738-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/175 ～ 180】
«1738-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1738h　(翻刻編集終了データを表成型して表示します)】
«1738-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1738ht (翻刻編集中データを表成型して表示します)】
«1738-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1738-0100»,«版元»,出版地○○,出版元□□□,　
«1738-1880»,«暦日0»,四〳,きのとのとり,みつ,,　,神よし ちいみ
«1738-1890»,«暦日2»,五〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1738-1900»,«暦日0»,六〳,ひのとのい,さたん,,　,大みやう ちう日
«1738-1910»,«節中»,大暑六月中いぬの初刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1738-1920»,«暦日2»,七〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1738-1930»,«暦日0»,八〳,つちのとのうし,やふる,,　,十し
«1738-1940»,«暦日2»,九〳,かのえとら,あやふ,木,中伏, やたて  つめとりよし
«1738-1950»,«暦日0»,十〳,かのとのう,なる,,　,神よし 天火 らうしやく
«1738-1960»,«暦日2»,十一〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1738-1970»,«暦日0»,十二〳,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
«1738-1980»,«暦日2»,十三〳,きのえむま,とつ,金,　,●
«1738-1990»,«暦日0»,十四〳,きのとのひつし,たつ,,　,大みやう 五む日 わうまう
«1738-2000»,«暦日2»,十五〳,ひのえさる,のそく,火,　,神よし
«1738-2010»,«暦日0»,十六〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1738-2020»,«暦日2»,十七〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1738-2030»,«暦日0»,十八〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1738-2040»,«暦日2»,十九〳,かのえね,とる,土,　,きこ 下しきたつの時
«1738-2050»,«暦日0»,廿〳,かのとのうし,やふる,,　,十し
«1738-2060»,«暦日2»,廿一〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1738-2070»,«暦日0»,廿二〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1738-2080»,«節中»,立秋七月せつねの五刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1738-2090»,«暦日2»,廿三〳,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
«1738-2100»,«暦日0»,廿四〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1738-2110»,«暦日2»,廿五〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1738-2120»,«暦日0»,廿六〳,ひのとのひつし,とつ,,　,さい下しき 神よし  いちたちよし
«1738-2130»,«暦日2»,廿七〳,つちのえさる,たつ,土,　,天しや よろつよし
«1738-2140»,«暦日0»,廿八〳,つちのとのとり,のそく,,　,十し
«1738-2150»,«暦日1»,廿九〳,かのえいぬ,みつ,金,末伏,大みやう ふく日
«1738-2160»,«月序»,七月,大,建,庚申,鬼宿　亢　金よう
«1738-2170»,«暦日1»,一〳,かのとのい,たいら,金,　,大みやう ちう日 めつもん 地火 わうまう
«1738-2180»,«暦日2»,二〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1738-2190»,«暦日0»,三〳,みつのとのうし,とる,,ま日,●
«1738-2200»,«暦日2»,四〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1738-2210»,«暦日0»,五〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1738-2220»,«暦日2»,六〳,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
«1738-2230»,«暦日0»,七〳,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
«1738-2240»,«暦日1»,八〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1738-2250»,«節中»,処暑七月中うの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1738-2260»,«暦日1»,九〳,つちのとのひつし,とつ,火,　,神よし 大みやう  みそすつくりよし
«1738-2270»,«暦日2»,十〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1738-2280»,«暦日0»,十一〳,かのとのとり,のそく,,　,十し
«1738-2290»,«暦日2»,十二〳,みつのえいぬ,みつ,水,ま日
«1738-2300»,«暦日0»,十三〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1738-2310»,«暦日2»,十四〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1738-2320»,«暦日0»,十五〳,きのとのうし,とる,,　,●
«1738-2330»,«暦日2»,十六〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1738-2340»,«暦日0»,十七〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1738-2350»,«暦日2»,十八〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1738-2360»,«暦日0»,十九〳,つちのとのみ,おさん,,二百十日,神よし 大くわ ちう日
«1738-2370»,«暦日2»,廿〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1738-2380»,«暦日0»,廿一〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1738-2390»,«暦日2»,廿二〳,みつのえさる,たつ,金,　,神よし きしく 大みやう 下しきみの時
«1738-2400»,«暦日0»,廿三〳,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
«1738-2410»,«節中»,白露八月せつみの七刻ニ入日の出より日入まて,昼五十二刻余|夜四十七刻余,六より六まて,昼五十七刻余|夜四十二刻余
«1738-2420»,«暦日2»,廿四〳,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
«1738-2430»,«暦日0»,廿五〳,きのとのい,みつ,,　,ちう日 ふく日  入学よし
«1738-2440»,«暦日2»,廿六〳,ひのえね,たいら,水,　,大くわ 地火
