《1837-0000》,# カンマ区切りテキスト形式です。
《1837-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1837-0020》,# ・表の区画内での改行は“/”で表記します。
《1837-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1837-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1837-0050》,# 外部リンク
《1837-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/139 ～ 142
《1837-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1837g　(GitHub上データを表成型)
《1837-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1837h　(翻刻編集データを表成型 - 未実装)
《1837-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1837-0100》,《版元》,出版地○○,出版元□□□,　
《1837-2280》,《暦日0》,十／,きのとのとり,のそく,,　,十し
《1837-2290》,《暦日2》,十一／,ひのえいぬ,みつ,土,　,さい下しき 母倉 五む日
《1837-2300》,《暦日0》,十二／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1837-2310》,《暦日2》,十三／,つちのえね,さたん,火,　, けんふく くさかりよし
《1837-2320》,《暦日0》,十四／,つちのとのうし,とる,,　,●
《1837-2330》,《暦日2》,十五／,かのえとら,やふる,木,末伏,ふく日 わうまう  つめとりよし
《1837-2340》,《暦日0》,十六／,かのとのう,あやふ,,　,神よし
《1837-2350》,《暦日2》,十七／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1837-2360》,《暦日0》,十八／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1837-2370》,《暦日2》,十九／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1837-2380》,《暦日0》,廿／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1837-2390》,《暦日2》,廿一／,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
《1837-2400》,《暦日0》,廿二／,ひのとのとり,のそく,,　,十し
《1837-2410》,《節中》,処暑七月中たつの初刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1837-2420》,《暦日2》,廿三／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1837-2430》,《暦日0》,廿四／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1837-2440》,《暦日2》,廿五／,かのえね,さたん,土,　,神よし きしく ふく日
《1837-2450》,《暦日0》,廿六／,かのとのうし,とる,,　,●
