«1867-0000»,【 カンマ区切りテキスト形式です。】
«1867-2310»,«暦日2»,十五〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1867-2320»,«暦日0»,十六〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1867-2330»,«暦日2»,十七〳,つちのえたつ,なる,木,　,きしく 天おん 母倉 五む日 ちいみ わうまう  いちたちよし
«1867-2340»,«暦日0»,十八〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1867-2350»,«暦日2»,十九〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1867-2360»,«暦日0»,廿〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1867-2370»,«暦日2»,廿一〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1867-2380»,«暦日0»,廿二〳,みつのとのとり,のそく,,　,十し
«1867-2390»,«暦日2»,廿三〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
«1867-2400»,«暦日0»,廿四〳,きのとのい,たいら,,　,ちう日 めつもん 地火
«1867-2410»,«暦日1»,廿五〳,ひのえね,さたん,水,　, 田かりよし
«1867-2420»,«節中»,処暑七月中今暁九時六分日の出より日入まて,昼五十四刻半|夜四十五刻半,六より六まて,昼五十九刻半余|夜四十刻余
«1867-2430»,«暦日1»,廿六〳,ひのとのうし,とる,水,　,●
«1867-2440»,«暦日2»,廿七〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1867-2450»,«暦日0»,廿八〳,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
«1867-2460»,«暦日1»,廿九〳,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
«1867-2470»,«月序»,八月,大,建,己酉,房宿　斗　木よう
«1867-2480»,«暦日1»,一〳,かのとのみ,おさん,金,　,天おん 大くわ ちう日
«1867-2490»,«暦日2»,二〳,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
«1867-2500»,«暦日0»,三〳,みつのとのひつし,とつ,,　,天おん 母倉
«1867-2510»,«暦日2»,四〳,きのえさる,たつ,水,二百十日|十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1867-2520»,«暦日0»,五〳,きのとのとり,のそく,,　,十し
«1867-2530»,«暦日2»,六〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1867-2540»,«暦日0»,七〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1867-2550»,«暦日2»,八〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1867-2560»,«暦日0»,九〳,つちのとのうし,とる,,　,●
«1867-2570»,«暦日2»,十〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1867-2580»,«暦日0»,十一〳,かのとのう,やふる,,　,ふく日  田かりよし
«1867-2590»,«節中»,白露八月せつ昼九時四分ニ入日の出より日入まて,昼五十二刻余|夜四十七刻半余,六より六まて,昼五十七刻半|夜四十二刻半
«1867-2600»,«暦日2»,十二〳,みつのえたつ,あやふ,水,　,さい下しき 大みやう 母倉 五む日
«1867-2610»,«暦日0»,十三〳,みつのとのみ,なる,,天一天上,十し
«1867-2620»,«暦日2»,十四〳,きのえむま,おさん,金,二百廿日,めつもん
«1867-2630»,«暦日0»,十五〳,きのとのひつし,ひらく,,　,●
«1867-2640»,«暦日2»,十六〳,ひのえさる,とつ,火,　,神よし きしく
«1867-2650»,«暦日0»,十七〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1867-2660»,«暦日2»,十八〳,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
«1867-2670»,«暦日0»,十九〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1867-2680»,«暦日2»,廿〳,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
«1867-2690»,«暦日0»,廿一〳,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
«1867-2700»,«暦日2»,廿二〳,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
«1867-2710»,«暦日0»,廿三〳,みつのとのう,やふる,,ひかんニなる, くらたて 田かりよし
«1867-2720»,«暦日2»,廿四〳,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
«1867-2730»,«暦日0»,廿五〳,きのとのみ,なる,,　,十し
«1867-2740»,«暦日1»,廿六〳,ひのえむま,おさん,水,　,大みやう めつもん
«1867-2750»,«節中»,秋分八月中夜五時九分日の出より日入まて,昼五十刻|夜五十刻,六より六まて,昼五十五刻|夜四十五刻
«1867-2760»,«暦日1»,廿七〳,ひのとのひつし,ひらく,水,　,●
