«1806-0000»,【 カンマ区切りテキスト形式です。】
«1806-2620»,«暦日0»,十三〳,ひのとのい,みつ,,　,大みやう ちう日 わうまう  入学よし
«1806-2630»,«暦日2»,十四〳,つちのえね,たいら,火,社日,大くわ 地火
«1806-2640»,«暦日0»,十五〳,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
«1806-2650»,«暦日2»,十六〳,かのえとら,とる,木,　,月とく きこ  つめとりよし
«1806-2660»,«暦日0»,十七〳,かのとのう,やふる,,　,ふく日  田かりよし
«1806-2670»,«暦日2»,十八〳,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
«1806-2680»,«暦日0»,十九〳,みつのとのみ,なる,,天一天上,十し
«1806-2690»,«暦日2»,廿〳,きのえむま,おさん,金,　,めつもん
«1806-2700»,«暦日0»,廿一〳,きのとのひつし,ひらく,,　,●
«1806-2710»,«暦日2»,廿二〳,ひのえさる,とつ,火,　,神よし きしく
«1806-2720»,«暦日0»,廿三〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1806-2730»,«暦日2»,廿四〳,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
«1806-2740»,«暦日0»,廿五〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1806-2750»,«暦日1»,廿六〳,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
