《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2580》,《暦日2》,十／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2590》,《暦日0》,十一／,きのとのとり,のそく,,　,十し
《2600》,《暦日1》,十二／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2610》,《節中》,白露八月せつたつの一刻ニ入日の出より日入まて,昼五十二刻半/夜四十七刻半,六より六まて,昼五十七刻半余/夜四十二刻余
《2620》,《暦日1》,十三／,ひのとのい,みつ,土,　,大みやう ちう日  入学よし
《2630》,《暦日2》,十四／,つちのえね,たいら,火,　,大くわ 地火
《2640》,《暦日0》,十五／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2650》,《暦日2》,十六／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2660》,《暦日0》,十七／,かのとのう,やふる,,　,ふく日  田かりよし
《2670》,《暦日2》,十八／,みつのえたつ,あやふ,水,二百廿日,大みやう 母倉 五む日
《2680》,《暦日0》,十九／,みつのとのみ,なる,,天一天上,十し
《2690》,《暦日2》,廿／,きのえむま,おさん,金,　,めつもん
《2700》,《暦日0》,廿一／,きのとのひつし,ひらく,,　,●
《2710》,《暦日2》,廿二／,ひのえさる,とつ,火,　,神よし
《2720》,《暦日0》,廿三／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2730》,《暦日2》,廿四／,つちのえいぬ,のそく,木,社日,母倉 ちいみ  ふねのり 田かりよし
《2740》,《暦日0》,廿五／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2750》,《暦日2》,廿六／,かのえね,たいら,土,ひかんニなる,神よし 月とく 大くわ 地火
《2760》,《暦日0》,廿七／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2770》,《節中》,秋分八月中むまの六刻日の出より日入まて,昼五十刻余/夜四十九刻半余,六より六まて,昼五十五刻余/夜四十四刻半余
《2780》,《暦日2》,廿八／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2790》,《暦日0》,廿九／,みつのとのう,やふる,,　,わうまう  くらたて 田かりよし
《2800》,《月序》,九月,大,建,庚戌,心宿　畢　月よう
《2810》,《暦日2》,一／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2820》,《暦日0》,二／,きのとのみ,なる,,　,十し
《2830》,《暦日2》,三／,ひのえむま,おさん,水,　,大みやう めつもん
《2840》,《暦日0》,四／,ひのとのひつし,ひらく,,　,●
《2850》,《暦日2》,五／,つちのえさる,とつ,土,　,天しや よろつよし
《2860》,《暦日0》,六／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2870》,《暦日2》,七／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2880》,《暦日0》,八／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《2890》,《暦日2》,九／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2900》,《暦日0》,十／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
