«1769-0000»,【 カンマ区切りテキスト形式です。】
«1769-2060»,«暦日0»,廿二〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1769-2070»,«暦日2»,廿三〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1769-2080»,«暦日0»,廿四〳,きのとのい,さたん,,　,ちう日
«1769-2090»,«暦日2»,廿五〳,ひのえね,とる,水,　,きしく きこ 下しきたつの時
«1769-2100»,«暦日0»,廿六〳,ひのとのうし,やふる,,　,十し
«1769-2110»,«暦日2»,廿七〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1769-2120»,«暦日0»,廿八〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1769-2130»,«暦日1»,廿九〳,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
«1769-2140»,«月序»,七月,小,建,壬申,氐宿　軫　水よう
«1769-2150»,«暦日1»,一〳,かのとのみ,ひらく,金,　,天おん 母倉 ちう日  ものたちよし
«1769-2160»,«暦日2»,二〳,みつのえむま,とつ,木,　,●
«1769-2170»,«暦日0»,三〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1769-2180»,«暦日2»,四〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1769-2190»,«暦日0»,五〳,きのとのとり,のそく,,　,十し
«1769-2200»,«節中»,立秋七月せつみの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1769-2210»,«暦日2»,六〳,ひのえいぬ,みつ,土,　,母倉 五む日
«1769-2220»,«暦日0»,七〳,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
«1769-2230»,«暦日2»,八〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1769-2240»,«暦日0»,九〳,つちのとのうし,とる,,　,●
«1769-2250»,«暦日2»,十〳,かのえとら,やふる,木,末伏,さい下しき ふく日  つめとりよし
«1769-2260»,«暦日0»,十一〳,かのとのう,あやふ,,　,神よし
«1769-2270»,«暦日2»,十二〳,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
«1769-2280»,«暦日0»,十三〳,みつのとのみ,おさん,,天一天上,大くわ ちう日 わうまう  たねまきよし
«1769-2290»,«暦日2»,十四〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1769-2300»,«暦日0»,十五〳,きのとのひつし,とつ,,　,大みやう 母倉 五む日
«1769-2310»,«暦日2»,十六〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1769-2320»,«暦日0»,十七〳,ひのとのとり,のそく,,　,十し
«1769-2330»,«暦日2»,十八〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1769-2340»,«暦日0»,十九〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
«1769-2350»,«暦日1»,廿〳,かのえね,さたん,土,　,神よし ふく日
«1769-2360»,«節中»,処暑七月中さるの三刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1769-2370»,«暦日1»,廿一〳,かのとのうし,とる,土,　,●
«1769-2380»,«暦日2»,廿二〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1769-2390»,«暦日0»,廿三〳,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
«1769-2400»,«暦日2»,廿四〳,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
«1769-2410»,«暦日0»,廿五〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1769-2420»,«暦日2»,廿六〳,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
«1769-2430»,«暦日0»,廿七〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1769-2440»,«暦日2»,廿八〳,つちのえさる,たつ,土,　,天しや よろつよし
«1769-2450»,«暦日0»,廿九〳,つちのとのとり,のそく,,　,十し
«1769-2460»,«月序»,八月,大,建,癸酉,房宿　角　木よう
«1769-2470»,«暦日2»,一〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1769-2480»,«暦日0»,二〳,かのとのい,たいら,,二百十日,神よし 大みやう 天おん ちう日 めつもん 地火
