«1708-0000»,【 カンマ区切りテキスト形式です。】
«1708-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1708-2190»,«暦日2»,十五〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1708-2200»,«暦日0»,十六〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1708-2210»,«暦日2»,十七〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1708-2220»,«暦日0»,十八〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1708-2230»,«暦日2»,十九〳,きのえね,とる,金,　,きこ 下しきたつの時
«1708-2240»,«暦日0»,廿〳,きのとのうし,とる,,立秋七月せつとりの五刻ニ入,●
«1708-2250»,«暦日2»,廿一〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1708-2260»,«暦日0»,廿二〳,ひのとのう,あやふ,,　,神よし  わたましよし
«1708-2270»,«暦日2»,廿三〳,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
«1708-2280»,«暦日0»,廿四〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1708-2290»,«暦日2»,廿五〳,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
«1708-2300»,«暦日0»,廿六〳,かのとのひつし,とつ,,　,大みやう  ものたちよし
«1708-2310»,«暦日2»,廿七〳,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
«1708-2320»,«暦日0»,廿八〳,みつのとのとり,のそく,,　,十し
«1708-2330»,«暦日1»,廿九〳,きのえいぬ,みつ,火,　,ふく日  くらたてよし
«1708-2340»,«月序»,七月,小,建,庚申,翼宿　井　木よう
«1708-2350»,«暦日1»,一〳,きのとのい,たいら,火,　,ちう日 めつもん 地火
«1708-2360»,«暦日2»,二〳,ひのえね,さたん,水,　,きしく  田かりよし
«1708-2370»,«暦日0»,三〳,ひのとのうし,とる,,　,●
«1708-2380»,«暦日2»,四〳,つちのえとら,やふる,土,　, たねまき  つめとりよし
«1708-2390»,«暦日0»,五〳,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
«1708-2400»,«暦日2»,六〳,かのえたつ,なる,金,七月中夜ねの二刻,ちいみ ふく日  かといてよし
«1708-2410»,«暦日0»,七〳,かのとのみ,おさん,,　,大くわ ちう日
«1708-2420»,«暦日2»,八〳,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
«1708-2430»,«暦日0»,九〳,みつのとのひつし,とつ,,　
«1708-2440»,«暦日2»,十〳,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
«1708-2450»,«暦日0»,十一〳,きのとのとり,のそく,,　,十し
«1708-2460»,«暦日2»,十二〳,ひのえいぬ,みつ,土,　,五む日
«1708-2470»,«暦日0»,十三〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1708-2480»,«暦日2»,十四〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1708-2490»,«暦日0»,十五〳,つちのとのうし,とる,,　,●
«1708-2500»,«暦日2»,十六〳,かのえとら,やふる,木,　,ふく日  つめとりよし
«1708-2510»,«暦日0»,十七〳,かのとのう,あやふ,,　,神よし
«1708-2520»,«暦日2»,十八〳,みつのえたつ,なる,水,二百十日,大みやう 五む日 ちいみ
«1708-2530»,«暦日0»,十九〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1708-2540»,«暦日2»,廿〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1708-2550»,«暦日0»,廿一〳,きのとのひつし,とつ,,　,大みやう 五む日
«1708-2560»,«暦日2»,廿二〳,ひのえさる,とつ,火,八月せつとらの七刻ニ入,神よし
«1708-2570»,«暦日0»,廿三〳,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
«1708-2580»,«暦日2»,廿四〳,つちのえいぬ,のそく,木,　,ちいみ  ふねのり 田かりよし
«1708-2590»,«暦日0»,廿五〳,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
«1708-2600»,«暦日2»,廿六〳,かのえね,たいら,土,　,神よし 大くわ 地火
«1708-2610»,«暦日0»,廿七〳,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
«1708-2620»,«暦日2»,廿八〳,みつのえとら,とる,金,二百廿日,大みやう きこ  やたて  つめとりよし
«1708-2630»,«暦日0»,廿九〳,みつのとのう,やふる,,　, くらたて 田かりよし
«1708-2640»,«月序»,八月,大,建,辛酉,軫宿　鬼　金よう
«1708-2650»,«暦日2»,一〳,きのえたつ,あやふ,火,　,きしく 大みやう  けんふく わたましよし
«1708-2660»,«暦日0»,二〳,きのとのみ,なる,,　,十し
«1708-2670»,«暦日2»,三〳,ひのえむま,おさん,水,　,大みやう めつもん
«1708-2680»,«暦日0»,四〳,ひのとのひつし,ひらく,,　,●
«1708-2690»,«暦日2»,五〳,つちのえさる,とつ,土,社日,天しや よろつよし
«1708-2700»,«暦日0»,六〳,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
«1708-2710»,«暦日2»,七〳,かのえいぬ,のそく,金,　,大みやう ちいみ
«1708-2720»,«暦日0»,八〳,かのとのい,みつ,,秋分八月中みの四刻,神よし 大みやう ちう日 ふく日
«1708-2730»,«暦日2»,九〳,みつのえね,たいら,木,八せんのはしめ,神よし 大くわ 地火
«1708-2740»,«暦日0»,十〳,みつのとのうし,さたん,,ま日|ひかんニなる,わうまう  たねまき 竹木こり  つめとりよし
«1708-2750»,«暦日2»,十一〳,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
«1708-2760»,«暦日0»,十二〳,きのとのう,やふる,,　,くゑ日 ふく日
«1708-2770»,«暦日2»,十三〳,ひのえたつ,あやふ,土,ま日,大みやう
«1708-2780»,«暦日0»,十四〳,ひのとのみ,なる,,　,十し
«1708-2790»,«暦日2»,十五〳,つちのえむま,おさん,火,ま日,めつもん
«1708-2800»,«暦日0»,十六〳,つちのとのひつし,ひらく,,　,●
«1708-2810»,«食記»,月そく五分,　
«1708-2820»,«暦日2»,十七〳,かのえさる,とつ,木,　,神よし 大みやう  入学よし
«1708-2830»,«暦日0»,十八〳,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1708-2840»,«暦日2»,十九〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1708-2850»,«暦日0»,廿〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1708-2860»,«暦日2»,廿一〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1708-2870»,«暦日0»,廿二〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
