《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《2720》,《暦日2》,五／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《2730》,《暦日0》,六／,ひのとのい,のそく,,かん露九月せつひつしの六刻ニ入,大みやう ちう日
《2740》,《暦日2》,七／,つちのえね,みつ,火,　,きしく きこ ふく日 天火 らうしやく
《2750》,《暦日0》,八／,つちのとのうし,たいら,,　,十し
《2760》,《暦日2》,九／,かのえとら,さたん,木,　,●
《2770》,《暦日0》,十／,かのとのう,とる,,　,くゑ日
《2780》,《暦日2》,十一／,みつのえたつ,やふる,水,　,大みやう 五む日 くゑ日
《2790》,《暦日0》,十二／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《2800》,《暦日2》,十三／,きのえむま,なる,金,　,くゑ日
《2810》,《暦日0》,十四／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《2820》,《暦日2》,十五／,ひのえさる,ひらく,火,　,くゑ日
《2830》,《暦日0》,十六／,ひのとのとり,とつ,,　,くゑ日
《2840》,《暦日2》,十七／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《2850》,《暦日0》,十八／,つちのとのい,のそく,,とようとりの七刻ニ入,神よし ちう日 ふく日  むきまきよし
《2860》,《暦日2》,十九／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《2870》,《暦日0》,廿／,かのとのうし,たいら,,　,十し
《2880》,《暦日2》,廿一／,みつのえとら,さたん,金,九月中いぬの三刻,●
《2890》,《暦日0》,廿二／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《2900》,《暦日2》,廿三／,きのえたつ,やふる,火,　,大みやう
《2910》,《暦日0》,廿四／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《2920》,《暦日2》,廿五／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《2930》,《暦日0》,廿六／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《2940》,《暦日2》,廿七／,つちのえさる,ひらく,土,　,天しや よろつよし
《2950》,《暦日0》,廿八／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《2960》,《暦日1》,廿九／,かのえいぬ,たつ,金,　,大みやう くゑ日
《2970》,《月序》,十月,大,建,辛亥,井宿　昴　日よう
《2980》,《暦日1》,一／,かのとのい,のそく,金,　,神よし 大みやう ちう日  田かりよし
《2990》,《暦日2》,二／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
《3000》,《暦日0》,三／,みつのとのうし,たいら,,ま日,十し
《3010》,《暦日2》,四／,きのえとら,さたん,水,　,●
《3020》,《暦日0》,五／,きのとのう,とる,,　,神よし  かまぬり ものたちよし
《3030》,《暦日2》,六／,ひのえたつ,やふる,土,ま日,きしく 大みやう  かとたてよし
《3040》,《暦日0》,七／,ひのとのみ,あやふ,,　,さい下しき ちいみ ちう日 下しきひつしの時
《3050》,《暦日2》,八／,つちのえむま,あやふ,火,立冬十月せつうしの初刻ニ入/ま日,神よし  むきまきよし
《3060》,《暦日0》,九／,つちのとのひつし,なる,,　,大みやう  かまぬり いちたちよし
《3070》,《暦日2》,十／,かのえさる,おさん,木,　,●
《3080》,《暦日0》,十一／,かのとのとり,ひらく,,　,十し
《3090》,《暦日2》,十二／,みつのえいぬ,とつ,水,ま日,ふく日  むきまきよし
《3100》,《暦日0》,十三／,みつのとのい,たつ,,八せんのおはり,くゑ日 ちいみ ちう日 下しきさるの時
《3110》,《暦日2》,十四／,きのえね,のそく,金,　,天しや よろつよし
《3120》,《暦日0》,十五／,きのとのうし,みつ,,　,くゑ日 きこ
《3130》,《暦日2》,十六／,ひのえとら,たいら,火,　,大くわ ふく日 地火  つめとりよし
《3140》,《暦日0》,十七／,ひのとのう,さたん,,　,天火 らうしやく わうまう
