《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2440》,《暦日0》,廿三／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2450》,《暦日2》,廿四／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2460》,《暦日0》,廿五／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2470》,《暦日2》,廿六／,かのえね,たいら,土,二百廿日,神よし 月とく 大くわ 地火
《2480》,《暦日0》,廿七／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2490》,《暦日2》,廿八／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2500》,《暦日0》,廿九／,みつのとのう,やふる,,　, くらたて 田かりよし
《2510》,《月序》,八月,大,建,乙酉,危宿　虛　日よう
《2520》,《暦日2》,一／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《2530》,《暦日0》,二／,きのとのみ,なる,,　,十し
《2540》,《暦日2》,三／,ひのえむま,おさん,水,　,大みやう めつもん
《2550》,《暦日0》,四／,ひのとのひつし,ひらく,,　,●
《2560》,《暦日2》,五／,つちのえさる,とつ,土,社日,天しや よろつよし
《2570》,《暦日0》,六／,つちのとのとり,たつ,,ひかんニなる,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2580》,《暦日1》,七／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《2590》,《節中》,秋分八月中今暁うしの八刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2600》,《暦日1》,八／,かのとのい,みつ,金,　,大みやう 天おん ちう日 ふく日 わうまう
《2610》,《暦日2》,九／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《2620》,《暦日0》,十／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
《2630》,《暦日2》,十一／,きのえとら,とる,水,　,きこ  かまぬり 田かり  つめとりよし
《2640》,《暦日0》,十二／,きのとのう,やふる,,　,くゑ日 ふく日
《2650》,《暦日2》,十三／,ひのえたつ,あやふ,土,ま日,きしく 大みやう 母倉
《2660》,《暦日0》,十四／,ひのとのみ,なる,,　,十し
《2670》,《暦日2》,十五／,つちのえむま,おさん,火,ま日,めつもん
《2680》,《暦日0》,十六／,つちのとのひつし,ひらく,,　,●
《2690》,《暦日2》,十七／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2700》,《暦日0》,十八／,かのとのとり,たつ,,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《2710》,《暦日2》,十九／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2720》,《暦日0》,廿／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
