«1817-0000»,【 カンマ区切りテキスト形式です。】
«1817-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1817-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1817-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1817-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1817-0050»,【 外部リンク　】
«1817-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/52 ～ 56】
«1817-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1817h　(翻刻編集終了データを表成型して表示します)】
«1817-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1817ht (翻刻編集中データを表成型して表示します)】
«1817-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1817-0100»,«版元»,出版地○○,出版元□□□,　
«1817-1580»,«暦日2»,五〳,つちのえさる,みつ,土,　,神よし  入学よし
«1817-1590»,«暦日0»,六〳,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
«1817-1600»,«暦日2»,七〳,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
«1817-1610»,«暦日0»,八〳,かのとのい,とる,,　,大みやう 天おん 月とく ちう日 わうまう  入学よし
«1817-1620»,«節中»,夏至五月中ひつしの三刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1817-1630»,«暦日2»,九〳,みつのえね,やふる,木,八せんのはしめ,●
«1817-1640»,«暦日0»,十〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1817-1650»,«暦日2»,十一〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1817-1660»,«暦日0»,十二〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1817-1670»,«暦日2»,十三〳,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
«1817-1680»,«暦日0»,十四〳,ひのとのみ,とつ,,　,十し
«1817-1690»,«暦日2»,十五〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1817-1700»,«暦日0»,十六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
