《1766-0000》,# カンマ区切りテキスト形式です。
《1766-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1766-0020》,# ・表の区画内での改行は“/”で表記します。
《1766-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1766-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1766-0050》,# 外部リンク
《1766-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/101 ～ 105
《1766-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1766g　(GitHub上データを表成型)
《1766-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1766h　(翻刻編集データを表成型 - 未実装)
《1766-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1766-0100》,《版元》,出版地○○,出版元□□□,　
《1766-2120》,《暦日2》,廿六／,きのえね,とる,金,　,きしく 天おん 月とく きこ 下しきたつの時
《1766-2130》,《暦日0》,廿七／,きのとのうし,やふる,,　,十し
《1766-2140》,《暦日2》,廿八／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1766-2150》,《暦日0》,廿九／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1766-2160》,《暦日1》,卅／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1766-2170》,《月序》,七月,小,建,丙申,鬼宿　軫　水よう
《1766-2180》,《暦日1》,一／,つちのとのみ,おさん,木,　,神よし 大くわ ちう日
《1766-2190》,《節中》,立秋七月せつとりの初刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1766-2200》,《暦日2》,二／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1766-2210》,《暦日0》,三／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《1766-2220》,《暦日2》,四／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《1766-2230》,《暦日0》,五／,みつのとのとり,のそく,,　,十し
《1766-2240》,《暦日2》,六／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《1766-2250》,《暦日0》,七／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1766-2260》,《暦日2》,八／,ひのえね,さたん,水,　, 田かりよし
《1766-2270》,《暦日0》,九／,ひのとのうし,とる,,　,●
《1766-2280》,《暦日2》,十／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1766-2290》,《暦日0》,十一／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1766-2300》,《暦日2》,十二／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《1766-2310》,《暦日0》,十三／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1766-2320》,《暦日2》,十四／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1766-2330》,《暦日0》,十五／,みつのとのひつし,とつ,,　,天おん 母倉
《1766-2340》,《暦日1》,十六／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1766-2350》,《節中》,処暑七月中いの五刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1766-2360》,《暦日1》,十七／,きのとのとり,のそく,水,　,十し
《1766-2370》,《暦日2》,十八／,ひのえいぬ,みつ,土,　,母倉 五む日
《1766-2380》,《暦日0》,十九／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1766-2390》,《暦日2》,廿／,つちのえね,さたん,火,　, けんふく くさかりよし
《1766-2400》,《暦日0》,廿一／,つちのとのうし,とる,,　,●
《1766-2410》,《暦日2》,廿二／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1766-2420》,《暦日0》,廿三／,かのとのう,あやふ,,　,神よし
《1766-2430》,《暦日2》,廿四／,みつのえたつ,なる,水,　,きしく 大みやう 母倉 月とく 五む日 ちいみ
