«1686-0000»,【 カンマ区切りテキスト形式です。】
«1686-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1686-1800»,«暦日0»,四〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1686-1810»,«暦日2»,五〳,つちのえね,やふる,火,　,●
«1686-1820»,«暦日0»,六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1686-1830»,«暦日2»,七〳,かのえとら,なる,木,　,きこ  井ほり  つめとりよし
«1686-1840»,«暦日0»,八〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1686-1850»,«暦日2»,九〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1686-1860»,«暦日0»,十〳,みつのとのみ,とつ,,天一天上,十し
«1686-1870»,«暦日2»,十一〳,きのえむま,たつ,金,はんけしやう,天しや よろつよし
«1686-1880»,«暦日0»,十二〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1686-1890»,«暦日2»,十三〳,ひのえさる,みつ,火,　,神よし  入学 いちたちよし
«1686-1900»,«暦日0»,十四〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1686-1910»,«暦日2»,十五〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1686-1920»,«暦日0»,十六〳,つちのとのい,さたん,,六月せつ夜ねの三刻ニ入,ちう日 ふく日  ふねのりよし
«1686-1930»,«暦日2»,十七〳,かのえね,とる,土,　,きこ 下しきたつの時
«1686-1940»,«暦日0»,十八〳,かのとのうし,やふる,,　,十し
«1686-1950»,«暦日2»,十九〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1686-1960»,«暦日0»,廿〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1686-1970»,«暦日2»,廿一〳,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
«1686-1980»,«暦日0»,廿二〳,きのとのみ,ひらく,,　,大みやう ちう日
«1686-1990»,«暦日2»,廿三〳,ひのえむま,とつ,水,　,●
«1686-2000»,«暦日0»,廿四〳,ひのとのひつし,たつ,,　,くゑ日
«1686-2010»,«暦日2»,廿五〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1686-2020»,«暦日0»,廿六〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1686-2030»,«暦日2»,廿七〳,かのえいぬ,たいら,金,初伏,大みやう 大くわ 地火
«1686-2040»,«暦日0»,廿八〳,かのとのい,さたん,,　,大みやう ちう日
«1686-2050»,«暦日1»,廿九〳,みつのえね,とる,木,八せんのはしめ|とようとらの四刻ニ入,きしく きこ 下しきたつの時
«1686-2060»,«月序»,六月,大,建,乙未,壁宿　柳　土よう
«1686-2070»,«暦日1»,一〳,みつのとのうし,やふる,木,ま日,十し
«1686-2080»,«暦日2»,二〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1686-2090»,«暦日0»,三〳,きのとのう,なる,,六月中うの初刻,神よし 天火 らうしやく
«1686-2100»,«暦日2»,四〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1686-2110»,«暦日0»,五〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1686-2120»,«暦日2»,六〳,つちのえむま,とつ,火,ま日,●
«1686-2130»,«暦日0»,七〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1686-2140»,«暦日2»,八〳,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
«1686-2150»,«暦日0»,九〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1686-2160»,«暦日2»,十〳,みつのえいぬ,たいら,水,ま日,大くわ 地火 わうまう
«1686-2170»,«暦日0»,十一〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1686-2180»,«暦日2»,十二〳,きのえね,とる,金,　,きこ 下しきたつの時
«1686-2190»,«暦日0»,十三〳,きのとのうし,やふる,,　,十し
«1686-2200»,«暦日2»,十四〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
