《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2520》,《暦日0》,五／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2530》,《暦日2》,六／,みつのえさる,たつ,金,　,神よし きしく 大みやう 月とく 下しきみの時
《2540》,《暦日0》,七／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2550》,《節中》,白露八月せついの六刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《2560》,《暦日2》,八／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2570》,《暦日0》,九／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2580》,《暦日2》,十／,ひのえね,たいら,水,　,大くわ 地火
《2590》,《暦日0》,十一／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2600》,《暦日2》,十二／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2610》,《暦日0》,十三／,つちのとのう,やふる,,二百廿日,大みやう 天おん
《2620》,《暦日2》,十四／,かのえたつ,あやふ,金,　,天おん 母倉 月とく
《2630》,《暦日0》,十五／,かのとのみ,なる,,　,十し
《2640》,《暦日2》,十六／,みつのえむま,おさん,木,　,大みやう 天おん めつもん
《2650》,《暦日0》,十七／,みつのとのひつし,ひらく,,　,●
《2660》,《暦日2》,十八／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2670》,《暦日0》,十九／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2680》,《暦日2》,廿／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《2690》,《暦日0》,廿一／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2700》,《暦日2》,廿二／,つちのえね,たいら,火,社日/ひかんニなる,大くわ 地火
《2710》,《暦日0》,廿三／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
《2720》,《節中》,秋分八月中今暁とらの三刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2730》,《暦日2》,廿四／,かのえとら,とる,木,　,月とく きこ わうまう  つめとりよし
《2740》,《暦日0》,廿五／,かのとのう,やふる,,　,ふく日  田かりよし
《2750》,《暦日2》,廿六／,みつのえたつ,あやふ,水,　,大みやう 母倉 五む日
《2760》,《暦日0》,廿七／,みつのとのみ,なる,,天一天上,十し
《2770》,《暦日2》,廿八／,きのえむま,おさん,金,　,めつもん
《2780》,《暦日0》,廿九／,きのとのひつし,ひらく,,　,●
《2790》,《月序》,九月,大,建,戊戌,參宿　畢　月よう
《2800》,《暦日2》,一／,ひのえさる,とつ,火,　,神よし
《2810》,《暦日0》,二／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2820》,《暦日2》,三／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2830》,《暦日0》,四／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2840》,《暦日2》,五／,かのえね,たいら,土,　,神よし きしく 月とく 大くわ 地火
《2850》,《暦日0》,六／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2860》,《暦日2》,七／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2870》,《暦日0》,八／,みつのとのう,やふる,,　, くらたて 田かりよし
《2880》,《暦日1》,九／,きのえたつ,やふる,火,　,大みやう
《2890》,《節中》,寒露九月せつみの初刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
