«1810-0000»,【 カンマ区切りテキスト形式です。】
«1810-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1810-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1810-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1810-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1810-0050»,【 外部リンク　】
«1810-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/24 ～ 27】
«1810-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1810h　(翻刻編集終了データを表成型して表示します)】
«1810-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1810ht (翻刻編集中データを表成型して表示します)】
«1810-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1810-0100»,«版元»,出版地○○,出版元□□□,　
«1810-1500»,«暦日2»,廿九〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1810-1510»,«暦日0»,卅〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1810-1520»,«月序»,五月,大,建,壬午,胃宿　胃　土よう
«1810-1530»,«暦日2»,一〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1810-1540»,«暦日0»,二〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1810-1550»,«暦日2»,三〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1810-1560»,«暦日0»,四〳,ひのとのみ,たつ,,　,●
«1810-1570»,«暦日2»,五〳,つちのえむま,のそく,火,ま日,くゑ日
«1810-1580»,«暦日0»,六〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1810-1590»,«節中»,芒種五月せつさるの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1810-1600»,«暦日2»,七〳,かのえさる,みつ,木,　,神よし きしく 大みやう  入学 むきかりよし
«1810-1610»,«暦日0»,八〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1810-1620»,«暦日2»,九〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1810-1630»,«暦日0»,十〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1810-1640»,«暦日2»,十一〳,きのえね,やふる,金,　,●
«1810-1650»,«暦日0»,十二〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1810-1660»,«暦日2»,十三〳,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
«1810-1670»,«暦日0»,十四〳,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
«1810-1680»,«暦日2»,十五〳,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
«1810-1690»,«暦日0»,十六〳,つちのとのみ,とつ,,　,十し
«1810-1700»,«暦日2»,十七〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1810-1710»,«暦日0»,十八〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1810-1720»,«暦日2»,十九〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1810-1730»,«暦日0»,廿〳,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
«1810-1740»,«暦日1»,廿一〳,きのえいぬ,さたん,火,　,わうまう  わたまし くらたてよし
«1810-1750»,«節中»,夏至五月中いの初刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1810-1760»,«暦日1»,廿二〳,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
«1810-1770»,«暦日2»,廿三〳,ひのえね,やふる,水,　,●
«1810-1780»,«暦日0»,廿四〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1810-1790»,«暦日2»,廿五〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1810-1800»,«暦日0»,廿六〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1810-1810»,«暦日2»,廿七〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1810-1820»,«暦日0»,廿八〳,かのとのみ,とつ,,　,十し
«1810-1830»,«暦日2»,廿九〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1810-1840»,«暦日0»,卅〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1810-1850»,«月序»,六月,小,建,癸未,昴宿　畢　月よう
«1810-1860»,«暦日2»,一〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1810-1870»,«暦日0»,二〳,きのとのとり,たいら,,はんけしやう,神よし めつもん 地火
«1810-1880»,«暦日2»,三〳,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
«1810-1890»,«暦日0»,四〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1810-1900»,«暦日2»,五〳,つちのえね,やふる,火,　,●
«1810-1910»,«暦日0»,六〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1810-1920»,«暦日1»,七〳,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
«1810-1930»,«節中»,小暑六月せつ今暁うしの六刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1810-1940»,«暦日1»,八〳,かのとのう,なる,木,　,神よし 母倉 天火 らうしやく
«1810-1950»,«暦日2»,九〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1810-1960»,«暦日0»,十〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1810-1970»,«暦日2»,十一〳,きのえむま,とつ,金,　,●
«1810-1980»,«暦日0»,十二〳,きのとのひつし,たつ,,　,大みやう 五む日
«1810-1990»,«暦日2»,十三〳,ひのえさる,のそく,火,　,神よし
«1810-2000»,«暦日0»,十四〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1810-2010»,«暦日2»,十五〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1810-2020»,«暦日0»,十六〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1810-2030»,«暦日2»,十七〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1810-2040»,«暦日0»,十八〳,かのとのうし,やふる,,　,十し
«1810-2050»,«暦日2»,十九〳,みつのえとら,あやふ,金,とよううの六刻ニ入,大みやう  けんふく  つめとりよし
«1810-2060»,«暦日0»,廿〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1810-2070»,«暦日2»,廿一〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1810-2080»,«暦日0»,廿二〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1810-2090»,«節中»,大暑六月中たつの二刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1810-2100»,«暦日2»,廿三〳,ひのえむま,とつ,水,　,●
«1810-2110»,«暦日0»,廿四〳,ひのとのひつし,たつ,,　,さい下しき くゑ日
«1810-2120»,«暦日2»,廿五〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1810-2130»,«暦日0»,廿六〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1810-2140»,«暦日2»,廿七〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1810-2150»,«暦日0»,廿八〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1810-2160»,«暦日1»,廿九〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1810-2170»,«月序»,七月,大,建,甲申,畢宿　觜　火よう
«1810-2180»,«暦日1»,一〳,みつのとのうし,やふる,木,ま日,十し
«1810-2190»,«暦日2»,二〳,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
«1810-2200»,«暦日0»,三〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1810-2210»,«暦日2»,四〳,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
«1810-2220»,«暦日0»,五〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1810-2230»,«暦日2»,六〳,つちのえむま,とつ,火,ま日,●
«1810-2240»,«暦日0»,七〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1810-2250»,«暦日1»,八〳,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
«1810-2260»,«節中»,立秋七月せつむまの八刻ニ入日の出より日入まて,昼五十六刻半余|夜四十三刻余,六より六まて,昼六十二刻余|夜三十七刻半余
«1810-2270»,«暦日1»,九〳,かのとのとり,のそく,木,　,十し
«1810-2280»,«暦日2»,十〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1810-2290»,«暦日0»,十一〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1810-2300»,«暦日2»,十二〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1810-2310»,«暦日0»,十三〳,きのとのうし,とる,,　,●
«1810-2320»,«暦日2»,十四〳,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
«1810-2330»,«暦日0»,十五〳,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
«1810-2340»,«暦日2»,十六〳,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ わうまう  いちたちよし
«1810-2350»,«暦日0»,十七〳,つちのとのみ,おさん,,　,神よし 大くわ ちう日
«1810-2360»,«暦日2»,十八〳,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
«1810-2370»,«暦日0»,十九〳,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
«1810-2380»,«暦日2»,廿〳,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
«1810-2390»,«暦日0»,廿一〳,みつのとのとり,のそく,,　,十し
«1810-2400»,«暦日2»,廿二〳,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
