《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《0050》,# 外部リンク
《0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/105 ～ 111
《0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1767g　(GitHub上データを表成型)
《0080》,# 　　　　　　 　http://hosi.org:3000/Note/1767h　(翻刻編集データを表成型 - 未実装)
《0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《0100》,《版元》,出版地○○,出版元□□□,　
《1650》,《節中》,芒種五月せつ今暁うしの四刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1660》,《暦日1》,十二／,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
《1670》,《暦日2》,十三／,ひのえね,やふる,水,　,●
《1680》,《暦日0》,十四／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1690》,《暦日2》,十五／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1700》,《暦日0》,十六／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1710》,《暦日2》,十七／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1720》,《暦日0》,十八／,かのとのみ,とつ,,　,十し
《1730》,《暦日2》,十九／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1740》,《暦日0》,廿／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1750》,《暦日2》,廿一／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1760》,《暦日0》,廿二／,きのとのとり,たいら,,　,神よし めつもん 地火
《1770》,《暦日2》,廿三／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1780》,《暦日0》,廿四／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1790》,《暦日2》,廿五／,つちのえね,やふる,火,　,●
《1800》,《暦日0》,廿六／,つちのとのうし,あやふ,,　,わうまう  田うへ  つめとりよし
《1810》,《節中》,夏至五月中たつの一刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1820》,《暦日2》,廿七／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1830》,《暦日0》,廿八／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1840》,《暦日1》,廿九／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1850》,《月序》,六月,大,建,丁未,尾宿　婁　金よう
《1860》,《暦日1》,一／,みつのとのみ,とつ,水,天一天上,十し
《1870》,《暦日2》,二／,きのえむま,たつ,金,　,天しや よろつよし
《1880》,《暦日0》,三／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1890》,《暦日2》,四／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1900》,《暦日0》,五／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1910》,《暦日2》,六／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1920》,《暦日0》,七／,つちのとのい,とる,,はんけしやう,神よし ちう日
《1930》,《暦日2》,八／,かのえね,やふる,土,　,●
《1940》,《暦日0》,九／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1950》,《暦日2》,十／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1960》,《暦日0》,十一／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1970》,《暦日1》,十二／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1980》,《節中》,小暑六月せつむまの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1990》,《暦日1》,十三／,きのとのみ,ひらく,火,　,大みやう 母倉 ちう日
《2000》,《暦日2》,十四／,ひのえむま,とつ,水,　,●
《2010》,《暦日0》,十五／,ひのとのひつし,たつ,,　,くゑ日
《2020》,《暦日1》,十六／,つちのえさる,のそく,土,　,ふく日
《2030》,《食記》,月そく五十秒
《2040》,《暦日1》,十七／,つちのとのとり,みつ,土,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2050》,《暦日2》,十八／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《2060》,《暦日0》,十九／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2070》,《暦日2》,廿／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《2080》,《暦日0》,廿一／,みつのとのうし,やふる,,ま日,十し
《2090》,《暦日2》,廿二／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2100》,《暦日0》,廿三／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2110》,《暦日2》,廿四／,ひのえたつ,おさん,土,ま日/とようさるの六刻ニ入,大みやう めつもん  けんふくよし
《2120》,《暦日0》,廿五／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《2130》,《暦日2》,廿六／,つちのえむま,とつ,火,ま日,●
《2140》,《暦日0》,廿七／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《2150》,《節中》,大暑六月中とりの三刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《2160》,《暦日2》,廿八／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《2170》,《暦日0》,廿九／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《2180》,《暦日1》,卅／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《2190》,《月序》,七月,小,建,戊申,箕宿　昴　日よう
《2200》,《暦日1》,一／,みつのとのい,さたん,水,八せんのおはり,ちう日
《2210》,《暦日2》,二／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《2220》,《暦日0》,三／,きのとのうし,やふる,,　,十し
《2230》,《暦日2》,四／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《2240》,《暦日0》,五／,ひのとのう,なる,,　,天おん 天火 らうしやく わうまう
《2250》,《暦日2》,六／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
《2260》,《暦日0》,七／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《2270》,《暦日2》,八／,かのえむま,とつ,土,　,●
《2280》,《暦日0》,九／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2290》,《暦日2》,十／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2300》,《暦日0》,十一／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2310》,《暦日1》,十二／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2320》,《節中》,立秋七月せついの八刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2330》,《暦日1》,十三／,きのとのい,たいら,火,　,ちう日 めつもん 地火
《2340》,《暦日2》,十四／,ひのえね,さたん,水,　, 田かりよし
《2350》,《暦日0》,十五／,ひのとのうし,とる,,　,●
