《1866-0000》,# カンマ区切りテキスト形式です。
《1866-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1866-2460》,《暦日1》,卅／,ひのえいぬ,のそく,土,　,母倉 五む日 ちいみ
《1866-2470》,《節中》,白露八月せつ明六時九分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《1866-2480》,《月序》,八月,大,建,丁酉,觜宿　昴　日よう
《1866-2490》,《暦日1》,一／,ひのとのい,みつ,土,　,大みやう ちう日  入学よし
《1866-2500》,《暦日2》,二／,つちのえね,たいら,火,　,大くわ 地火
《1866-2510》,《暦日0》,三／,つちのとのうし,さたん,,二百廿日,母倉  かまぬり  つめとりよし
《1866-2520》,《暦日2》,四／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《1866-2530》,《暦日0》,五／,かのとのう,やふる,,　,ふく日  田かりよし
《1866-2540》,《暦日2》,六／,みつのえたつ,あやふ,水,　,きしく 大みやう 母倉 五む日
《1866-2550》,《暦日0》,七／,みつのとのみ,なる,,天一天上,十し
《1866-2560》,《暦日2》,八／,きのえむま,おさん,金,　,めつもん
《1866-2570》,《暦日0》,九／,きのとのひつし,ひらく,,　,●
《1866-2580》,《暦日2》,十／,ひのえさる,とつ,火,　,神よし
《1866-2590》,《暦日0》,十一／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《1866-2600》,《暦日2》,十二／,つちのえいぬ,のそく,木,社日/ひかんニなる,母倉 ちいみ  ふねのり 田かりよし
《1866-2610》,《暦日0》,十三／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《1866-2620》,《暦日2》,十四／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《1866-2630》,《暦日0》,十五／,かのとのうし,さたん,,　,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《1866-2640》,《節中》,秋分八月中昼八時九分日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《1866-2650》,《暦日1》,十六／,みつのえとら,とる,金,　,大みやう きこ  つめとりよし
《1866-2660》,《食記》,月そく皆既
《1866-2670》,《暦日1》,十七／,みつのとのう,やふる,金,　,わうまう  くらたて 田かりよし
《1866-2680》,《暦日2》,十八／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
《1866-2690》,《暦日0》,十九／,きのとのみ,なる,,　,十し
《1866-2700》,《暦日2》,廿／,ひのえむま,おさん,水,　,大みやう めつもん
《1866-2710》,《暦日0》,廿一／,ひのとのひつし,ひらく,,　,●
《1866-2720》,《暦日2》,廿二／,つちのえさる,とつ,土,　,天しや よろつよし
《1866-2730》,《暦日0》,廿三／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《1866-2740》,《暦日2》,廿四／,かのえいぬ,のそく,金,　,大みやう 天おん 母倉 月とく ちいみ
《1866-2750》,《暦日0》,廿五／,かのとのい,みつ,,　,神よし 大みやう 天おん ちう日 ふく日
《1866-2760》,《暦日2》,廿六／,みつのえね,たいら,木,八せんのはしめ,神よし 天おん 大くわ 地火
《1866-2770》,《暦日0》,廿七／,みつのとのうし,さたん,,ま日,神よし 天おん 母倉  たねまき 竹木こり  つめとりよし
