《1836-0000》,# カンマ区切りテキスト形式です。
《1836-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1836-0020》,# ・表の区画内での改行は“/”で表記します。
《1836-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1836-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1836-0050》,# 外部リンク
《1836-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/134 ～ 138
《1836-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1836g　(GitHub上データを表成型)
《1836-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1836h　(翻刻編集データを表成型 - 未実装)
《1836-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1836-0100》,《版元》,出版地○○,出版元□□□,　
《1836-1730》,《暦日0》,廿一／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1836-1740》,《暦日2》,廿二／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1836-1750》,《暦日0》,廿三／,きのとのみ,とつ,,　,十し
《1836-1760》,《暦日1》,廿四／,ひのえむま,とつ,水,　,●
《1836-1770》,《節中》,小暑六月せつみの二刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1836-1780》,《暦日1》,廿五／,ひのとのひつし,たつ,水,　,くゑ日
《1836-1790》,《暦日2》,廿六／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1836-1800》,《暦日0》,廿七／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1836-1810》,《暦日2》,廿八／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《1836-1820》,《暦日0》,廿九／,かのとのい,さたん,,　,大みやう 天おん ちう日
《1836-1830》,《暦日1》,卅／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1836-1840》,《月序》,六月,小,建,乙未,井宿　斗　木よう
《1836-1850》,《暦日1》,一／,みつのとのうし,やふる,木,ま日,十し
《1836-1860》,《暦日2》,二／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1836-1870》,《暦日0》,三／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1836-1880》,《暦日2》,四／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1836-1890》,《暦日0》,五／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1836-1900》,《暦日2》,六／,つちのえむま,とつ,火,ま日/とようひつしの三刻ニ入,●
《1836-1910》,《暦日0》,七／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1836-1920》,《暦日2》,八／,かのえさる,のそく,木,初伏,神よし 大みやう  くさかりよし
《1836-1930》,《暦日0》,九／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1836-1940》,《節中》,大暑六月中ひつしの八刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1836-1950》,《暦日2》,十／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1836-1960》,《暦日0》,十一／,みつのとのい,さたん,,八せんのおはり,ちう日
《1836-1970》,《暦日2》,十二／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1836-1980》,《暦日0》,十三／,きのとのうし,やふる,,　,十し
《1836-1990》,《暦日2》,十四／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1836-2000》,《暦日0》,十五／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1836-2010》,《暦日2》,十六／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん
《1836-2020》,《暦日0》,十七／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日 わうまう
《1836-2030》,《暦日2》,十八／,かのえむま,とつ,土,中伏,●
《1836-2040》,《暦日0》,十九／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1836-2050》,《暦日2》,廿／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1836-2060》,《暦日0》,廿一／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1836-2070》,《暦日2》,廿二／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1836-2080》,《暦日0》,廿三／,きのとのい,さたん,,　,ちう日
《1836-2090》,《暦日1》,廿四／,ひのえね,さたん,水,　, 田かりよし
《1836-2100》,《節中》,立秋七月せついぬの四刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1836-2110》,《暦日1》,廿五／,ひのとのうし,とる,水,　,●
《1836-2120》,《暦日2》,廿六／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1836-2130》,《暦日0》,廿七／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1836-2140》,《暦日2》,廿八／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《1836-2150》,《暦日0》,廿九／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1836-2160》,《月序》,七月,大,建,丙申,鬼宿　牛　金よう
《1836-2170》,《暦日2》,一／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1836-2180》,《暦日0》,二／,みつのとのひつし,とつ,,　,天おん 母倉
《1836-2190》,《暦日2》,三／,きのえさる,たつ,水,十方くれニ入,大みやう ふく日 わうまう 下しきみの時
《1836-2200》,《暦日0》,四／,きのとのとり,のそく,,　,十し
《1836-2210》,《暦日2》,五／,ひのえいぬ,みつ,土,　,母倉 五む日
《1836-2220》,《暦日0》,六／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1836-2230》,《暦日2》,七／,つちのえね,さたん,火,　, けんふく くさかりよし
《1836-2240》,《暦日0》,八／,つちのとのうし,とる,,　,●
《1836-2250》,《暦日2》,九／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1836-2260》,《暦日0》,十／,かのとのう,あやふ,,　,神よし
《1836-2270》,《暦日1》,十一／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1836-2280》,《節中》,処暑七月中今暁うしの一刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1836-2290》,《暦日1》,十二／,みつのとのみ,おさん,水,天一天上,大くわ ちう日  たねまきよし
《1836-2300》,《暦日2》,十三／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1836-2310》,《暦日0》,十四／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1836-2320》,《暦日2》,十五／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
