«1799-0000»,【 カンマ区切りテキスト形式です。】
«1799-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1799-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1799-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1799-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1799-0050»,【 外部リンク　】
«1799-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/256 ～ 261】
«1799-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1799h　(翻刻編集終了データを表成型して表示します)】
«1799-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1799ht (翻刻編集中データを表成型して表示します)】
«1799-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1799-0100»,«版元»,出版地○○,出版元□□□,　
«1799-1300»,«暦日0»,九〳,ひのとのとり,さたん,,　,十し
«1799-1310»,«暦日2»,十〳,つちのえいぬ,とる,木,　,わうまう  くらたて かまぬりよし
«1799-1320»,«暦日0»,十一〳,つちのとのい,やふる,,　,くゑ日 ちう日
«1799-1330»,«暦日2»,十二〳,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
«1799-1340»,«暦日0»,十三〳,かのとのうし,なる,,　,五む日 きこ  つめとりよし
«1799-1350»,«暦日2»,十四〳,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
«1799-1360»,«暦日0»,十五〳,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
«1799-1370»,«暦日2»,十六〳,きのえたつ,とつ,火,　,大みやう
«1799-1380»,«暦日0»,十七〳,きのとのみ,たつ,,　,●
«1799-1390»,«暦日1»,十八〳,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
«1799-1400»,«節中»,小満四月中とりの七刻日の出より日入まて,昼五十八刻余|夜四十一刻半余,六より六まて,昼六十四刻|夜三十六刻
«1799-1410»,«暦日1»,十九〳,ひのとのひつし,みつ,水,　,くゑ日
«1799-1420»,«暦日2»,廿〳,つちのえさる,たいら,土,　,神よし きしく ちいみ 大くわ 地火
«1799-1430»,«暦日0»,廿一〳,つちのとのとり,さたん,,　,十し
«1799-1440»,«暦日2»,廿二〳,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
«1799-1450»,«暦日0»,廿三〳,かのとのい,やふる,,　,神よし 大みやう 天おん ちう日  さひらきよし
«1799-1460»,«暦日2»,廿四〳,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
«1799-1470»,«暦日0»,廿五〳,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
«1799-1480»,«暦日2»,廿六〳,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
«1799-1490»,«暦日0»,廿七〳,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
«1799-1500»,«暦日2»,廿八〳,ひのえたつ,とつ,土,ま日,大みやう ふく日
«1799-1510»,«暦日0»,廿九〳,ひのとのみ,たつ,,　,●
«1799-1520»,«暦日1»,卅〳,つちのえむま,のそく,火,ま日,くゑ日
«1799-1530»,«月序»,五月,小,建,庚午,星宿　尾　火よう
«1799-1540»,«暦日1»,一〳,つちのとのひつし,みつ,火,　,大みやう くゑ日
«1799-1550»,«暦日2»,二〳,かのえさる,たいら,木,　,さい下しき 神よし 大みやう 月とく ちいみ 大くわ 地火
«1799-1560»,«暦日0»,三〳,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
«1799-1570»,«節中»,芒種五月せつ今夜ねの四刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1799-1580»,«暦日2»,四〳,みつのえいぬ,さたん,水,入梅|ま日, むきかりよし
«1799-1590»,«暦日0»,五〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1799-1600»,«暦日2»,六〳,きのえね,やふる,金,　,●
«1799-1610»,«暦日0»,七〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
