«1711-0000»,【 カンマ区切りテキスト形式です。】
«1711-2750»,«暦日2»,八〳,きのえむま,なる,金,とようむまの八刻ニ入,くゑ日
«1711-2760»,«暦日0»,九〳,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
«1711-2770»,«暦日2»,十〳,ひのえさる,ひらく,火,　,くゑ日
«1711-2780»,«暦日0»,十一〳,ひのとのとり,とつ,,九月中ひつしの四刻,くゑ日
«1711-2790»,«暦日2»,十二〳,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
«1711-2800»,«暦日0»,十三〳,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
«1711-2810»,«暦日2»,十四〳,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
«1711-2820»,«暦日0»,十五〳,かのとのうし,たいら,,　,十し
«1711-2830»,«暦日2»,十六〳,みつのえとら,さたん,金,　,●
«1711-2840»,«暦日0»,十七〳,みつのとのう,とる,,　,神よし  けんふく かといてよし
«1711-2850»,«暦日2»,十八〳,きのえたつ,やふる,火,　,大みやう
«1711-2860»,«暦日0»,十九〳,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
«1711-2870»,«暦日2»,廿〳,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
«1711-2880»,«暦日0»,廿一〳,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
«1711-2890»,«暦日2»,廿二〳,つちのえさる,ひらく,土,　,天しや よろつよし
«1711-2900»,«暦日0»,廿三〳,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
