«1700-0000»,【 カンマ区切りテキスト形式です。】
«1700-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1700-2240»,«暦日2»,十七〳,つちのえさる,たつ,土,　,天しや よろつよし
«1700-2250»,«暦日0»,十八〳,つちのとのとり,のそく,,　,十し
«1700-2260»,«暦日2»,十九〳,かのえいぬ,みつ,金,二百十日,大みやう ふく日
«1700-2270»,«暦日0»,廿〳,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
«1700-2280»,«暦日2»,廿一〳,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
«1700-2290»,«暦日0»,廿二〳,みつのとのうし,とる,,ま日,●
«1700-2300»,«暦日2»,廿三〳,きのえとら,とる,水,八月せつうの六刻ニ入,きこ  かまぬり 田かり  つめとりよし
«1700-2310»,«暦日0»,廿四〳,きのとのう,やふる,,　,くゑ日 ふく日
«1700-2320»,«暦日2»,廿五〳,ひのえたつ,あやふ,土,ま日,大みやう
«1700-2330»,«暦日0»,廿六〳,ひのとのみ,なる,,　,十し
«1700-2340»,«暦日2»,廿七〳,つちのえむま,おさん,火,ま日,めつもん
«1700-2350»,«暦日0»,廿八〳,つちのとのひつし,ひらく,,　,●
«1700-2360»,«暦日1»,廿九〳,かのえさる,とつ,木,二百廿日,神よし 大みやう  入学よし
«1700-2370»,«月序»,八月,小,建,乙酉,婁宿　危　月よう
«1700-2380»,«暦日1»,一〳,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
«1700-2390»,«暦日2»,二〳,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
«1700-2400»,«暦日0»,三〳,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
«1700-2410»,«暦日2»,四〳,きのえね,たいら,金,　,大くわ 地火  わたましよし
«1700-2420»,«暦日0»,五〳,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
«1700-2430»,«暦日2»,六〳,ひのえとら,とる,火,　,きこ  つめとりよし
«1700-2440»,«暦日0»,七〳,ひのとのう,やふる,,　, 田かりよし
«1700-2450»,«暦日2»,八〳,つちのえたつ,あやふ,木,社日,五む日  みそすつくりよし
