《1831-0000》,# カンマ区切りテキスト形式です。
《1831-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1831-0020》,# ・表の区画内での改行は“/”で表記します。
《1831-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1831-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1831-0050》,# 外部リンク
《1831-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/113 ～ 117
《1831-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1831g　(GitHub上データを表成型)
《1831-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1831h　(翻刻編集データを表成型 - 未実装)
《1831-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1831-0100》,《版元》,出版地○○,出版元□□□,　
《1831-1570》,《暦日0》,六／,ひのとのみ,とつ,,　,十し
《1831-1580》,《暦日2》,七／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1831-1590》,《暦日0》,八／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1831-1600》,《暦日2》,九／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1831-1610》,《暦日0》,十／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1831-1620》,《暦日2》,十一／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1831-1630》,《暦日0》,十二／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1831-1640》,《暦日1》,十三／,きのえね,やふる,金,　,●
《1831-1650》,《節中》,夏至五月中今夜ねの一刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1831-1660》,《暦日1》,十四／,きのとのうし,あやふ,金,　,神よし 天おん  つめとりよし
《1831-1670》,《暦日2》,十五／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1831-1680》,《暦日0》,十六／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
