《1802-0000》,# カンマ区切りテキスト形式です。
《1802-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1802-0020》,# ・表の区画内での改行は“/”で表記します。
《1802-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1802-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1802-0050》,# 外部リンク
《1802-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/271 ～ 275
《1802-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1802g　(GitHub上データを表成型)
《1802-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1802h　(翻刻編集データを表成型 - 未実装)
《1802-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1802-0100》,《版元》,出版地○○,出版元□□□,　
《1802-1760》,《節中》,夏至五月中いの七刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1802-1770》,《暦日1》,廿四／,みつのとのみ,とつ,水,天一天上,十し
《1802-1780》,《暦日2》,廿五／,きのえむま,たつ,金,　,天しや よろつよし
《1802-1790》,《暦日0》,廿六／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1802-1800》,《暦日2》,廿七／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1802-1810》,《暦日0》,廿八／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1802-1820》,《暦日2》,廿九／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1802-1830》,《暦日0》,卅／,つちのとのい,とる,,　,神よし ちう日
《1802-1840》,《月序》,六月,小,建,丁未,尾宿　箕　水よう
《1802-1850》,《暦日2》,一／,かのえね,やふる,土,　,●
《1802-1860》,《暦日0》,二／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1802-1870》,《暦日2》,三／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1802-1880》,《暦日0》,四／,みつのとのう,おさん,,はんけしやう,母倉 ちいみ 大くわ ふく日
《1802-1890》,《暦日2》,五／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1802-1900》,《暦日0》,六／,きのとのみ,とつ,,　,十し
《1802-1910》,《暦日2》,七／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1802-1920》,《暦日0》,八／,ひのとのひつし,のそく,,　,神よし ふく日
《1802-1930》,《暦日1》,九／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
