«1827-0000»,【 カンマ区切りテキスト形式です。】
«1827-1550»,«暦日0»,二〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1827-1560»,«暦日2»,三〳,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
«1827-1570»,«暦日0»,四〳,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
«1827-1580»,«暦日2»,五〳,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
«1827-1590»,«暦日0»,六〳,かのとのみ,たつ,,　,●
«1827-1600»,«暦日2»,七〳,みつのえむま,のそく,木,　,神よし 大みやう 天おん ふく日
«1827-1610»,«暦日0»,八〳,みつのとのひつし,みつ,,　,くゑ日
«1827-1620»,«暦日2»,九〳,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
«1827-1630»,«暦日0»,十〳,きのとのとり,さたん,,　,十し
«1827-1640»,«暦日2»,十一〳,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
«1827-1650»,«暦日0»,十二〳,ひのとのい,やふる,,　,大みやう ちう日
«1827-1660»,«暦日1»,十三〳,つちのえね,やふる,火,　,●
«1827-1670»,«節中»,芒種五月せつとりの七刻ニ入日の出より日入まて,昼五十九刻半|夜四十刻半,六より六まて,昼六十五刻余|夜三十四刻半余
«1827-1680»,«暦日1»,十四〳,つちのとのうし,あやふ,火,　, 田うへ  つめとりよし
«1827-1690»,«暦日2»,十五〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1827-1700»,«暦日0»,十六〳,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
«1827-1710»,«暦日2»,十七〳,みつのえたつ,ひらく,水,入梅,大みやう 五む日
«1827-1720»,«暦日0»,十八〳,みつのとのみ,とつ,,天一天上,十し
«1827-1730»,«暦日2»,十九〳,きのえむま,たつ,金,　,天しや よろつよし
«1827-1740»,«暦日0»,廿〳,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
«1827-1750»,«暦日2»,廿一〳,ひのえさる,みつ,火,　,神よし きしく 月とく  入学 いちたちよし
«1827-1760»,«暦日0»,廿二〳,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
«1827-1770»,«暦日2»,廿三〳,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
«1827-1780»,«暦日0»,廿四〳,つちのとのい,とる,,　,神よし ちう日
«1827-1790»,«暦日2»,廿五〳,かのえね,やふる,土,　,●
«1827-1800»,«暦日0»,廿六〳,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
«1827-1810»,«暦日2»,廿七〳,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
«1827-1820»,«暦日0»,廿八〳,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日 わうまう
«1827-1830»,«節中»,夏至五月中今夜ねの四刻日の出より日入まて,昼五十九刻半余|夜四十刻余,六より六まて,昼六十五刻半余|夜三十四刻余
«1827-1840»,«暦日1»,廿九〳,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
«1827-1850»,«月序»,六月,大,建,丁未,張宿　房　日よう
«1827-1860»,«暦日1»,一〳,きのとのみ,とつ,火,　,十し
«1827-1870»,«暦日2»,二〳,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
«1827-1880»,«暦日0»,三〳,ひのとのひつし,のそく,,　,神よし ふく日
«1827-1890»,«暦日2»,四〳,つちのえさる,みつ,土,　,神よし  入学よし
