«1776-0000»,【 カンマ区切りテキスト形式です。】
«1776-1570»,«暦日1»,六〳,ひのえね,やふる,水,　,●
«1776-1580»,«節中»,夏至五月中ひつしの八刻日の出より日入まて,昼六十刻|夜四十刻,六より六まて,昼六十五刻|夜三十五刻
«1776-1590»,«暦日1»,七〳,ひのとのうし,あやふ,水,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1776-1600»,«暦日2»,八〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1776-1610»,«暦日0»,九〳,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
«1776-1620»,«暦日2»,十〳,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
«1776-1630»,«暦日0»,十一〳,かのとのみ,とつ,,　,十し
«1776-1640»,«暦日2»,十二〳,みつのえむま,たつ,木,　,大みやう 天おん 下しきうの時
«1776-1650»,«暦日0»,十三〳,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
«1776-1660»,«暦日2»,十四〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1776-1670»,«暦日0»,十五〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1776-1680»,«暦日2»,十六〳,ひのえいぬ,さたん,土,はんけしやう,月とく 五む日  むきかりよし
«1776-1690»,«暦日0»,十七〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1776-1700»,«暦日2»,十八〳,つちのえね,やふる,火,　,●
«1776-1710»,«暦日0»,十九〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1776-1720»,«暦日2»,廿〳,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
«1776-1730»,«暦日0»,廿一〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1776-1740»,«節中»,小暑六月せついぬの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1776-1750»,«暦日2»,廿二〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1776-1760»,«暦日0»,廿三〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1776-1770»,«暦日2»,廿四〳,きのえむま,とつ,金,　,●
«1776-1780»,«暦日0»,廿五〳,きのとのひつし,たつ,,　,大みやう 五む日
«1776-1790»,«暦日2»,廿六〳,ひのえさる,のそく,火,　,神よし
«1776-1800»,«暦日0»,廿七〳,ひのとのとり,みつ,,　,さい下しき 神よし ちいみ  くさかりよし
«1776-1810»,«暦日2»,廿八〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1776-1820»,«暦日0»,廿九〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1776-1830»,«暦日1»,卅〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1776-1840»,«月序»,六月,小,建,乙未,亢宿　觜　火よう
«1776-1850»,«暦日1»,一〳,かのとのうし,やふる,土,　,十し
«1776-1860»,«暦日2»,二〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1776-1870»,«暦日0»,三〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1776-1880»,«暦日2»,四〳,きのえたつ,おさん,火,とよう今暁ねの五刻ニ入,きしく 大みやう 月とく めつもん  わたましよし
«1776-1890»,«暦日0»,五〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1776-1900»,«暦日2»,六〳,ひのえむま,とつ,水,　,●
«1776-1910»,«暦日0»,七〳,ひのとのひつし,たつ,,　,くゑ日
«1776-1920»,«節中»,大暑六月中今暁うしの一刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1776-1930»,«暦日2»,八〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1776-1940»,«暦日0»,九〳,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
«1776-1950»,«暦日2»,十〳,かのえいぬ,たいら,金,中伏,大みやう 天おん 大くわ 地火
«1776-1960»,«暦日0»,十一〳,かのとのい,さたん,,　,大みやう 天おん ちう日
«1776-1970»,«暦日2»,十二〳,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
«1776-1980»,«暦日0»,十三〳,みつのとのうし,やふる,,ま日,十し
«1776-1990»,«暦日2»,十四〳,きのえとら,あやふ,水,　,母倉 月とく わうまう  やたて  つめとりよし
«1776-2000»,«暦日0»,十五〳,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1776-2010»,«暦日2»,十六〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1776-2020»,«暦日0»,十七〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1776-2030»,«暦日2»,十八〳,つちのえむま,とつ,火,ま日,●
«1776-2040»,«暦日0»,十九〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1776-2050»,«暦日2»,廿〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1776-2060»,«暦日0»,廿一〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1776-2070»,«暦日1»,廿二〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1776-2080»,«節中»,立秋七月せつうの六刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1776-2090»,«暦日1»,廿三〳,みつのとのい,たいら,水,八せんのおはり,ちう日 めつもん 地火
«1776-2100»,«暦日2»,廿四〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
«1776-2110»,«暦日0»,廿五〳,きのとのうし,とる,,　,●
