《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1970》,《暦日0》,十二／,つちのとのみ,ひらく,,とよう夕七時五分ニ入,くゑ日 ちう日 ふく日
《1980》,《暦日2》,十三／,かのえむま,とつ,土,初伏,●
《1990》,《暦日0》,十四／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《2000》,《暦日2》,十五／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《2010》,《暦日0》,十六／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《2020》,《節中》,大暑六月中朝五時二分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2030》,《暦日2》,十七／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《2040》,《暦日0》,十八／,きのとのい,さたん,,　,ちう日
《2050》,《暦日2》,十九／,ひのえね,とる,水,　,きしく きこ 下しきたつの時
《2060》,《暦日0》,廿／,ひのとのうし,やふる,,　,十し
《2070》,《暦日2》,廿一／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《2080》,《暦日0》,廿二／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《2090》,《暦日2》,廿三／,かのえたつ,おさん,金,中伏,天おん めつもん わうまう  けんふくよし
《2100》,《暦日0》,廿四／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《2110》,《暦日2》,廿五／,みつのえむま,とつ,木,　,●
《2120》,《暦日0》,廿六／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2130》,《暦日2》,廿七／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2140》,《暦日0》,廿八／,きのとのとり,みつ,,　,神よし ちいみ
《2150》,《暦日1》,廿九／,ひのえいぬ,たいら,土,　,さい下しき 五む日 大くわ 地火
《2160》,《月序》,七月,大,建,丙申,奎宿　尾　火よう
《2170》,《暦日1》,一／,ひのとのい,さたん,土,　,大みやう ちう日
《2180》,《暦日1》,二／,つちのえね,さたん,火,　, けんふく くさかりよし
《2190》,《節中》,立秋七月せつ夜四時八分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2200》,《暦日1》,三／,つちのとのうし,とる,火,　,●
《2210》,《暦日2》,四／,かのえとら,やふる,木,末伏,ふく日  つめとりよし
《2220》,《暦日0》,五／,かのとのう,あやふ,,　,神よし
《2230》,《暦日2》,六／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《2240》,《暦日0》,七／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《2250》,《暦日2》,八／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《2260》,《暦日0》,九／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《2270》,《暦日2》,十／,ひのえさる,たつ,火,　,わうまう 下しきみの時  入学よし
《2280》,《暦日0》,十一／,ひのとのとり,のそく,,　,十し
《2290》,《暦日2》,十二／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《2300》,《暦日0》,十三／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《2310》,《暦日2》,十四／,かのえね,さたん,土,　,神よし ふく日
《2320》,《暦日0》,十五／,かのとのうし,とる,,　,●
《2330》,《暦日2》,十六／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2340》,《暦日0》,十七／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2350》,《暦日1》,十八／,きのえたつ,なる,火,　,きしく 大みやう くゑ日 ちいみ ふく日
《2360》,《節中》,処暑七月中昼九時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2370》,《暦日1》,十九／,きのとのみ,おさん,火,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2380》,《暦日2》,廿／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2390》,《暦日0》,廿一／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2400》,《暦日2》,廿二／,つちのえさる,たつ,土,　,天しや よろつよし
《2410》,《暦日0》,廿三／,つちのとのとり,のそく,,　,十し
《2420》,《暦日2》,廿四／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
