«1785-0000»,【 カンマ区切りテキスト形式です。】
«1785-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1785-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1785-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1785-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1785-0050»,【 外部リンク　】
«1785-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/193 ～ 197】
«1785-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1785h　(翻刻編集終了データを表成型して表示します)】
«1785-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1785ht (翻刻編集中データを表成型して表示します)】
«1785-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1785-0100»,«版元»,出版地○○,出版元□□□,　
«1785-1740»,«暦日2»,廿二〳,かのえむま,たつ,土,　,下しきうの時  むきかりよし
«1785-1750»,«暦日0»,廿三〳,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
«1785-1760»,«暦日2»,廿四〳,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
«1785-1770»,«暦日0»,廿五〳,みつのとのとり,たいら,,はんけしやう,神よし 大みやう ふく日 めつもん 地火
«1785-1780»,«暦日2»,廿六〳,きのえいぬ,さたん,火,　, わたまし くらたてよし
«1785-1790»,«暦日0»,廿七〳,きのとのい,とる,,　,ちう日  むきかり 田うへよし
«1785-1800»,«暦日2»,廿八〳,ひのえね,やふる,水,　,●
«1785-1810»,«暦日0»,廿九〳,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
«1785-1820»,«月序»,六月,大,建,癸未,張宿　參　水よう
«1785-1830»,«暦日2»,一〳,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
«1785-1840»,«暦日0»,二〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1785-1850»,«節中»,小暑六月せつ今暁ねの五刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1785-1860»,«暦日2»,三〳,かのえたつ,おさん,金,　,きしく 天おん めつもん  けんふくよし
«1785-1870»,«暦日0»,四〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1785-1880»,«暦日2»,五〳,みつのえむま,とつ,木,　,●
«1785-1890»,«暦日0»,六〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1785-1900»,«暦日2»,七〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
«1785-1910»,«暦日0»,八〳,きのとのとり,みつ,,　,神よし ちいみ
«1785-1920»,«暦日2»,九〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1785-1930»,«暦日0»,十〳,ひのとのい,さたん,,　,大みやう ちう日
«1785-1940»,«暦日2»,十一〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1785-1950»,«暦日0»,十二〳,つちのとのうし,やふる,,　,十し
«1785-1960»,«暦日2»,十三〳,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
«1785-1970»,«暦日0»,十四〳,かのとのう,なる,,とよう今暁とらの六刻ニ入,神よし 母倉 天火 らうしやく
«1785-1980»,«暦日2»,十五〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1785-1990»,«暦日0»,十六〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1785-2000»,«暦日1»,十七〳,きのえむま,とつ,金,　,●
«1785-2010»,«節中»,大暑六月中うの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1785-2020»,«暦日1»,十八〳,きのとのひつし,たつ,金,　,大みやう 五む日
«1785-2030»,«暦日2»,十九〳,ひのえさる,のそく,火,　,神よし
«1785-2040»,«暦日0»,廿〳,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
«1785-2050»,«暦日2»,廿一〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1785-2060»,«暦日0»,廿二〳,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
«1785-2070»,«暦日2»,廿三〳,かのえね,とる,土,中伏,きこ 下しきたつの時
«1785-2080»,«暦日0»,廿四〳,かのとのうし,やふる,,　,十し
«1785-2090»,«暦日2»,廿五〳,みつのえとら,あやふ,金,　,大みやう わうまう  けんふく  つめとりよし
«1785-2100»,«暦日0»,廿六〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1785-2110»,«暦日2»,廿七〳,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
«1785-2120»,«暦日0»,廿八〳,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
«1785-2130»,«暦日2»,廿九〳,ひのえむま,とつ,水,　,●
«1785-2140»,«暦日0»,卅〳,ひのとのひつし,たつ,,　,くゑ日
«1785-2150»,«月序»,七月,大,建,甲申,翼宿　鬼　金よう
«1785-2160»,«暦日1»,一〳,つちのえさる,のそく,土,　,きしく ふく日
«1785-2170»,«食記»,日そく六分,　
«1785-2180»,«暦日1»,二〳,つちのとのとり,のそく,土,　,十し
«1785-2190»,«節中»,立秋七月せつみの七刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1785-2200»,«暦日2»,三〳,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
«1785-2210»,«暦日0»,四〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1785-2220»,«暦日2»,五〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1785-2230»,«暦日0»,六〳,みつのとのうし,とる,,ま日,●
«1785-2240»,«暦日2»,七〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1785-2250»,«暦日0»,八〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1785-2260»,«暦日2»,九〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
«1785-2270»,«暦日0»,十〳,ひのとのみ,おさん,,　,月とく 大くわ ちう日 わうまう  ものたちよし
«1785-2280»,«暦日2»,十一〳,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
«1785-2290»,«暦日0»,十二〳,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
«1785-2300»,«暦日2»,十三〳,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
«1785-2310»,«暦日0»,十四〳,かのとのとり,のそく,,　,十し
«1785-2320»,«暦日2»,十五〳,みつのえいぬ,みつ,水,ま日,母倉 月とく
«1785-2330»,«暦日0»,十六〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1785-2340»,«暦日1»,十七〳,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
