«1760-0000»,【 カンマ区切りテキスト形式です。】
«1760-2130»,«暦日2»,廿七〳,かのえね,さたん,土,末伏,神よし きしく ふく日
«1760-2140»,«暦日0»,廿八〳,かのとのうし,とる,,　,●
«1760-2150»,«暦日1»,廿九〳,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
«1760-2160»,«月序»,七月,小,建,甲申,箕宿　張　月よう
«1760-2170»,«暦日1»,一〳,みつのとのう,あやふ,金,　,神よし  わたまし みそすつくりよし
«1760-2180»,«暦日2»,二〳,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
«1760-2190»,«暦日0»,三〳,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
«1760-2200»,«暦日2»,四〳,ひのえむま,ひらく,水,　,大みやう 天火 らうしやく わうまう  かといてよし
«1760-2210»,«暦日0»,五〳,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
«1760-2220»,«暦日2»,六〳,つちのえさる,たつ,土,　,天しや よろつよし
«1760-2230»,«暦日0»,七〳,つちのとのとり,のそく,,　,十し
«1760-2240»,«暦日2»,八〳,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
«1760-2250»,«暦日0»,九〳,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
«1760-2260»,«暦日2»,十〳,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
«1760-2270»,«暦日0»,十一〳,みつのとのうし,とる,,ま日,●
«1760-2280»,«節中»,処暑七月中むまの二刻日の出より日入まて,昼五十五刻余|夜四十四刻余,六より六まて,昼六十刻余|夜三十九刻余
«1760-2290»,«暦日2»,十二〳,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
«1760-2300»,«暦日0»,十三〳,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
«1760-2310»,«暦日2»,十四〳,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
