《1851-0000》,# カンマ区切りテキスト形式です。
《1851-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1851-2410》,《暦日2》,廿四／,つちのえさる,たつ,土,　,天しや よろつよし
《1851-2420》,《暦日0》,廿五／,つちのとのとり,のそく,,　,十し
《1851-2430》,《暦日2》,廿六／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1851-2440》,《暦日0》,廿七／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1851-2450》,《暦日1》,廿八／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《1851-2460》,《節中》,処暑七月中今暁七時五分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《1851-2470》,《暦日1》,廿九／,みつのとのうし,とる,木,ま日,●
《1851-2480》,《暦日1》,卅／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1851-2490》,《月序》,八月,小,建,丁酉,斗宿　壁　水よう
《1851-2500》,《暦日1》,一／,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
《1851-2510》,《暦日2》,二／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1851-2520》,《暦日0》,三／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1851-2530》,《暦日2》,四／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1851-2540》,《暦日0》,五／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《1851-2550》,《暦日2》,六／,かのえさる,たつ,木,二百十日,大みやう くゑ日 ふく日 下しきみの時
《1851-2560》,《暦日0》,七／,かのとのとり,のそく,,　,十し
《1851-2570》,《暦日2》,八／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《1851-2580》,《暦日0》,九／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1851-2590》,《暦日2》,十／,きのえね,さたん,金,　,きしく 天おん ふく日  ふねのりよし
《1851-2600》,《暦日0》,十一／,きのとのうし,とる,,　,●
《1851-2610》,《暦日2》,十二／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
