《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2040》,《暦日2》,十九／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2050》,《暦日0》,廿／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2060》,《暦日2》,廿一／,かのえね,とる,土,　,きこ 下しきたつの時
《2070》,《暦日0》,廿二／,かのとのうし,とる,,　,●
《2080》,《節中》,立秋七月せついぬの七刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《2090》,《暦日2》,廿三／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2100》,《暦日0》,廿四／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2110》,《暦日2》,廿五／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2120》,《暦日0》,廿六／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2130》,《暦日2》,廿七／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2140》,《暦日0》,廿八／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2150》,《暦日2》,廿九／,つちのえさる,たつ,土,　,天しや よろつよし
《2160》,《暦日0》,卅／,つちのとのとり,のそく,,　,十し
《2170》,《月序》,七月,小,建,甲申,箕宿　胃　土よう
《2180》,《暦日2》,一／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《2190》,《暦日0》,二／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《2200》,《暦日2》,三／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2210》,《暦日0》,四／,みつのとのうし,とる,,ま日,●
《2220》,《暦日2》,五／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2230》,《暦日0》,六／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2240》,《暦日2》,七／,ひのえたつ,なる,土,ま日,きしく 大みやう 母倉 ちいみ  くさかりよし
