《1865-0000》,# カンマ区切りテキスト形式です。
《1865-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1865-0020》,# ・表の区画内での改行は“/”で表記します。
《1865-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1865-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1865-0050》,# 外部リンク
《1865-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546787/105 ～ 114
《1865-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1865g　(GitHub上データを表成型)
《1865-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1865h　(翻刻編集データを表成型 - 未実装)
《1865-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1865-0100》,《版元》,出版地○○,出版元□□□,　
《1865-1330》,《暦日2》,十四／,つちのえとら,おさん,土,　,母倉 めつもん  たねまき  つめとりよし
《1865-1340》,《暦日0》,十五／,つちのとのう,ひらく,,　,神よし 大みやう 天おん 母倉  入学よし
《1865-1350》,《暦日2》,十六／,かのえたつ,とつ,金,　,天おん 月とく  けんふくよし
《1865-1360》,《暦日0》,十七／,かのとのみ,たつ,,　,●
《1865-1370》,《暦日2》,十八／,みつのえむま,のそく,木,　,大みやう 天おん ふく日 わうまう
《1865-1380》,《暦日0》,十九／,みつのとのひつし,みつ,,　,くゑ日
《1865-1390》,《暦日2》,廿／,きのえさる,たいら,水,十方くれニ入,神よし 大みやう ちいみ 大くわ 地火
《1865-1400》,《暦日0》,廿一／,きのとのとり,さたん,,　,十し
《1865-1410》,《暦日2》,廿二／,ひのえいぬ,とる,土,　,五む日 ふく日  くさかりよし
《1865-1420》,《暦日0》,廿三／,ひのとのい,やふる,,　,大みやう ちう日
《1865-1430》,《暦日2》,廿四／,つちのえね,あやふ,火,　, けんふくよし
《1865-1440》,《暦日0》,廿五／,つちのとのうし,なる,,　,きこ  つめとりよし
《1865-1450》,《暦日2》,廿六／,かのえとら,おさん,木,　,さい下しき 母倉 月とく めつもん  さひらき  つめとりよし
《1865-1460》,《暦日0》,廿七／,かのとのう,ひらく,,　,神よし 母倉  やたて ものたちよし
《1865-1470》,《節中》,小満四月中朝四時七分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1865-1480》,《暦日2》,廿八／,みつのえたつ,とつ,水,　,大みやう 五む日 ふく日
《1865-1490》,《暦日0》,廿九／,みつのとのみ,たつ,,天一天上,●
《1865-1500》,《暦日1》,卅／,きのえむま,のそく,金,　,天しや よろつよし
《1865-1510》,《月序》,五月,小,建,壬午,心宿　井　木よう
《1865-1520》,《暦日1》,一／,きのとのひつし,みつ,金,　,大みやう 五む日 くゑ日
《1865-1530》,《暦日2》,二／,ひのえさる,たいら,火,　,神よし きしく ちいみ 大くわ ふく日 地火  入学よし
《1865-1540》,《暦日0》,三／,ひのとのとり,さたん,,　,十し
《1865-1550》,《暦日2》,四／,つちのえいぬ,とる,木,　, くらたて かまぬりよし
《1865-1560》,《暦日0》,五／,つちのとのい,やふる,,　,くゑ日 ちう日
《1865-1570》,《暦日2》,六／,かのえね,あやふ,土,　,神よし 月とく  わたまし たねまきよし
《1865-1580》,《暦日0》,七／,かのとのうし,なる,,　,五む日 きこ  つめとりよし
《1865-1590》,《暦日2》,八／,みつのえとら,おさん,金,　,大みやう 母倉 ふく日 めつもん  つめとりよし
《1865-1600》,《暦日0》,九／,みつのとのう,ひらく,,　,神よし 母倉  かといて さひらきよし
《1865-1610》,《暦日2》,十／,きのえたつ,とつ,火,　,大みやう
《1865-1620》,《暦日0》,十一／,きのとのみ,たつ,,　,●
《1865-1630》,《暦日2》,十二／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1865-1640》,《暦日0》,十三／,ひのとのひつし,のそく,,　,神よし ふく日
《1865-1650》,《節中》,芒種五月せつ今暁七時ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1865-1660》,《暦日2》,十四／,つちのえさる,みつ,土,　,神よし  入学よし
《1865-1670》,《暦日0》,十五／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1865-1680》,《暦日2》,十六／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1865-1690》,《暦日0》,十七／,かのとのい,とる,,　,神よし 大みやう 天おん 月とく ちう日  入学よし
《1865-1700》,《暦日2》,十八／,みつのえね,やふる,木,入梅/八せんのはしめ,●
《1865-1710》,《暦日0》,十九／,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
《1865-1720》,《暦日2》,廿／,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
《1865-1730》,《暦日0》,廿一／,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
《1865-1740》,《暦日2》,廿二／,ひのえたつ,ひらく,土,ま日,大みやう 月とく  けんふく いちたちよし
《1865-1750》,《暦日0》,廿三／,ひのとのみ,とつ,,　,十し
《1865-1760》,《暦日2》,廿四／,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
《1865-1770》,《暦日0》,廿五／,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
《1865-1780》,《暦日2》,廿六／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1865-1790》,《暦日0》,廿七／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1865-1800》,《暦日1》,廿八／,みつのえいぬ,さたん,水,ま日,わうまう  むきかりよし
《1865-1810》,《節中》,夏至五月中夕七時九分日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1865-1820》,《暦日1》,廿九／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1865-1830》,《月序》,閏五月,大,隨節用之,鬼　金よう
《1865-1840》,《暦日2》,一／,きのえね,やふる,金,　,●
《1865-1850》,《暦日0》,二／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1865-1860》,《暦日2》,三／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1865-1870》,《暦日0》,四／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1865-1880》,《暦日2》,五／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1865-1890》,《暦日0》,六／,つちのとのみ,とつ,,　,十し
《1865-1900》,《暦日2》,七／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1865-1910》,《暦日0》,八／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1865-1920》,《暦日2》,九／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1865-1930》,《暦日0》,十／,みつのとのとり,たいら,,はんけしやう,神よし 大みやう ふく日 めつもん 地火
《1865-1940》,《暦日2》,十一／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1865-1950》,《暦日0》,十二／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1865-1960》,《暦日2》,十三／,ひのえね,やふる,水,　,●
《1865-1970》,《暦日0》,十四／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1865-1980》,《暦日1》,十五／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1865-1990》,《節中》,小暑六月せつ昼九時五分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1865-2000》,《暦日1》,十六／,つちのとのう,なる,土,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1865-2010》,《暦日2》,十七／,かのえたつ,おさん,金,　,天おん めつもん  けんふくよし
《1865-2020》,《暦日0》,十八／,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
《1865-2030》,《暦日2》,十九／,みつのえむま,とつ,木,　,●
《1865-2040》,《暦日0》,廿／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1865-2050》,《暦日2》,廿一／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1865-2060》,《暦日0》,廿二／,きのとのとり,みつ,,　,神よし ちいみ
《1865-2070》,《暦日2》,廿三／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1865-2080》,《暦日0》,廿四／,ひのとのい,さたん,,　,大みやう ちう日
《1865-2090》,《暦日2》,廿五／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1865-2100》,《暦日0》,廿六／,つちのとのうし,やふる,,　,十し
《1865-2110》,《暦日2》,廿七／,かのえとら,あやふ,木,初伏/とよう夕七時二分ニ入,さい下しき 母倉  やたて  つめとりよし
《1865-2120》,《暦日0》,廿八／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1865-2130》,《暦日2》,廿九／,みつのえたつ,おさん,水,　,きしく 大みやう 五む日 めつもん
《1865-2140》,《暦日0》,卅／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《1865-2150》,《月序》,六月,小,建,癸未,尾宿　星　日よう
《1865-2160》,《暦日1》,一／,きのえむま,とつ,金,　,●
《1865-2170》,《節中》,大暑六月中明六時九分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1865-2180》,《暦日1》,二／,きのとのひつし,たつ,金,　,大みやう 五む日
《1865-2190》,《暦日2》,三／,ひのえさる,のそく,火,　,神よし
《1865-2200》,《暦日0》,四／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
