《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1880》,《暦日2》,三／,かのえむま,たつ,土,　,下しきうの時  むきかりよし
《1890》,《暦日0》,四／,かのとのひつし,のそく,,　,大みやう 月とく  ふねのり 井ほりよし
《1900》,《暦日2》,五／,みつのえさる,みつ,金,　,神よし 大みやう  くさかりよし
《1910》,《暦日0》,六／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1920》,《暦日2》,七／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1930》,《暦日0》,八／,きのとのい,とる,,はんけしやう,ちう日  むきかり 田うへよし
《1940》,《暦日2》,九／,ひのえね,やふる,水,　,●
《1950》,《暦日0》,十／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1960》,《暦日2》,十一／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1970》,《暦日0》,十二／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1980》,《暦日1》,十三／,かのえたつ,おさん,金,　,きしく 天おん めつもん  けんふくよし
《1990》,《節中》,小暑六月せつ夜五時二分ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《2000》,《暦日1》,十四／,かのとのみ,ひらく,金,　,天おん 母倉 ちう日  ものたちよし
《2010》,《暦日2》,十五／,みつのえむま,とつ,木,　,●
《2020》,《暦日0》,十六／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《2030》,《暦日2》,十七／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《2040》,《暦日0》,十八／,きのとのとり,みつ,,　,神よし ちいみ
《2050》,《暦日2》,十九／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《2060》,《暦日0》,廿／,ひのとのい,さたん,,　,大みやう ちう日
《2070》,《暦日2》,廿一／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《2080》,《暦日0》,廿二／,つちのとのうし,やふる,,　,十し
《2090》,《暦日2》,廿三／,かのえとら,あやふ,木,初伏,母倉  やたて  つめとりよし
《2100》,《暦日0》,廿四／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2110》,《暦日2》,廿五／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2120》,《暦日0》,廿六／,みつのとのみ,ひらく,,天一天上/とよう今暁九時四分ニ入,母倉 ちう日  いちたちよし
《2130》,《暦日2》,廿七／,きのえむま,とつ,金,　,●
《2140》,《暦日0》,廿八／,きのとのひつし,たつ,,　,大みやう 五む日
《2150》,《暦日1》,廿九／,ひのえさる,のそく,火,　,神よし
《2160》,《節中》,大暑六月中昼八時一分日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2170》,《暦日1》,卅／,ひのとのとり,みつ,火,　,神よし ちいみ  くさかりよし
《2180》,《月序》,七月,大,建,壬申,奎宿　室　火よう
《2190》,《暦日2》,一／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2200》,《暦日0》,二／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《2210》,《暦日2》,三／,かのえね,とる,土,中伏,きこ 下しきたつの時
《2220》,《暦日0》,四／,かのとのうし,やふる,,　,十し
《2230》,《暦日2》,五／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2240》,《暦日0》,六／,みつのとのう,なる,,　,天火 らうしやく わうまう
《2250》,《暦日2》,七／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《2260》,《暦日0》,八／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《2270》,《暦日2》,九／,ひのえむま,とつ,水,　,●
《2280》,《暦日0》,十／,ひのとのひつし,たつ,,　,くゑ日
《2290》,《暦日2》,十一／,つちのえさる,のそく,土,　,神よし きしく ふく日  たねまきよし
《2300》,《暦日0》,十二／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《2310》,《暦日2》,十三／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《2320》,《暦日0》,十四／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2330》,《暦日1》,十五／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2340》,《節中》,立秋七月せつ朝五時ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2350》,《暦日1》,十六／,みつのとのうし,とる,木,ま日,●
《2360》,《暦日2》,十七／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2370》,《暦日0》,十八／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2380》,《暦日2》,十九／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《2390》,《暦日0》,廿／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2400》,《暦日2》,廿一／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2410》,《暦日0》,廿二／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2420》,《暦日2》,廿三／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 わうまう 下しきみの時
《2430》,《暦日0》,廿四／,かのとのとり,のそく,,　,十し
《2440》,《暦日2》,廿五／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2450》,《暦日0》,廿六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2460》,《暦日2》,廿七／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2470》,《暦日0》,廿八／,きのとのうし,とる,,　,●
《2480》,《暦日2》,廿九／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2490》,《暦日0》,卅／,ひのとのう,あやふ,,　,さい下しき 神よし 天おん 月とく  わたましよし
《2500》,《節中》,処暑七月中夜五時四分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2510》,《月序》,閏七月,小,隨節用之,奎　木よう
《2520》,《暦日2》,一／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2530》,《暦日0》,二／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2540》,《暦日2》,三／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2550》,《暦日0》,四／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2560》,《暦日2》,五／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2570》,《暦日0》,六／,みつのとのとり,のそく,,　,十し
《2580》,《暦日2》,七／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2590》,《暦日0》,八／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2600》,《暦日2》,九／,ひのえね,さたん,水,二百十日,きしく  田かりよし
《2610》,《暦日0》,十／,ひのとのうし,とる,,　,●
《2620》,《暦日2》,十一／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2630》,《暦日0》,十二／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2640》,《暦日2》,十三／,かのえたつ,なる,金,　,天おん 母倉 ちいみ ふく日  かといてよし
《2650》,《暦日0》,十四／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《2660》,《暦日2》,十五／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2670》,《暦日0》,十六／,みつのとのひつし,ひらく,,　,●
《2680》,《節中》,白露八月せつ朝五時九分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2690》,《暦日2》,十七／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《2700》,《暦日0》,十八／,きのとのとり,たつ,,　,月とく ふく日 天火 らうしやく 下しきむまの時
《2710》,《暦日2》,十九／,ひのえいぬ,のそく,土,二百廿日,母倉 五む日 ちいみ
《2720》,《暦日0》,廿／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《2730》,《暦日2》,廿一／,つちのえね,たいら,火,　,大くわ 地火
《2740》,《暦日0》,廿二／,つちのとのうし,さたん,,　,母倉  かまぬり  つめとりよし
