《1752-0000》,# カンマ区切りテキスト形式です。
《1752-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1752-0020》,# ・表の区画内での改行は“/”で表記します。
《1752-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1752-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1752-0050》,# 外部リンク
《1752-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/33 ～ 38
《1752-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1752g　(GitHub上データを表成型)
《1752-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1752h　(翻刻編集データを表成型 - 未実装)
《1752-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1752-0100》,《版元》,出版地○○,出版元□□□,　
《1752-1540》,《暦日0》,三／,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
《1752-1550》,《暦日2》,四／,きのえね,やふる,金,　,●
《1752-1560》,《暦日0》,五／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1752-1570》,《暦日2》,六／,ひのえとら,なる,火,　,きこ  つめとりよし
《1752-1580》,《暦日0》,七／,ひのとのう,おさん,,　,ちいみ 大くわ ふく日
《1752-1590》,《暦日2》,八／,つちのえたつ,ひらく,木,　,五む日  かまぬり 田うへよし
《1752-1600》,《暦日0》,九／,つちのとのみ,とつ,,　,十し
《1752-1610》,《暦日1》,十／,かのえむま,たつ,土,　,わうまう 下しきうの時  むきかりよし
《1752-1620》,《節中》,夏至五月中とりの三刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1752-1630》,《暦日1》,十一／,かのとのひつし,のそく,土,　,大みやう  ふねのり 井ほりよし
《1752-1640》,《暦日2》,十二／,みつのえさる,みつ,金,　,神よし きしく 大みやう  くさかりよし
《1752-1650》,《暦日0》,十三／,みつのとのとり,たいら,,　,神よし 大みやう ふく日 めつもん 地火
《1752-1660》,《暦日2》,十四／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1752-1670》,《暦日0》,十五／,きのとのい,とる,,　,ちう日  むきかり 田うへよし
《1752-1680》,《暦日2》,十六／,ひのえね,やふる,水,　,●
《1752-1690》,《暦日0》,十七／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1752-1700》,《暦日2》,十八／,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
《1752-1710》,《暦日0》,十九／,つちのとのう,おさん,,　,大みやう ちいみ 大くわ
《1752-1720》,《暦日2》,廿／,かのえたつ,ひらく,金,はんけしやう, けんふく かといてよし
《1752-1730》,《暦日0》,廿一／,かのとのみ,とつ,,　,十し
《1752-1740》,《暦日2》,廿二／,みつのえむま,たつ,木,　,大みやう 下しきうの時
《1752-1750》,《暦日0》,廿三／,みつのとのひつし,のそく,,　,ふく日  田うへよし
《1752-1760》,《暦日2》,廿四／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1752-1770》,《暦日0》,廿五／,きのとのとり,みつ,,　,神よし ちいみ
《1752-1780》,《節中》,小暑六月せつ夜ねの初刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1752-1790》,《暦日2》,廿六／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1752-1800》,《暦日0》,廿七／,ひのとのい,さたん,,　,大みやう ちう日
《1752-1810》,《暦日2》,廿八／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1752-1820》,《暦日0》,廿九／,つちのとのうし,やふる,,　,十し
《1752-1830》,《月序》,六月,大,建,丁未,井宿　室　火よう
《1752-1840》,《暦日2》,一／,かのえとら,あやふ,木,初伏, やたて  つめとりよし
《1752-1850》,《暦日0》,二／,かのとのう,なる,,　,神よし 天火 らうしやく
《1752-1860》,《暦日2》,三／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1752-1870》,《暦日0》,四／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1752-1880》,《暦日2》,五／,きのえむま,とつ,金,　,●
《1752-1890》,《暦日0》,六／,きのとのひつし,たつ,,　,大みやう 五む日
《1752-1900》,《暦日2》,七／,ひのえさる,のそく,火,　,神よし
《1752-1910》,《暦日0》,八／,ひのとのとり,みつ,,とよう翌とらの初刻ニ入,さい下しき 神よし ちいみ  くさかりよし
《1752-1920》,《暦日2》,九／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1752-1930》,《暦日0》,十／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1752-1940》,《暦日1》,十一／,かのえね,とる,土,中伏,きしく きこ 下しきたつの時
《1752-1950》,《節中》,大暑六月中翌とらの五刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1752-1960》,《暦日1》,十二／,かのとのうし,やふる,土,　,十し
《1752-1970》,《暦日2》,十三／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1752-1980》,《暦日0》,十四／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1752-1990》,《暦日2》,十五／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1752-2000》,《暦日0》,十六／,きのとのみ,ひらく,,　,大みやう ちう日
《1752-2010》,《暦日2》,十七／,ひのえむま,とつ,水,　,●
《1752-2020》,《暦日0》,十八／,ひのとのひつし,たつ,,　,くゑ日
《1752-2030》,《暦日2》,十九／,つちのえさる,のそく,土,　,ふく日 わうまう  たねまきよし
《1752-2040》,《暦日0》,廿／,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
《1752-2050》,《暦日2》,廿一／,かのえいぬ,たいら,金,　,大みやう 大くわ 地火
《1752-2060》,《暦日0》,廿二／,かのとのい,さたん,,　,大みやう ちう日
《1752-2070》,《暦日2》,廿三／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1752-2080》,《暦日0》,廿四／,みつのとのうし,やふる,,ま日,十し
《1752-2090》,《暦日2》,廿五／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1752-2100》,《暦日0》,廿六／,きのとのう,なる,,　,神よし 天火 らうしやく
《1752-2110》,《暦日1》,廿七／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1752-2120》,《節中》,立秋七月せつみの二刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1752-2130》,《暦日1》,廿八／,ひのとのみ,おさん,土,　,大くわ ちう日  ものたちよし
《1752-2140》,《暦日2》,廿九／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1752-2150》,《暦日0》,卅／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1752-2160》,《月序》,七月,小,建,戊申,鬼宿　奎　木よう
《1752-2170》,《暦日2》,一／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《1752-2180》,《暦日0》,二／,かのとのとり,のそく,,　,十し
《1752-2190》,《暦日2》,三／,みつのえいぬ,みつ,水,ま日
《1752-2200》,《暦日0》,四／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1752-2210》,《暦日2》,五／,きのえね,さたん,金,　,ふく日 わうまう  ふねのりよし
《1752-2220》,《暦日0》,六／,きのとのうし,とる,,　,●
《1752-2230》,《暦日2》,七／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1752-2240》,《暦日0》,八／,ひのとのう,あやふ,,　,神よし  わたましよし
《1752-2250》,《暦日2》,九／,つちのえたつ,なる,木,　,きしく 五む日 ちいみ  いちたちよし
《1752-2260》,《暦日0》,十／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1752-2270》,《暦日2》,十一／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1752-2280》,《暦日0》,十二／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1752-2290》,《節中》,処暑七月中ひつしの七刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1752-2300》,《暦日2》,十三／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1752-2310》,《暦日0》,十四／,みつのとのとり,のそく,,　,十し
《1752-2320》,《暦日2》,十五／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1752-2330》,《暦日0》,十六／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1752-2340》,《暦日2》,十七／,ひのえね,さたん,水,　, 田かりよし
《1752-2350》,《暦日0》,十八／,ひのとのうし,とる,,　,●
《1752-2360》,《暦日2》,十九／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1752-2370》,《暦日0》,廿／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1752-2380》,《暦日2》,廿一／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1752-2390》,《暦日0》,廿二／,かのとのみ,おさん,,　,大くわ ちう日
《1752-2400》,《暦日2》,廿三／,みつのえむま,ひらく,木,二百十日,神よし 大みやう 天火 らうしやく
《1752-2410》,《暦日0》,廿四／,みつのとのひつし,とつ,,　
《1752-2420》,《暦日2》,廿五／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1752-2430》,《暦日0》,廿六／,きのとのとり,のそく,,　,十し
《1752-2440》,《暦日1》,廿七／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1752-2450》,《節中》,白露八月せついぬの四刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1752-2460》,《暦日1》,廿八／,ひのとのい,みつ,土,　,大みやう ちう日  入学よし
《1752-2470》,《暦日1》,廿九／,つちのえね,たいら,火,　,大くわ 地火
《1752-2480》,《月序》,八月,小,建,己酉,柳宿　婁　金よう
《1752-2490》,《暦日1》,一／,つちのとのうし,さたん,火,　, かまぬり  つめとりよし
《1752-2500》,《暦日2》,二／,かのえとら,とる,木,　,きこ  つめとりよし
《1752-2510》,《暦日0》,三／,かのとのう,やふる,,　,ふく日  田かりよし
《1752-2520》,《暦日2》,四／,みつのえたつ,あやふ,水,二百廿日,大みやう 五む日
《1752-2530》,《暦日0》,五／,みつのとのみ,なる,,天一天上,十し
《1752-2540》,《暦日2》,六／,きのえむま,おさん,金,　,めつもん
