《1734-0000》,# カンマ区切りテキスト形式です。
《1734-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1734-0020》,# ・表の区画内での改行は“/”で表記します。
《1734-1780》,《暦日2》,廿五／,かのえね,やふる,土,　,●
《1734-1790》,《暦日0》,廿六／,かのとのうし,あやふ,,　,神よし 五む日  つめとりよし
《1734-1800》,《暦日2》,廿七／,みつのえとら,なる,金,　,大みやう きこ  くさかり  つめとりよし
《1734-1810》,《暦日0》,廿八／,みつのとのう,おさん,,　,ちいみ 大くわ ふく日
《1734-1820》,《暦日1》,廿九／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1734-1830》,《月序》,六月,小,建,辛未,亢宿　斗　木よう
《1734-1840》,《暦日1》,一／,きのとのみ,とつ,火,　,十し
《1734-1850》,《暦日2》,二／,ひのえむま,たつ,水,はんけしやう,大みやう くゑ日 下しきうの時
《1734-1860》,《暦日0》,三／,ひのとのひつし,のそく,,　,神よし ふく日
《1734-1870》,《暦日2》,四／,つちのえさる,みつ,土,　,神よし  入学よし
《1734-1880》,《暦日0》,五／,つちのとのとり,たいら,,　,神よし 大みやう めつもん 地火
《1734-1890》,《暦日2》,六／,かのえいぬ,さたん,金,　,大みやう  かといてよし
《1734-1900》,《暦日0》,七／,かのとのい,さたん,,　,大みやう ちう日
《1734-1910》,《節中》,小暑六月せつひつしの六刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1734-1920》,《暦日2》,八／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1734-1930》,《暦日0》,九／,みつのとのうし,やふる,,ま日,十し
《1734-1940》,《暦日2》,十／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1734-1950》,《暦日0》,十一／,きのとのう,なる,,　,神よし 天火 らうしやく
《1734-1960》,《暦日2》,十二／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1734-1970》,《暦日0》,十三／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1734-1980》,《暦日2》,十四／,つちのえむま,とつ,火,ま日,●
《1734-1990》,《暦日0》,十五／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1734-2000》,《暦日2》,十六／,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
《1734-2010》,《暦日0》,十七／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1734-2020》,《暦日2》,十八／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1734-2030》,《暦日0》,十九／,みつのとのい,さたん,,八せんのおはり/とようとりの七刻ニ入,ちう日
