《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2810》,《暦日1》,卅／,かのえさる,とつ,木,　,神よし 大みやう 月とく  入学よし
《2820》,《月序》,閏八月,小,隨節用之,斗　木よう
《2830》,《暦日1》,一／,かのとのとり,たつ,木,　,大みやう くゑ日 ふく日 天火 らうしやく わうまう 下しきむまの時
《2840》,《暦日2》,二／,みつのえいぬ,のそく,水,ま日,母倉 ちいみ  たねまきよし
《2850》,《暦日0》,三／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《2860》,《暦日2》,四／,きのえね,たいら,金,　,天おん 大くわ 地火  わたましよし
《2870》,《暦日0》,五／,きのとのうし,さたん,,　,神よし 天おん 母倉 月とく ふく日  つめとりよし
《2880》,《暦日2》,六／,ひのえとら,とる,火,　,天おん きこ  つめとりよし
《2890》,《暦日0》,七／,ひのとのう,やふる,,　,天おん  田かりよし
《2900》,《暦日2》,八／,つちのえたつ,あやふ,木,　,天おん 母倉 五む日  みそすつくりよし
《2910》,《暦日0》,九／,つちのとのみ,なる,,　,十し
《2920》,《暦日2》,十／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2930》,《暦日0》,十一／,かのとのひつし,ひらく,,　,●
《2940》,《暦日2》,十二／,みつのえさる,とつ,金,　,神よし 大みやう
《2950》,《暦日0》,十三／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
