《1727-0000》,# カンマ区切りテキスト形式です。
《1727-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1727-2180》,《暦日2》,十三／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1727-2190》,《暦日0》,十四／,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
《1727-2200》,《暦日2》,十五／,かのえね,とる,土,　,きこ 下しきたつの時
《1727-2210》,《暦日0》,十六／,かのとのうし,やふる,,　,十し
《1727-2220》,《暦日2》,十七／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《1727-2230》,《暦日0》,十八／,みつのとのう,なる,,　,神よし 天火 らうしやく
《1727-2240》,《暦日2》,十九／,きのえたつ,おさん,火,　,大みやう めつもん  わたましよし
《1727-2250》,《暦日0》,廿／,きのとのみ,おさん,,立秋七月せつたつの六刻ニ入,神よし 大みやう 大くわ ちう日  けんふくよし
《1727-2260》,《暦日2》,廿一／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1727-2270》,《暦日0》,廿二／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1727-2280》,《暦日2》,廿三／,つちのえさる,たつ,土,　,天しや よろつよし
《1727-2290》,《暦日0》,廿四／,つちのとのとり,のそく,,　,十し
《1727-2300》,《暦日2》,廿五／,かのえいぬ,みつ,金,末伏,大みやう ふく日
《1727-2310》,《暦日0》,廿六／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1727-2320》,《暦日2》,廿七／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1727-2330》,《暦日0》,廿八／,みつのとのうし,とる,,ま日,●
《1727-2340》,《暦日1》,廿九／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1727-2350》,《月序》,七月,小,建,戊申,氐宿　昴　日よう
《1727-2360》,《暦日1》,一／,きのとのう,あやふ,水,　,神よし  くらたて かまぬりよし
《1727-2370》,《暦日2》,二／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1727-2380》,《暦日0》,三／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1727-2390》,《暦日2》,四／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1727-2400》,《暦日0》,五／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1727-2410》,《暦日2》,六／,かのえさる,たつ,木,七月中ひつしの三刻,さい下しき きしく 大みやう くゑ日 ふく日 下しきみの時
《1727-2420》,《暦日0》,七／,かのとのとり,のそく,,　,十し
《1727-2430》,《暦日2》,八／,みつのえいぬ,みつ,水,ま日
《1727-2440》,《暦日0》,九／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1727-2450》,《暦日2》,十／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1727-2460》,《暦日0》,十一／,きのとのうし,とる,,　,●
《1727-2470》,《暦日2》,十二／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1727-2480》,《暦日0》,十三／,ひのとのう,あやふ,,　,神よし  わたましよし
《1727-2490》,《暦日2》,十四／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1727-2500》,《暦日0》,十五／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1727-2510》,《暦日2》,十六／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1727-2520》,《暦日0》,十七／,かのとのひつし,とつ,,二百十日,大みやう  ものたちよし
《1727-2530》,《暦日2》,十八／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1727-2540》,《暦日0》,十九／,みつのとのとり,のそく,,　,十し
《1727-2550》,《暦日2》,廿／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1727-2560》,《暦日0》,廿一／,きのとのい,みつ,,八月せついぬの初刻ニ入,ちう日 ふく日  入学よし
