《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2650》,《暦日2》,十五／,かのえむま,おさん,土,　,月とく めつもん  竹木こりよし
《2660》,《暦日0》,十六／,かのとのひつし,ひらく,,　,●
《2670》,《暦日2》,十七／,みつのえさる,とつ,金,　,神よし 大みやう
《2680》,《暦日0》,十八／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《2690》,《暦日2》,十九／,きのえいぬ,のそく,火,　,母倉 ちいみ  竹木こりよし
《2700》,《暦日0》,廿／,きのとのい,みつ,,　,月とく ちう日 ふく日  入学よし
《2710》,《暦日2》,廿一／,ひのえね,たいら,水,　,大くわ 地火
《2720》,《暦日0》,廿二／,ひのとのうし,さたん,,　,神よし 大みやう 母倉  ものたち  つめとりよし
《2730》,《暦日2》,廿三／,つちのえとら,とる,土,　,きこ  田かり  つめとりよし
《2740》,《暦日0》,廿四／,つちのとのう,やふる,,　,大みやう 天おん
《2750》,《暦日1》,廿五／,かのえたつ,やふる,金,　,きしく 天おん
《2760》,《節中》,寒露九月せつ今暁うしの初刻ニ入日の出より日入まて,昼四十八刻/夜五十二刻,六より六まて,昼五十三刻/夜四十七刻
《2770》,《暦日1》,廿六／,かのとのみ,あやふ,金,　,天おん 母倉 月とく ちいみ ちう日 下しきひつしの時
《2780》,《暦日2》,廿七／,みつのえむま,なる,木,　,神よし 大みやう 天おん 母倉  けんふくよし
《2790》,《暦日0》,廿八／,みつのとのひつし,おさん,,　,天おん 大くわ  むきまき 田かりよし
《2800》,《暦日1》,廿九／,きのえさる,ひらく,水,十方くれニ入,大みやう
《2810》,《月序》,九月,小,建,丙戌,心宿　軫　水よう
《2820》,《暦日1》,一／,きのとのとり,とつ,水,　,神よし  田かりよし
《2830》,《暦日2》,二／,ひのえいぬ,たつ,土,　,さい下しき 母倉 月とく 五む日  竹木こりよし
《2840》,《暦日0》,三／,ひのとのい,のそく,,　,大みやう ちう日
《2850》,《暦日2》,四／,つちのえね,みつ,火,　,きこ ふく日 天火 らうしやく
《2860》,《暦日0》,五／,つちのとのうし,たいら,,　,十し
《2870》,《暦日2》,六／,かのえとら,さたん,木,　,●
《2880》,《暦日0》,七／,かのとのう,とる,,　,くゑ日
《2890》,《暦日2》,八／,みつのえたつ,やふる,水,とよううの一刻ニ入,大みやう 五む日 くゑ日
《2900》,《暦日0》,九／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
