《1826-0000》,# カンマ区切りテキスト形式です。
《1826-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1826-0020》,# ・表の区画内での改行は“/”で表記します。
《1826-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1826-1680》,《暦日2》,十五／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1826-1690》,《暦日0》,十六／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1826-1700》,《暦日1》,十七／,つちのえいぬ,さたん,木,　,わうまう  かまぬり 田うへよし
《1826-1710》,《節中》,夏至五月中とりの五刻日の出より日入まて,昼五十九刻半余/夜四十刻余,六より六まて,昼六十五刻半余/夜三十四刻余
《1826-1720》,《暦日1》,十八／,つちのとのい,とる,木,　,神よし ちう日
《1826-1730》,《暦日2》,十九／,かのえね,やふる,土,　,●
《1826-1740》,《暦日0》,廿／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1826-1750》,《暦日2》,廿一／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1826-1760》,《暦日0》,廿二／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1826-1770》,《暦日2》,廿三／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1826-1780》,《暦日0》,廿四／,きのとのみ,とつ,,　,十し
《1826-1790》,《暦日2》,廿五／,ひのえむま,たつ,水,　,大みやう くゑ日 下しきうの時
《1826-1800》,《暦日0》,廿六／,ひのとのひつし,のそく,,　,神よし ふく日
《1826-1810》,《暦日2》,廿七／,つちのえさる,みつ,土,はんけしやう,神よし  入学よし
《1826-1820》,《暦日0》,廿八／,つちのとのとり,たいら,,　,神よし 大みやう 天おん めつもん 地火
《1826-1830》,《暦日1》,廿九／,かのえいぬ,さたん,金,　,大みやう 天おん  かといてよし
《1826-1840》,《月序》,六月,大,建,乙未,壁宿　壁　水よう
《1826-1850》,《暦日1》,一／,かのとのい,とる,金,　,さい下しき 神よし 大みやう 天おん 月とく ちう日  入学よし
《1826-1860》,《暦日2》,二／,みつのえね,やふる,木,八せんのはしめ,●
《1826-1870》,《暦日0》,三／,みつのとのうし,やふる,,ま日,十し
《1826-1880》,《節中》,小暑六月せつ今夜ねの二刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1826-1890》,《暦日2》,四／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1826-1900》,《暦日0》,五／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1826-1910》,《暦日2》,六／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1826-1920》,《暦日0》,七／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1826-1930》,《暦日2》,八／,つちのえむま,とつ,火,ま日,●
《1826-1940》,《暦日0》,九／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1826-1950》,《暦日2》,十／,かのえさる,のそく,木,初伏,神よし きしく 大みやう  くさかりよし
《1826-1960》,《暦日0》,十一／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1826-1970》,《暦日2》,十二／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1826-1980》,《暦日0》,十三／,みつのとのい,さたん,,八せんのおはり,ちう日
《1826-1990》,《暦日2》,十四／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1826-2000》,《暦日0》,十五／,きのとのうし,やふる,,　,十し
《1826-2010》,《暦日2》,十六／,ひのえとら,あやふ,火,とよう今暁とらの二刻ニ入,天おん  わたまし  つめとりよし
《1826-2020》,《暦日0》,十七／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1826-2030》,《暦日2》,十八／,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
《1826-2040》,《暦日0》,十九／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1826-2050》,《節中》,大暑六月中今暁とらの七刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1826-2060》,《暦日2》,廿／,かのえむま,とつ,土,中伏,●
《1826-2070》,《暦日0》,廿一／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1826-2080》,《暦日2》,廿二／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
