«1794-0000»,【 カンマ区切りテキスト形式です。】
«1794-1790»,«暦日1»,廿五〳,かのとのい,とる,金,　,神よし 大みやう 天おん 月とく ちう日  入学よし
«1794-1800»,«暦日2»,廿六〳,みつのえね,やふる,木,八せんのはしめ,●
«1794-1810»,«暦日0»,廿七〳,みつのとのうし,あやふ,,ま日,神よし 天おん ふく日  むきかり  つめとりよし
«1794-1820»,«暦日2»,廿八〳,きのえとら,なる,水,　,母倉 きこ  田うへ  つめとりよし
«1794-1830»,«暦日0»,廿九〳,きのとのう,おさん,,　,母倉 ちいみ 大くわ  ものたちよし
«1794-1840»,«月序»,六月,大,建,辛未,井宿　鬼　金よう
«1794-1850»,«暦日2»,一〳,ひのえたつ,ひらく,土,ま日,きしく 大みやう 月とく  けんふく いちたちよし
«1794-1860»,«暦日0»,二〳,ひのとのみ,とつ,,　,十し
«1794-1870»,«暦日2»,三〳,つちのえむま,たつ,火,ま日,くゑ日 下しきうの時
«1794-1880»,«暦日0»,四〳,つちのとのひつし,のそく,,　,神よし 大みやう  みそすつくり 田うへよし
«1794-1890»,«暦日2»,五〳,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
«1794-1900»,«暦日0»,六〳,かのとのとり,たいら,,はんけしやう,神よし 大みやう 月とく めつもん 地火
«1794-1910»,«暦日2»,七〳,みつのえいぬ,さたん,水,ま日, むきかりよし
«1794-1920»,«暦日0»,八〳,みつのとのい,とる,,八せんのおはり,ちう日 ふく日
«1794-1930»,«暦日2»,九〳,きのえね,やふる,金,　,●
«1794-1940»,«暦日0»,十〳,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
«1794-1950»,«暦日1»,十一〳,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
«1794-1960»,«節中»,小暑六月せつ今暁とらの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1794-1970»,«暦日1»,十二〳,ひのとのう,なる,火,　,さい下しき 神よし 天おん 天火 らうしやく
«1794-1980»,«暦日2»,十三〳,つちのえたつ,おさん,木,　,天おん 五む日 ふく日 めつもん
«1794-1990»,«暦日0»,十四〳,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
«1794-2000»,«暦日2»,十五〳,かのえむま,とつ,土,初伏,●
«1794-2010»,«暦日0»,十六〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1794-2020»,«暦日2»,十七〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1794-2030»,«暦日0»,十八〳,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
«1794-2040»,«暦日2»,十九〳,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
«1794-2050»,«暦日0»,廿〳,きのとのい,さたん,,　,ちう日
«1794-2060»,«暦日2»,廿一〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1794-2070»,«暦日0»,廿二〳,ひのとのうし,やふる,,　,十し
«1794-2080»,«暦日2»,廿三〳,つちのえとら,あやふ,土,とようたつの七刻ニ入,ふく日  たねまき  つめとりよし
«1794-2090»,«暦日0»,廿四〳,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
«1794-2100»,«暦日2»,廿五〳,かのえたつ,おさん,金,中伏,天おん めつもん  けんふくよし
«1794-2110»,«暦日0»,廿六〳,かのとのみ,ひらく,,　,天おん 母倉 ちう日  ものたちよし
«1794-2120»,«節中»,大暑六月中みの三刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1794-2130»,«暦日2»,廿七〳,みつのえむま,とつ,木,　,●
«1794-2140»,«暦日0»,廿八〳,みつのとのひつし,たつ,,　,天おん  たねまきよし
«1794-2150»,«暦日2»,廿九〳,きのえさる,のそく,水,十方くれニ入,神よし きしく 大みやう 月とく
«1794-2160»,«暦日0»,卅〳,きのとのとり,みつ,,　,神よし ちいみ
«1794-2170»,«月序»,七月,小,建,壬申,鬼宿　星　日よう
«1794-2180»,«暦日2»,一〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1794-2190»,«暦日0»,二〳,ひのとのい,さたん,,　,大みやう ちう日
«1794-2200»,«暦日2»,三〳,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
«1794-2210»,«暦日0»,四〳,つちのとのうし,やふる,,　,十し
«1794-2220»,«暦日2»,五〳,かのえとら,あやふ,木,　,母倉  やたて  つめとりよし
«1794-2230»,«暦日0»,六〳,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
«1794-2240»,«暦日2»,七〳,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
«1794-2250»,«暦日0»,八〳,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
«1794-2260»,«暦日2»,九〳,きのえむま,とつ,金,　,●
«1794-2270»,«暦日0»,十〳,きのとのひつし,たつ,,　,大みやう 五む日
«1794-2280»,«暦日1»,十一〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1794-2290»,«節中»,立秋七月せつひつしの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1794-2300»,«暦日1»,十二〳,ひのとのとり,のそく,火,　,十し
«1794-2310»,«暦日2»,十三〳,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
«1794-2320»,«暦日0»,十四〳,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
