《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《2840》,《暦日0》,十八／,つちのとのみ,あやふ,,九月中ねの七刻,神よし ちいみ ちう日 ふく日 下しきひつしの時
《2850》,《暦日2》,十九／,かのえむま,なる,土,　,神よし  みそすつくりよし
《2860》,《暦日0》,廿／,かのとのひつし,おさん,,　,大みやう 大くわ  たねまき 田かりよし
《2870》,《暦日2》,廿一／,みつのえさる,ひらく,金,　,大みやう  むきまきよし
《2880》,《暦日0》,廿二／,みつのとのとり,とつ,,　,神よし 大みやう
《2890》,《暦日2》,廿三／,きのえいぬ,たつ,火,　,くゑ日
《2900》,《暦日0》,廿四／,きのとのい,のそく,,　,ちう日  田かりよし
《2910》,《暦日2》,廿五／,ひのえね,みつ,水,　,きしく きこ 天火 らうしやく
《2920》,《暦日0》,廿六／,ひのとのうし,たいら,,　,十し
《2930》,《暦日2》,廿七／,つちのえとら,さたん,土,　,●
《2940》,《暦日0》,廿八／,つちのとのう,とる,,　,大みやう ふく日 わうまう  竹木こりよし
《2950》,《暦日1》,廿九／,かのえたつ,やふる,金,　
《2960》,《月序》,十月,大,建,辛亥,張宿　軫　水よう
《2970》,《暦日1》,一／,かのとのみ,あやふ,金,　,ちいみ ちう日 下しきひつしの時
《2980》,《暦日2》,二／,みつのえむま,なる,木,　,神よし 大みやう  けんふくよし
《2990》,《暦日0》,三／,みつのとのひつし,おさん,,　,大くわ  むきまき 田かりよし
《3000》,《暦日2》,四／,きのえさる,おさん,水,立冬十月せつうの四刻ニ入/十方くれニ入,●
《3010》,《暦日0》,五／,きのとのとり,ひらく,,　,十し
《3020》,《暦日2》,六／,ひのえいぬ,とつ,土,　,さい下しき 五む日 ふく日
《3030》,《暦日0》,七／,ひのとのい,たつ,,　,大みやう ちいみ ちう日 下しきさるの時
《3040》,《暦日2》,八／,つちのえね,のそく,火,　,くゑ日  たねまきよし
《3050》,《暦日0》,九／,つちのとのうし,みつ,,　,くゑ日 きこ
《3060》,《暦日2》,十／,かのえとら,たいら,木,　,大くわ 地火  かといて  つめとりよし
《3070》,《暦日0》,十一／,かのとのう,さたん,,　,神よし 天火 らうしやく  ものたちよし
《3080》,《暦日2》,十二／,みつのえたつ,とる,水,　,大みやう 五む日 ふく日
《3090》,《暦日0》,十三／,みつのとのみ,やふる,,天一天上,ちう日 わうまう
《3100》,《暦日2》,十四／,きのえむま,あやふ,金,　,神よし  かまぬり むきまきよし
《3110》,《暦日0》,十五／,きのとのひつし,なる,,　,大みやう 五む日  みそさけつくり 木こりよし
《3120》,《暦日2》,十六／,ひのえさる,おさん,火,　,●
《3130》,《暦日0》,十七／,ひのとのとり,ひらく,,　,十し
《3140》,《暦日2》,十八／,つちのえいぬ,とつ,木,　,くゑ日
