《1731-0000》,# カンマ区切りテキスト形式です。
《1731-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1731-0020》,# ・表の区画内での改行は“/”で表記します。
《1731-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1731-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1731-0050》,# 外部リンク
《1731-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/133 ～ 138
《1731-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1731g　(GitHub上データを表成型)
《1731-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1731h　(翻刻編集データを表成型 - 未実装)
《1731-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1731-0100》,《版元》,出版地○○,出版元□□□,　
《1731-2120》,《暦日0》,廿八／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1731-2130》,《暦日2》,廿九／,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
《1731-2140》,《暦日0》,卅／,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1731-2150》,《月序》,七月,小,建,丙申,鬼宿　牛　金よう
《1731-2160》,《暦日2》,一／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1731-2170》,《暦日0》,二／,みつのとのい,さたん,,八せんのおはり,ちう日
《1731-2180》,《暦日2》,三／,きのえね,とる,金,　,きこ 下しきたつの時
《1731-2190》,《暦日0》,四／,きのとのうし,やふる,,　,十し
《1731-2200》,《暦日1》,五／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1731-2210》,《節中》,立秋七月せつたつの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1731-2220》,《暦日1》,六／,ひのとのう,あやふ,火,　,神よし  わたましよし
《1731-2230》,《暦日2》,七／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1731-2240》,《暦日0》,八／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1731-2250》,《暦日2》,九／,かのえむま,ひらく,土,末伏,神よし ふく日 天火 らうしやく
《1731-2260》,《暦日0》,十／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1731-2270》,《暦日2》,十一／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1731-2280》,《暦日0》,十二／,みつのとのとり,のそく,,　,十し
《1731-2290》,《暦日2》,十三／,きのえいぬ,みつ,火,　,ふく日 わうまう  くらたてよし
《1731-2300》,《暦日0》,十四／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1731-2310》,《暦日2》,十五／,ひのえね,さたん,水,　,きしく  田かりよし
《1731-2320》,《暦日0》,十六／,ひのとのうし,とる,,　,●
《1731-2330》,《暦日2》,十七／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1731-2340》,《暦日0》,十八／,つちのとのう,あやふ,,　,神よし 大みやう  みそすつくりよし
《1731-2350》,《暦日2》,十九／,かのえたつ,なる,金,　,ちいみ ふく日  かといてよし
《1731-2360》,《暦日0》,廿／,かのとのみ,おさん,,　,大くわ ちう日
《1731-2370》,《節中》,処暑七月中ひつしの初刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1731-2380》,《暦日2》,廿一／,みつのえむま,ひらく,木,　,神よし 大みやう 天火 らうしやく
《1731-2390》,《暦日0》,廿二／,みつのとのひつし,とつ,,　
《1731-2400》,《暦日2》,廿三／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1731-2410》,《暦日0》,廿四／,きのとのとり,のそく,,　,十し
《1731-2420》,《暦日2》,廿五／,ひのえいぬ,みつ,土,　,五む日
《1731-2430》,《暦日0》,廿六／,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
《1731-2440》,《暦日2》,廿七／,つちのえね,さたん,火,　, けんふく くさかりよし
《1731-2450》,《暦日0》,廿八／,つちのとのうし,とる,,　,●
《1731-2460》,《暦日1》,廿九／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1731-2470》,《月序》,八月,大,建,丁酉,柳宿　女　土よう
《1731-2480》,《暦日1》,一／,かのとのう,あやふ,木,　,神よし
《1731-2490》,《暦日2》,二／,みつのえたつ,なる,水,二百十日,大みやう 五む日 ちいみ
《1731-2500》,《暦日0》,三／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1731-2510》,《暦日2》,四／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1731-2520》,《暦日0》,五／,きのとのひつし,とつ,,　,大みやう 五む日
《1731-2530》,《暦日1》,六／,ひのえさる,とつ,火,　,神よし
《1731-2540》,《節中》,白露八月せつとりの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1731-2550》,《暦日1》,七／,ひのとのとり,たつ,火,　,天火 らうしやく 下しきむまの時
