«1735-0000»,【 カンマ区切りテキスト形式です。】
«1735-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1735-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1735-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1735-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1735-0050»,【 外部リンク　】
«1735-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/156 ～ 160】
«1735-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1735h　(翻刻編集終了データを表成型して表示します)】
«1735-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1735ht (翻刻編集中データを表成型して表示します)】
«1735-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1735-0100»,«版元»,出版地○○,出版元□□□,　
«1735-1960»,«暦日2»,十一〳,かのえいぬ,さたん,金,　,大みやう  かといてよし
«1735-1970»,«暦日0»,十二〳,かのとのい,とる,,はんけしやう,神よし 大みやう ちう日  入学よし
«1735-1980»,«暦日2»,十三〳,みつのえね,やふる,木,八せんのはしめ,●
«1735-1990»,«暦日0»,十四〳,みつのとのうし,あやふ,,ま日,神よし ふく日  むきかり  つめとりよし
«1735-2000»,«暦日2»,十五〳,きのえとら,なる,水,　,きこ  田うへ  つめとりよし
«1735-2010»,«暦日0»,十六〳,きのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1735-2020»,«暦日1»,十七〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1735-2030»,«節中»,小暑六月せついぬの六刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1735-2040»,«暦日1»,十八〳,ひのとのみ,ひらく,土,　,くゑ日 ちう日
«1735-2050»,«暦日2»,十九〳,つちのえむま,とつ,火,ま日,●
«1735-2060»,«暦日0»,廿〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1735-2070»,«暦日2»,廿一〳,かのえさる,のそく,木,　,神よし 大みやう  くさかりよし
«1735-2080»,«暦日0»,廿二〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1735-2090»,«暦日2»,廿三〳,みつのえいぬ,たいら,水,ま日,大くわ 地火
«1735-2100»,«暦日0»,廿四〳,みつのとのい,さたん,,八せんのおはり,ちう日
«1735-2110»,«暦日2»,廿五〳,きのえね,とる,金,　,きしく きこ 下しきたつの時
«1735-2120»,«暦日0»,廿六〳,きのとのうし,やふる,,　,十し
«1735-2130»,«暦日2»,廿七〳,ひのえとら,あやふ,火,　, わたまし  つめとりよし
«1735-2140»,«暦日0»,廿八〳,ひのとのう,なる,,　,神よし 天火 らうしやく
«1735-2150»,«暦日1»,廿九〳,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
«1735-2160»,«月序»,六月,小,建,癸未,壁宿　軫　水よう
«1735-2170»,«暦日1»,一〳,つちのとのみ,ひらく,木,とようねの六刻ニ入,くゑ日 ちう日 ふく日
«1735-2180»,«暦日2»,二〳,かのえむま,とつ,土,初伏,●
«1735-2190»,«暦日0»,三〳,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
«1735-2200»,«暦日1»,四〳,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
«1735-2210»,«節中»,大暑六月中うしの二刻日の出より日入まて,昼五十八刻余|夜四十一刻余,六より六まて,昼六十三刻余|夜三十六刻余
«1735-2220»,«暦日1»,五〳,みつのとのとり,みつ,金,　,神よし 大みやう ちいみ  みそすつくりよし
«1735-2230»,«暦日2»,六〳,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
«1735-2240»,«暦日0»,七〳,きのとのい,さたん,,　,ちう日
«1735-2250»,«暦日2»,八〳,ひのえね,とる,水,　,きこ 下しきたつの時
«1735-2260»,«暦日0»,九〳,ひのとのうし,やふる,,　,十し
«1735-2270»,«暦日2»,十〳,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
«1735-2280»,«暦日0»,十一〳,つちのとのう,なる,,　,大みやう ふく日 天火 らうしやく わうまう
«1735-2290»,«暦日2»,十二〳,かのえたつ,おさん,金,中伏,めつもん  けんふくよし
«1735-2300»,«暦日0»,十三〳,かのとのみ,ひらく,,　,ちう日  ものたちよし
«1735-2310»,«暦日2»,十四〳,みつのえむま,とつ,木,　,●
«1735-2320»,«暦日0»,十五〳,みつのとのひつし,たつ,,　, たねまきよし
«1735-2330»,«暦日2»,十六〳,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
«1735-2340»,«暦日0»,十七〳,きのとのとり,みつ,,　,神よし ちいみ
«1735-2350»,«暦日2»,十八〳,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
«1735-2360»,«暦日0»,十九〳,ひのとのい,たいら,,　,大みやう ちう日 めつもん 地火
«1735-2370»,«節中»,立秋七月せつうの八刻ニ入日の出より日入まて,昼五十七刻余|夜四十二刻余,六より六まて,昼六十二刻余|夜三十七刻余
«1735-2380»,«暦日2»,廿〳,つちのえね,さたん,火,　, けんふく くさかりよし
«1735-2390»,«暦日0»,廿一〳,つちのとのうし,とる,,　,●
«1735-2400»,«暦日2»,廿二〳,かのえとら,やふる,木,末伏,ふく日  つめとりよし
«1735-2410»,«暦日0»,廿三〳,かのとのう,あやふ,,　,神よし
«1735-2420»,«暦日2»,廿四〳,みつのえたつ,なる,水,　,さい下しき きしく 大みやう 五む日 ちいみ
«1735-2430»,«暦日0»,廿五〳,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
«1735-2440»,«暦日2»,廿六〳,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
«1735-2450»,«暦日0»,廿七〳,きのとのひつし,とつ,,　,大みやう 五む日 わうまう
«1735-2460»,«暦日2»,廿八〳,ひのえさる,たつ,火,　,神よし 下しきみの時  入学よし
«1735-2470»,«暦日0»,廿九〳,ひのとのとり,のそく,,　,十し
«1735-2480»,«月序»,七月,大,建,甲申,奎宿　角　木よう
«1735-2490»,«暦日2»,一〳,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
