《1829-0000》,# カンマ区切りテキスト形式です。
《1829-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1829-0020》,# ・表の区画内での改行は“/”で表記します。
《1829-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1829-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1829-0050》,# 外部リンク
《1829-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546786/104 ～ 108
《1829-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1829g　(GitHub上データを表成型)
《1829-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1829h　(翻刻編集データを表成型 - 未実装)
《1829-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1829-0100》,《版元》,出版地○○,出版元□□□,　
《1829-1810》,《暦日2》,廿七／,かのえさる,みつ,木,　,神よし 大みやう  入学 むきかりよし
《1829-1820》,《暦日0》,廿八／,かのとのとり,たいら,,　,神よし 大みやう 月とく めつもん 地火
《1829-1830》,《暦日1》,廿九／,みつのえいぬ,さたん,水,ま日, むきかりよし
《1829-1840》,《月序》,六月,大,建,辛未,井宿　壁　水よう
《1829-1850》,《暦日1》,一／,みつのとのい,とる,水,八せんのおはり,ちう日 ふく日
《1829-1860》,《暦日2》,二／,きのえね,やふる,金,はんけしやう,●
《1829-1870》,《暦日0》,三／,きのとのうし,あやふ,,　,神よし 天おん  つめとりよし
《1829-1880》,《暦日2》,四／,ひのえとら,なる,火,　,天おん 母倉 月とく きこ  つめとりよし
《1829-1890》,《暦日0》,五／,ひのとのう,おさん,,　,天おん 母倉 ちいみ 大くわ ふく日
《1829-1900》,《暦日2》,六／,つちのえたつ,ひらく,木,　,天おん 五む日  かまぬり 田うへよし
《1829-1910》,《暦日0》,七／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1829-1920》,《節中》,小暑六月せつさるの八刻ニ入日の出より日入まて,昼五十九刻半/夜四十刻半,六より六まて,昼六十五刻余/夜三十四刻半余
《1829-1930》,《暦日2》,八／,かのえむま,とつ,土,　,●
《1829-1940》,《暦日0》,九／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1829-1950》,《暦日2》,十／,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
《1829-1960》,《暦日0》,十一／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1829-1970》,《暦日2》,十二／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1829-1980》,《暦日0》,十三／,きのとのい,さたん,,　,ちう日
《1829-1990》,《暦日2》,十四／,ひのえね,とる,水,　,きこ 下しきたつの時
《1829-2000》,《暦日0》,十五／,ひのとのうし,やふる,,　,十し
《1829-2010》,《暦日2》,十六／,つちのえとら,あやふ,土,　,ふく日  たねまき  つめとりよし
《1829-2020》,《暦日0》,十七／,つちのとのう,なる,,　,神よし 大みやう 天おん 月とく ふく日 天火 らうしやく
《1829-2030》,《暦日2》,十八／,かのえたつ,おさん,金,初伏,天おん めつもん  けんふくよし
《1829-2040》,《暦日0》,十九／,かのとのみ,ひらく,,とよういの初刻ニ入,天おん 母倉 ちう日  ものたちよし
《1829-2050》,《暦日2》,廿／,みつのえむま,とつ,木,　,●
《1829-2060》,《暦日0》,廿一／,みつのとのひつし,たつ,,　,天おん  たねまきよし
《1829-2070》,《暦日1》,廿二／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう 月とく
《1829-2080》,《節中》,大暑六月中いの五刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《1829-2090》,《暦日1》,廿三／,きのとのとり,みつ,水,　,神よし ちいみ
《1829-2100》,《暦日2》,廿四／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1829-2110》,《暦日0》,廿五／,ひのとのい,さたん,,　,大みやう ちう日
《1829-2120》,《暦日2》,廿六／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1829-2130》,《暦日0》,廿七／,つちのとのうし,やふる,,　,十し
《1829-2140》,《暦日2》,廿八／,かのえとら,あやふ,木,中伏,さい下しき 母倉  やたて  つめとりよし
《1829-2150》,《暦日0》,廿九／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1829-2160》,《暦日1》,卅／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん わうまう
《1829-2170》,《月序》,七月,小,建,壬申,鬼宿　婁　金よう
《1829-2180》,《暦日1》,一／,みつのとのみ,ひらく,水,天一天上,母倉 ちう日  いちたちよし
《1829-2190》,《暦日2》,二／,きのえむま,とつ,金,　,●
《1829-2200》,《暦日0》,三／,きのとのひつし,たつ,,　,大みやう 五む日
《1829-2210》,《暦日2》,四／,ひのえさる,のそく,火,　,神よし
《1829-2220》,《暦日0》,五／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《1829-2230》,《暦日2》,六／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《1829-2240》,《暦日0》,七／,つちのとのい,さたん,,　,月とく ちう日 ふく日  ふねのりよし
《1829-2250》,《暦日1》,八／,かのえね,さたん,土,末伏,神よし きしく ふく日
《1829-2260》,《節中》,立秋七月せつ今暁とらの一刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《1829-2270》,《暦日1》,九／,かのとのうし,とる,土,　,●
《1829-2280》,《暦日2》,十／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《1829-2290》,《暦日0》,十一／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1829-2300》,《暦日2》,十二／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1829-2310》,《暦日0》,十三／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1829-2320》,《暦日2》,十四／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1829-2330》,《暦日0》,十五／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《1829-2340》,《暦日2》,十六／,つちのえさる,たつ,土,　,天しや よろつよし
《1829-2350》,《暦日0》,十七／,つちのとのとり,のそく,,　,十し
《1829-2360》,《暦日2》,十八／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《1829-2370》,《暦日0》,十九／,かのとのい,たいら,,　,神よし 大みやう 天おん ちう日 めつもん 地火
《1829-2380》,《暦日2》,廿／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《1829-2390》,《暦日0》,廿一／,みつのとのうし,とる,,ま日,●
《1829-2400》,《暦日2》,廿二／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1829-2410》,《暦日0》,廿三／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1829-2420》,《節中》,処暑七月中たつの七刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《1829-2430》,《暦日2》,廿四／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
《1829-2440》,《暦日0》,廿五／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《1829-2450》,《暦日2》,廿六／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
