《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《2280》,《暦日2》,十／,かのえね,さたん,土,末伏,神よし ふく日
《2290》,《暦日0》,十一／,かのとのうし,とる,,　,●
《2300》,《暦日2》,十二／,みつのえとら,やふる,金,　,大みやう 月とく  やたて  つめとりよし
《2310》,《暦日0》,十三／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2320》,《暦日2》,十四／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2330》,《暦日0》,十五／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2340》,《暦日1》,十六／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2350》,《節中》,処暑七月中夜五時九分日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2360》,《暦日1》,十七／,ひのとのひつし,とつ,水,　,神よし 母倉 月とく  いちたちよし
《2370》,《暦日2》,十八／,つちのえさる,たつ,土,　,天しや よろつよし
《2380》,《暦日0》,十九／,つちのとのとり,のそく,,　,十し
《2390》,《暦日2》,廿／,かのえいぬ,みつ,金,　,大みやう 天おん 母倉 ふく日
《2400》,《暦日0》,廿一／,かのとのい,たいら,,　,さい下しき 神よし 大みやう 天おん ちう日 めつもん 地火
《2410》,《暦日2》,廿二／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2420》,《暦日0》,廿三／,みつのとのうし,とる,,ま日,●
《2430》,《暦日2》,廿四／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2440》,《暦日0》,廿五／,きのとのう,あやふ,,二百十日,神よし  くらたて かまぬりよし
《2450》,《暦日2》,廿六／,ひのえたつ,なる,土,ま日,大みやう 母倉 ちいみ  くさかりよし
