《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2830》,《節中》,秋分八月中いぬの一刻日の出より日入まて,昼五十刻/夜五十刻,六より六まて,昼五十五刻/夜四十五刻
《2840》,《暦日1》,三／,ひのとのとり,たつ,火,　,天火 らうしやく 下しきむまの時
《2850》,《暦日2》,四／,つちのえいぬ,のそく,木,社日/ひかんニなる,ちいみ わうまう  ふねのり 田かりよし
《2860》,《暦日0》,五／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2870》,《暦日2》,六／,かのえね,たいら,土,　,神よし 大くわ 地火
《2880》,《暦日0》,七／,かのとのうし,さたん,,　,神よし 五む日 ふく日  ものたち  つめとりよし
《2890》,《暦日2》,八／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2900》,《暦日0》,九／,みつのとのう,やふる,,　, くらたて 田かりよし
《2910》,《暦日2》,十／,きのえたつ,あやふ,火,　,大みやう  けんふく わたましよし
《2920》,《暦日0》,十一／,きのとのみ,なる,,　,十し
《2930》,《暦日2》,十二／,ひのえむま,おさん,水,　,大みやう めつもん
《2940》,《暦日0》,十三／,ひのとのひつし,ひらく,,　,●
《2950》,《暦日2》,十四／,つちのえさる,とつ,土,　,天しや よろつよし
《2960》,《暦日0》,十五／,つちのとのとり,たつ,,　,大みやう くゑ日 天火 らうしやく 下しきむまの時
《2970》,《暦日2》,十六／,かのえいぬ,のそく,金,　,大みやう ちいみ
《2980》,《暦日0》,十七／,かのとのい,みつ,,　,神よし 大みやう ちう日 ふく日
《2990》,《節中》,寒露九月せつ翌ねの七刻ニ入日の出より日入まて,昼四十七刻余/夜五十二刻余,六より六まて,昼五十二刻余/夜四十七刻余
