«1696-0000»,【 カンマ区切りテキスト形式です。】
«1696-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1696-1870»,«暦日2»,十四〳,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
«1696-1880»,«暦日0»,十五〳,つちのとのい,さたん,,　,ちう日 ふく日  ふねのりよし
«1696-1890»,«暦日2»,十六〳,かのえね,とる,土,初伏,きこ 下しきたつの時
«1696-1900»,«暦日0»,十七〳,かのとのうし,やふる,,　,十し
«1696-1910»,«暦日2»,十八〳,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
«1696-1920»,«暦日0»,十九〳,みつのとのう,なる,,　,神よし 天火 らうしやく
«1696-1930»,«暦日2»,廿〳,きのえたつ,おさん,火,とようひつしの六刻ニ入,大みやう めつもん  わたましよし
«1696-1940»,«暦日0»,廿一〳,きのとのみ,ひらく,,　,大みやう ちう日
«1696-1950»,«暦日2»,廿二〳,ひのえむま,とつ,水,　,●
«1696-1960»,«暦日0»,廿三〳,ひのとのひつし,たつ,,六月中さるの二刻,くゑ日
«1696-1970»,«暦日2»,廿四〳,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
«1696-1980»,«暦日0»,廿五〳,つちのとのとり,みつ,,　,神よし 大みやう ちいみ ふく日
«1696-1990»,«暦日2»,廿六〳,かのえいぬ,たいら,金,中伏,大みやう 大くわ 地火
«1696-2000»,«暦日0»,廿七〳,かのとのい,さたん,,　,大みやう ちう日
«1696-2010»,«暦日2»,廿八〳,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
«1696-2020»,«暦日0»,廿九〳,みつのとのうし,やふる,,ま日,十し
«1696-2030»,«暦日1»,卅〳,きのえとら,あやふ,水,　, やたて  つめとりよし
«1696-2040»,«月序»,七月,大,建,丙申,鬼宿　昴　日よう
«1696-2050»,«暦日1»,一〳,きのとのう,なる,水,　,天火 らうしやく わうまう
«1696-2060»,«暦日2»,二〳,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
«1696-2070»,«暦日0»,三〳,ひのとのみ,ひらく,,　,くゑ日 ちう日
«1696-2080»,«暦日2»,四〳,つちのえむま,とつ,火,ま日,●
«1696-2090»,«暦日0»,五〳,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
«1696-2100»,«暦日2»,六〳,かのえさる,のそく,木,　,神よし きしく 大みやう  くさかりよし
«1696-2110»,«暦日0»,七〳,かのとのとり,みつ,,　,神よし 大みやう ちいみ  ものたち 井ほりよし
«1696-2120»,«暦日2»,八〳,みつのえいぬ,みつ,水,立秋七月せついぬの七刻ニ入|ま日
«1696-2130»,«暦日0»,九〳,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
«1696-2140»,«暦日2»,十〳,きのえね,さたん,金,　,ふく日  ふねのりよし
«1696-2150»,«暦日0»,十一〳,きのとのうし,とる,,　,●
«1696-2160»,«暦日2»,十二〳,ひのえとら,やふる,火,　, けんふく  つめとりよし
«1696-2170»,«暦日0»,十三〳,ひのとのう,あやふ,,　,神よし  わたましよし
