《1790-0000》,# カンマ区切りテキスト形式です。
《1790-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1790-0020》,# ・表の区画内での改行は“/”で表記します。
《1790-0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《1790-0040》,# ・カンマ","を追加・削除すると、その行が表成型できない場合があります。
《1790-0050》,# 外部リンク
《1790-0060》,# ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546785/216 ～ 220
《1790-0070》,# ・hosi.org　 : http://hosi.org:3000/Note/1790g　(GitHub上データを表成型)
《1790-0080》,# 　　　　　　 　http://hosi.org:3000/Note/1790h　(翻刻編集データを表成型 - 未実装)
《1790-0090》,# 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png
《1790-0100》,《版元》,出版地○○,出版元□□□,　
《1790-1130》,《暦日1》,廿五／,きのとのみ,たつ,火,　,●
《1790-1140》,《暦日2》,廿六／,ひのえむま,のそく,水,　,大みやう くゑ日 ふく日
《1790-1150》,《暦日0》,廿七／,ひのとのひつし,みつ,,　,くゑ日
《1790-1160》,《暦日2》,廿八／,つちのえさる,たいら,土,　,神よし ちいみ 大くわ 地火
《1790-1170》,《暦日0》,廿九／,つちのとのとり,さたん,,　,十し
《1790-1180》,《暦日1》,卅／,かのえいぬ,とる,金,　,大みやう 天おん 月とく  やたて くさかりよし
《1790-1190》,《月序》,四月,大,建,辛巳,軫宿　亢　金よう
《1790-1200》,《暦日1》,一／,かのとのい,やふる,金,　,さい下しき 大みやう 天おん ちう日 わうまう  さひらきよし
《1790-1210》,《暦日2》,二／,みつのえね,あやふ,木,八せんのはしめ,神よし 天おん ふく日  くらたてよし
《1790-1220》,《暦日0》,三／,みつのとのうし,なる,,ま日,天おん きこ  つめとりよし
《1790-1230》,《暦日2》,四／,きのえとら,おさん,水,　,母倉 めつもん  つめとりよし
《1790-1240》,《暦日0》,五／,きのとのう,ひらく,,　,神よし 母倉 月とく  さひらきよし
《1790-1250》,《暦日2》,六／,ひのえたつ,とつ,土,ま日,大みやう ふく日
《1790-1260》,《暦日0》,七／,ひのとのみ,たつ,,　,●
《1790-1270》,《暦日2》,八／,つちのえむま,のそく,火,ま日,くゑ日
《1790-1280》,《暦日0》,九／,つちのとのひつし,みつ,,　,大みやう くゑ日
《1790-1290》,《節中》,小満四月中ひつしの二刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1790-1300》,《暦日2》,十／,かのえさる,たいら,木,　,神よし 大みやう 月とく ちいみ 大くわ 地火
《1790-1310》,《暦日0》,十一／,かのとのとり,さたん,,　,十し
《1790-1320》,《暦日2》,十二／,みつのえいぬ,とる,水,ま日,ふく日
《1790-1330》,《暦日0》,十三／,みつのとのい,やふる,,八せんのおはり,くゑ日 ちう日
《1790-1340》,《暦日2》,十四／,きのえね,あやふ,金,　,天おん
《1790-1350》,《暦日0》,十五／,きのとのうし,なる,,　,天おん 月とく きこ  かまぬり  つめとりよし
《1790-1360》,《暦日2》,十六／,ひのえとら,おさん,火,　,天おん 母倉 ふく日 めつもん  つめとりよし
《1790-1370》,《暦日0》,十七／,ひのとのう,ひらく,,　,神よし 天おん 母倉  わたましよし
《1790-1380》,《暦日2》,十八／,つちのえたつ,とつ,木,　,五む日 くゑ日
《1790-1390》,《暦日0》,十九／,つちのとのみ,たつ,,　,●
《1790-1400》,《暦日2》,廿／,かのえむま,のそく,土,　,神よし 月とく  さひらき みそすつくりよし
《1790-1410》,《暦日0》,廿一／,かのとのひつし,みつ,,　,大みやう くゑ日
《1790-1420》,《暦日2》,廿二／,みつのえさる,たいら,金,　,神よし きしく 大みやう ちいみ 大くわ ふく日 地火
《1790-1430》,《暦日0》,廿三／,みつのとのとり,さたん,,　,十し
《1790-1440》,《暦日1》,廿四／,きのえいぬ,さたん,火,　, わたまし くらたてよし
《1790-1450》,《節中》,芒種五月せつとりの七刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1790-1460》,《暦日1》,廿五／,きのとのい,とる,火,　,ちう日  むきかり 田うへよし
《1790-1470》,《暦日2》,廿六／,ひのえね,やふる,水,　,●
《1790-1480》,《暦日0》,廿七／,ひのとのうし,あやふ,,　,神よし 大みやう ふく日  ものたち  つめとりよし
《1790-1490》,《暦日2》,廿八／,つちのえとら,なる,土,　,母倉 きこ  みそすつくり  つめとりよし
《1790-1500》,《暦日0》,廿九／,つちのとのう,おさん,,　,大みやう 天おん 母倉 ちいみ 大くわ
《1790-1510》,《暦日1》,卅／,かのえたつ,ひらく,金,　,天おん  けんふく かといてよし
《1790-1520》,《月序》,五月,小,建,壬午,角宿　房　日よう
《1790-1530》,《暦日1》,一／,かのとのみ,とつ,金,　,十し
《1790-1540》,《暦日2》,二／,みつのえむま,たつ,木,入梅,大みやう 天おん 下しきうの時
《1790-1550》,《暦日0》,三／,みつのとのひつし,のそく,,　,天おん ふく日  田うへよし
《1790-1560》,《暦日2》,四／,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
《1790-1570》,《暦日0》,五／,きのとのとり,たいら,,　,神よし めつもん 地火
《1790-1580》,《暦日2》,六／,ひのえいぬ,さたん,土,　,月とく 五む日  むきかりよし
《1790-1590》,《暦日0》,七／,ひのとのい,とる,,　,大みやう ちう日 ふく日
《1790-1600》,《暦日2》,八／,つちのえね,やふる,火,　,●
《1790-1610》,《暦日0》,九／,つちのとのうし,あやふ,,　,わうまう  田うへ  つめとりよし
《1790-1620》,《節中》,夏至五月中今夜ねの四刻日の出より日入まて,昼六十刻/夜四十刻,六より六まて,昼六十五刻/夜三十五刻
《1790-1630》,《暦日2》,十／,かのえとら,なる,木,　,母倉 きこ  井ほり  つめとりよし
《1790-1640》,《暦日0》,十一／,かのとのう,おさん,,　,母倉 月とく ちいみ 大くわ  ものたちよし
《1790-1650》,《暦日2》,十二／,みつのえたつ,ひらく,水,　,大みやう 五む日
《1790-1660》,《暦日0》,十三／,みつのとのみ,とつ,,天一天上,十し
《1790-1670》,《暦日2》,十四／,きのえむま,たつ,金,　,天しや よろつよし
《1790-1680》,《暦日0》,十五／,きのとのひつし,のそく,,　,大みやう 五む日  むきかりよし
《1790-1690》,《暦日2》,十六／,ひのえさる,みつ,火,　,神よし 月とく  入学 いちたちよし
《1790-1700》,《暦日0》,十七／,ひのとのとり,たいら,,　,神よし ふく日 めつもん 地火
《1790-1710》,《暦日2》,十八／,つちのえいぬ,さたん,木,　, かまぬり 田うへよし
《1790-1720》,《暦日0》,十九／,つちのとのい,とる,,　,神よし ちう日
《1790-1730》,《暦日2》,廿／,かのえね,やふる,土,はんけしやう,●
《1790-1740》,《暦日0》,廿一／,かのとのうし,あやふ,,　,神よし 月とく 五む日  つめとりよし
《1790-1750》,《暦日2》,廿二／,みつのえとら,なる,金,　,大みやう 母倉 きこ  くさかり  つめとりよし
《1790-1760》,《暦日0》,廿三／,みつのとのう,おさん,,　,母倉 ちいみ 大くわ ふく日
《1790-1770》,《暦日2》,廿四／,きのえたつ,ひらく,火,　,大みやう  むきかり 田うへよし
《1790-1780》,《暦日0》,廿五／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1790-1790》,《節中》,小暑六月せつうの一刻ニ入日の出より日入まて,昼五十九刻余/夜四十刻余,六より六まて,昼六十四刻余/夜三十五刻余
《1790-1800》,《暦日2》,廿六／,ひのえむま,とつ,水,　,●
《1790-1810》,《暦日0》,廿七／,ひのとのひつし,たつ,,　,くゑ日
《1790-1820》,《暦日2》,廿八／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《1790-1830》,《暦日0》,廿九／,つちのとのとり,みつ,,　,神よし 大みやう 天おん 月とく ちいみ ふく日
《1790-1840》,《月序》,六月,大,建,癸未,亢宿　心　月よう
《1790-1850》,《暦日2》,一／,かのえいぬ,たいら,金,初伏,大みやう 天おん 大くわ 地火
《1790-1860》,《暦日0》,二／,かのとのい,さたん,,　,さい下しき 大みやう 天おん ちう日
《1790-1870》,《暦日2》,三／,みつのえね,とる,木,八せんのはしめ,天おん きこ 下しきたつの時
《1790-1880》,《暦日0》,四／,みつのとのうし,やふる,,ま日,十し
《1790-1890》,《暦日2》,五／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《1790-1900》,《暦日0》,六／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《1790-1910》,《暦日2》,七／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《1790-1920》,《暦日0》,八／,ひのとのみ,ひらく,,とようみの二刻ニ入,くゑ日 ちう日
《1790-1930》,《暦日2》,九／,つちのえむま,とつ,火,ま日,●
《1790-1940》,《暦日0》,十／,つちのとのひつし,たつ,,　,大みやう くゑ日 ふく日
《1790-1950》,《暦日1》,十一／,かのえさる,のそく,木,中伏,神よし 大みやう  くさかりよし
《1790-1960》,《節中》,大暑六月中みの六刻日の出より日入まて,昼五十八刻余/夜四十一刻余,六より六まて,昼六十三刻余/夜三十六刻余
《1790-1970》,《暦日1》,十二／,かのとのとり,みつ,木,　,神よし 大みやう ちいみ  ものたち 井ほりよし
《1790-1980》,《暦日2》,十三／,みつのえいぬ,たいら,水,ま日,大くわ 地火
《1790-1990》,《暦日0》,十四／,みつのとのい,さたん,,八せんのおはり,ちう日
《1790-2000》,《暦日2》,十五／,きのえね,とる,金,　,天おん 月とく きこ 下しきたつの時
《1790-2010》,《暦日0》,十六／,きのとのうし,やふる,,　,十し
《1790-2020》,《暦日2》,十七／,ひのえとら,あやふ,火,　,天おん  わたまし  つめとりよし
《1790-2030》,《暦日0》,十八／,ひのとのう,なる,,　,神よし 天おん 天火 らうしやく
《1790-2040》,《暦日2》,十九／,つちのえたつ,おさん,木,　,きしく 天おん 五む日 ふく日 めつもん わうまう
《1790-2050》,《暦日0》,廿／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1790-2060》,《暦日2》,廿一／,かのえむま,とつ,土,　,●
《1790-2070》,《暦日0》,廿二／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1790-2080》,《暦日2》,廿三／,みつのえさる,のそく,金,　,神よし 大みやう  くさかりよし
《1790-2090》,《暦日0》,廿四／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1790-2100》,《暦日2》,廿五／,きのえいぬ,たいら,火,　,月とく 大くわ 地火  わたましよし
《1790-2110》,《暦日0》,廿六／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1790-2120》,《節中》,立秋七月せつさるの三刻ニ入日の出より日入まて,昼五十七刻余/夜四十二刻余,六より六まて,昼六十二刻余/夜三十七刻余
《1790-2130》,《暦日2》,廿七／,ひのえね,さたん,水,　, 田かりよし
《1790-2140》,《暦日0》,廿八／,ひのとのうし,とる,,　,●
《1790-2150》,《暦日2》,廿九／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《1790-2160》,《暦日0》,卅／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《1790-2170》,《月序》,七月,小,建,甲申,氐宿　箕　水よう
《1790-2180》,《暦日2》,一／,かのえたつ,なる,金,末伏,天おん 母倉 ちいみ ふく日  かといてよし
《1790-2190》,《暦日0》,二／,かのとのみ,おさん,,　,天おん 大くわ ちう日
《1790-2200》,《暦日2》,三／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《1790-2210》,《暦日0》,四／,みつのとのひつし,とつ,,　,天おん 母倉 わうまう
《1790-2220》,《暦日2》,五／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《1790-2230》,《暦日0》,六／,きのとのとり,のそく,,　,十し
《1790-2240》,《暦日2》,七／,ひのえいぬ,みつ,土,　,母倉 五む日
《1790-2250》,《暦日0》,八／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《1790-2260》,《暦日2》,九／,つちのえね,さたん,火,　, けんふく くさかりよし
《1790-2270》,《暦日0》,十／,つちのとのうし,とる,,　,●
《1790-2280》,《暦日1》,十一／,かのえとら,やふる,木,　,ふく日  つめとりよし
《1790-2290》,《節中》,処暑七月中いぬの八刻日の出より日入まて,昼五十五刻余/夜四十四刻余,六より六まて,昼六十刻余/夜三十九刻余
《1790-2300》,《暦日1》,十二／,かのとのう,あやふ,木,　,神よし
《1790-2310》,《暦日2》,十三／,みつのえたつ,なる,水,　,大みやう 母倉 月とく 五む日 ちいみ
《1790-2320》,《暦日0》,十四／,みつのとのみ,おさん,,天一天上,大くわ ちう日  たねまきよし
《1790-2330》,《暦日2》,十五／,きのえむま,ひらく,金,　,神よし ふく日 天火 らうしやく  かといてよし
《1790-2340》,《暦日0》,十六／,きのとのひつし,とつ,,　,大みやう 母倉 五む日
《1790-2350》,《暦日2》,十七／,ひのえさる,たつ,火,　,神よし きしく 下しきみの時  入学よし
《1790-2360》,《暦日0》,十八／,ひのとのとり,のそく,,　,十し
《1790-2370》,《暦日2》,十九／,つちのえいぬ,みつ,木,　,母倉  くらたて かまぬりよし
《1790-2380》,《暦日0》,廿／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1790-2390》,《暦日2》,廿一／,かのえね,さたん,土,　,神よし ふく日
《1790-2400》,《暦日0》,廿二／,かのとのうし,とる,,　,●
《1790-2410》,《暦日2》,廿三／,みつのえとら,やふる,金,二百十日,大みやう 月とく  やたて  つめとりよし
《1790-2420》,《暦日0》,廿四／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1790-2430》,《暦日2》,廿五／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1790-2440》,《暦日0》,廿六／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1790-2450》,《暦日1》,廿七／,ひのえむま,おさん,水,　,大みやう めつもん
《1790-2460》,《節中》,白露八月せつ今暁うしの五刻ニ入日の出より日入まて,昼五十二刻余/夜四十七刻余,六より六まて,昼五十七刻余/夜四十二刻余
《1790-2470》,《暦日1》,廿八／,ひのとのひつし,ひらく,水,　,●
