《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《0030》,# ・《行番号》とその次のカラム(《暦首》など)は表成型に用いますので削除しないでください。
《2200》,《節中》,大暑六月中いぬの四刻日の出より日入まて,昼五十八刻余/夜四十一刻半余,六より六まて,昼六十四刻/夜三十六刻
《2210》,《暦日2》,六／,つちのえね,とる,火,　,きしく きこ ふく日 下しきたつの時
《2220》,《暦日0》,七／,つちのとのうし,やふる,,　,十し
《2230》,《暦日2》,八／,かのえとら,あやふ,木,中伏,さい下しき 母倉  やたて  つめとりよし
《2240》,《暦日0》,九／,かのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2250》,《暦日2》,十／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《2260》,《暦日0》,十一／,みつのとのみ,ひらく,,天一天上,母倉 ちう日  いちたちよし
《2270》,《暦日2》,十二／,きのえむま,とつ,金,　,●
《2280》,《暦日0》,十三／,きのとのひつし,たつ,,　,大みやう 五む日 わうまう
《2290》,《暦日2》,十四／,ひのえさる,のそく,火,　,神よし
《2300》,《暦日0》,十五／,ひのとのとり,みつ,,　,神よし ちいみ  くさかりよし
《2310》,《暦日1》,十六／,つちのえいぬ,たいら,木,　,大くわ ふく日 地火
《2320》,《食記》,月帯食
《2330》,《暦日1》,十七／,つちのとのい,さたん,木,　,月とく ちう日 ふく日  ふねのりよし
《2340》,《暦日2》,十八／,かのえね,とる,土,　,きこ 下しきたつの時
《2350》,《暦日0》,十九／,かのとのうし,やふる,,　,十し
《2360》,《暦日2》,廿／,みつのえとら,あやふ,金,　,大みやう  けんふく  つめとりよし
《2370》,《暦日0》,廿一／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《2380》,《節中》,立秋七月せつ今暁うしの一刻ニ入日の出より日入まて,昼五十六刻半余/夜四十三刻余,六より六まて,昼六十二刻余/夜三十七刻半余
《2390》,《暦日2》,廿二／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《2400》,《暦日0》,廿三／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《2410》,《暦日2》,廿四／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《2420》,《暦日0》,廿五／,ひのとのひつし,とつ,,　,神よし 母倉 月とく  いちたちよし
《2430》,《暦日2》,廿六／,つちのえさる,たつ,土,　,天しや よろつよし
《2440》,《暦日0》,廿七／,つちのとのとり,のそく,,　,十し
《2450》,《暦日2》,廿八／,かのえいぬ,みつ,金,末伏,大みやう 天おん 母倉 ふく日
《2460》,《暦日0》,廿九／,かのとのい,たいら,,　,大みやう 天おん ちう日 めつもん 地火 わうまう
《2470》,《暦日1》,卅／,みつのえね,さたん,木,八せんのはしめ,神よし 天おん 月とく  くらたてよし
《2480》,《月序》,七月,小,建,丙申,翼宿　觜　火よう
《2490》,《暦日1》,一／,みつのとのうし,とる,木,ま日,●
《2500》,《暦日2》,二／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《2510》,《暦日0》,三／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《2520》,《暦日2》,四／,ひのえたつ,なる,土,ま日,きしく 大みやう 母倉 ちいみ  くさかりよし
《2530》,《暦日0》,五／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2540》,《暦日1》,六／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2550》,《節中》,処暑七月中うの六刻日の出より日入まて,昼五十四刻半余/夜四十五刻余,六より六まて,昼六十刻/夜四十刻
《2560》,《暦日1》,七／,つちのとのひつし,とつ,火,　,神よし 大みやう 母倉  みそすつくりよし
《2570》,《暦日2》,八／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《2580》,《暦日0》,九／,かのとのとり,のそく,,　,十し
《2590》,《暦日2》,十／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2600》,《暦日0》,十一／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
