《1718-0000》,# カンマ区切りテキスト形式です。
《1718-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1718-2110》,《暦日2》,五／,みつのえね,とる,木,八せんのはしめ,きこ 下しきたつの時
《1718-2120》,《暦日0》,六／,みつのとのうし,やふる,,ま日,十し
《1718-2130》,《暦日2》,七／,きのえとら,あやふ,水,　, やたて  つめとりよし
《1718-2140》,《暦日0》,八／,きのとのう,なる,,　,神よし 天火 らうしやく
《1718-2150》,《暦日2》,九／,ひのえたつ,おさん,土,ま日,きしく 大みやう めつもん  けんふくよし
《1718-2160》,《暦日0》,十／,ひのとのみ,ひらく,,　,くゑ日 ちう日
《1718-2170》,《暦日2》,十一／,つちのえむま,ひらく,火,立秋七月せつとらの五刻ニ入/ま日,神よし 天火 らうしやく  入学よし
《1718-2180》,《暦日0》,十二／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1718-2190》,《暦日2》,十三／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《1718-2200》,《暦日0》,十四／,かのとのとり,のそく,,　,十し
《1718-2210》,《暦日2》,十五／,みつのえいぬ,みつ,水,ま日
《1718-2220》,《暦日0》,十六／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《1718-2230》,《暦日2》,十七／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1718-2240》,《暦日0》,十八／,きのとのうし,とる,,　,●
《1718-2250》,《暦日2》,十九／,ひのえとら,やふる,火,　,わうまう  けんふく  つめとりよし
《1718-2260》,《暦日0》,廿／,ひのとのう,あやふ,,　,神よし  わたましよし
《1718-2270》,《暦日2》,廿一／,つちのえたつ,なる,木,　,五む日 ちいみ  いちたちよし
《1718-2280》,《暦日0》,廿二／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《1718-2290》,《暦日2》,廿三／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《1718-2300》,《暦日0》,廿四／,かのとのひつし,とつ,,　,大みやう  ものたちよし
《1718-2310》,《暦日2》,廿五／,みつのえさる,たつ,金,　,神よし 大みやう 下しきみの時
《1718-2320》,《暦日0》,廿六／,みつのとのとり,のそく,,七月中みの二刻,十し
《1718-2330》,《暦日2》,廿七／,きのえいぬ,みつ,火,　,ふく日  くらたてよし
《1718-2340》,《暦日0》,廿八／,きのとのい,たいら,,　,ちう日 めつもん 地火
《1718-2350》,《暦日1》,廿九／,ひのえね,さたん,水,　, 田かりよし
《1718-2360》,《月序》,八月,小,建,辛酉,斗宿　婁　金よう
《1718-2370》,《暦日1》,一／,ひのとのうし,とる,水,　,●
