《0000》,# カンマ区切りテキスト形式です。
《0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《0020》,# ・表の区画内での改行は“/”で表記します。
《1970》,《暦日2》,十三／,きのえたつ,おさん,火,　,大みやう 月とく めつもん  わたましよし
《1980》,《暦日0》,十四／,きのとのみ,ひらく,,　,大みやう 母倉 ちう日
《1990》,《暦日2》,十五／,ひのえむま,とつ,水,　,●
《2000》,《暦日0》,十六／,ひのとのひつし,たつ,,　,くゑ日
《2010》,《暦日2》,十七／,つちのえさる,のそく,土,　,神よし ふく日  たねまきよし
《2020》,《暦日0》,十八／,つちのとのとり,みつ,,　,大みやう 天おん 月とく ちいみ ふく日 わうまう
《2030》,《暦日2》,十九／,かのえいぬ,たいら,金,　,大みやう 天おん 大くわ 地火
《2040》,《暦日0》,廿／,かのとのい,さたん,,　,大みやう 天おん ちう日
《2050》,《暦日2》,廿一／,みつのえね,とる,木,八せんのはしめ,きしく 天おん きこ 下しきたつの時
《2060》,《暦日0》,廿二／,みつのとのうし,やふる,,ま日,十し
《2070》,《暦日2》,廿三／,きのえとら,あやふ,水,　,母倉 月とく  やたて  つめとりよし
《2080》,《暦日0》,廿四／,きのとのう,なる,,　,神よし 母倉 天火 らうしやく
《2090》,《暦日2》,廿五／,ひのえたつ,おさん,土,ま日,大みやう めつもん  けんふくよし
《2100》,《暦日0》,廿六／,ひのとのみ,おさん,,　,月とく 大くわ ちう日  ものたちよし
《2110》,《節中》,立秋七月せつ昼九時四分ニ入日の出より日入まて,昼五十六刻半/夜四十三刻半,六より六まて,昼六十二刻/夜三十八刻
《2120》,《暦日2》,廿七／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《2130》,《暦日0》,廿八／,つちのとのひつし,とつ,,　,神よし 大みやう 母倉  みそすつくりよし
《2140》,《暦日2》,廿九／,かのえさる,たつ,木,末伏,大みやう くゑ日 ふく日 下しきみの時
《2150》,《暦日0》,卅／,かのとのとり,のそく,,　,十し
《2160》,《月序》,七月,小,建,甲申,翼宿　心　月よう
《2170》,《暦日2》,一／,みつのえいぬ,みつ,水,ま日,母倉 月とく
《2180》,《暦日0》,二／,みつのとのい,たいら,,八せんのおはり,ちう日 めつもん 地火
《2190》,《暦日2》,三／,きのえね,さたん,金,　,天おん ふく日  ふねのりよし
《2200》,《暦日0》,四／,きのとのうし,とる,,　,●
《2210》,《暦日2》,五／,ひのえとら,やふる,火,　,天おん  けんふく  つめとりよし
《2220》,《暦日0》,六／,ひのとのう,あやふ,,　,神よし 天おん 月とく  わたましよし
《2230》,《暦日2》,七／,つちのえたつ,なる,木,　,天おん 母倉 五む日 ちいみ  いちたちよし
《2240》,《暦日0》,八／,つちのとのみ,おさん,,　,神よし 大くわ ちう日
《2250》,《暦日2》,九／,かのえむま,ひらく,土,　,神よし ふく日 天火 らうしやく
《2260》,《暦日0》,十／,かのとのひつし,とつ,,　,大みやう 母倉  ものたちよし
《2270》,《暦日2》,十一／,みつのえさる,たつ,金,　,神よし 大みやう 月とく 下しきみの時
《2280》,《暦日0》,十二／,みつのとのとり,のそく,,　,十し
《2290》,《節中》,処暑七月中今暁七時日の出より日入まて,昼五十四刻半/夜四十五刻半,六より六まて,昼五十九刻半余/夜四十刻余
《2300》,《暦日2》,十三／,きのえいぬ,みつ,火,　,母倉 ふく日  くらたてよし
《2310》,《暦日0》,十四／,きのとのい,たいら,,　,ちう日 めつもん 地火
《2320》,《暦日2》,十五／,ひのえね,さたん,水,　, 田かりよし
《2330》,《暦日0》,十六／,ひのとのうし,とる,,　,●
《2340》,《暦日2》,十七／,つちのえとら,やふる,土,　, たねまき  つめとりよし
《2350》,《暦日0》,十八／,つちのとのう,あやふ,,　,神よし 大みやう 天おん  みそすつくりよし
《2360》,《暦日2》,十九／,かのえたつ,なる,金,　,きしく 天おん 母倉 ちいみ ふく日  かといてよし
《2370》,《暦日0》,廿／,かのとのみ,おさん,,二百十日,天おん 大くわ ちう日
《2380》,《暦日2》,廿一／,みつのえむま,ひらく,木,　,神よし 大みやう 天おん 月とく 天火 らうしやく
《2390》,《暦日0》,廿二／,みつのとのひつし,とつ,,　,天おん 母倉
《2400》,《暦日2》,廿三／,きのえさる,たつ,水,十方くれニ入,神よし 大みやう ふく日 下しきみの時
《2410》,《暦日0》,廿四／,きのとのとり,のそく,,　,十し
《2420》,《暦日2》,廿五／,ひのえいぬ,みつ,土,　,母倉 五む日
《2430》,《暦日0》,廿六／,ひのとのい,たいら,,　,大みやう 月とく ちう日 めつもん 地火
《2440》,《暦日1》,廿七／,つちのえね,たいら,火,　,大くわ 地火
《2450》,《節中》,白露八月せつ昼八時四分ニ入日の出より日入まて,昼五十二刻余/夜四十七刻半余,六より六まて,昼五十七刻半/夜四十二刻半
《2460》,《暦日1》,廿八／,つちのとのうし,さたん,火,　,母倉  かまぬり  つめとりよし
《2470》,《暦日1》,廿九／,かのえとら,とる,木,　,月とく きこ  つめとりよし
《2480》,《月序》,八月,大,建,乙酉,軫宿　尾　火よう
《2490》,《暦日1》,一／,かのとのう,やふる,木,二百廿日,ふく日  田かりよし
《2500》,《暦日2》,二／,みつのえたつ,あやふ,水,　,さい下しき 大みやう 母倉 五む日
《2510》,《暦日0》,三／,みつのとのみ,なる,,天一天上,十し
《2520》,《暦日2》,四／,きのえむま,おさん,金,　,めつもん
《2530》,《暦日0》,五／,きのとのひつし,ひらく,,　,●
《2540》,《暦日2》,六／,ひのえさる,とつ,火,　,神よし
《2550》,《暦日0》,七／,ひのとのとり,たつ,,　,天火 らうしやく 下しきむまの時
《2560》,《暦日2》,八／,つちのえいぬ,のそく,木,　,母倉 ちいみ  ふねのり 田かりよし
《2570》,《暦日0》,九／,つちのとのい,みつ,,　,神よし ちう日  いちたちよし
《2580》,《暦日2》,十／,かのえね,たいら,土,　,神よし 月とく 大くわ 地火
《2590》,《暦日0》,十一／,かのとのうし,さたん,,ひかんニなる,神よし 母倉 五む日 ふく日  ものたち  つめとりよし
《2600》,《暦日2》,十二／,みつのえとら,とる,金,　,大みやう きこ  やたて  つめとりよし
《2610》,《暦日0》,十三／,みつのとのう,やふる,,　, くらたて 田かりよし
《2620》,《暦日1》,十四／,きのえたつ,あやふ,火,　,大みやう 母倉  けんふく わたましよし
