«1745-0000»,【 カンマ区切りテキスト形式です。】
«1745-0010»,【 ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。】
«1745-0020»,【 ・表の区画内での改行は“|”で表記します。】
«1745-0030»,【 ・«行番号»とその次のカラム(«暦首»など)は表成型に用いますので削除しないでください。】
«1745-0040»,【 ・カンマ","を追加・削除すると、その行が表成型できない場合があります。】
«1745-0050»,【 外部リンク　】
«1745-0060»,【 ・国会図書館 : https://dl.ndl.go.jp/info:ndljp/pid/2546784/214 ～ 219】
«1745-0070»,【 ・hosi.org　 : http://hosi.org:3000/Note/1745h　(翻刻編集終了データを表成型して表示します)】
«1745-0080»,【 　　　　　　 　http://hosi.org:3000/Note/1745ht (翻刻編集中データを表成型して表示します)】
«1745-0090»,【 　変体仮名例 : https://github.com/suchowan/calendar_papers/blob/master/kanagoyomi/picture/hentaigana_example.png 】
«1745-0100»,«版元»,出版地○○,出版元□□□,　
«1745-1570»,«暦日0»,四〳,きのとのい,やふる,,　,ちう日
«1745-1580»,«暦日2»,五〳,ひのえね,あやふ,水,　,きしく ふく日  さひらきよし
«1745-1590»,«暦日0»,六〳,ひのとのうし,なる,,　,大みやう きこ  ものたち  つめとりよし
«1745-1600»,«暦日1»,七〳,つちのえとら,なる,土,　,きこ  みそすつくり  つめとりよし
«1745-1610»,«節中»,芒種五月せついぬの四刻ニ入日の出より日入まて,昼五十九刻余|夜四十刻余,六より六まて,昼六十四刻余|夜三十五刻余
«1745-1620»,«暦日1»,八〳,つちのとのう,おさん,土,　,大みやう ちいみ 大くわ
«1745-1630»,«暦日2»,九〳,かのえたつ,ひらく,金,　, けんふく かといてよし
«1745-1640»,«暦日0»,十〳,かのとのみ,とつ,,　,十し
«1745-1650»,«暦日2»,十一〳,みつのえむま,たつ,木,入梅,大みやう 下しきうの時
«1745-1660»,«暦日0»,十二〳,みつのとのひつし,のそく,,　,ふく日  田うへよし
«1745-1670»,«暦日2»,十三〳,きのえさる,みつ,水,十方くれニ入,神よし 大みやう
«1745-1680»,«暦日0»,十四〳,きのとのとり,たいら,,　,神よし めつもん 地火
«1745-1690»,«暦日2»,十五〳,ひのえいぬ,さたん,土,　,五む日  むきかりよし
«1745-1700»,«暦日0»,十六〳,ひのとのい,とる,,　,大みやう ちう日 ふく日
«1745-1710»,«暦日2»,十七〳,つちのえね,やふる,火,　,●
«1745-1720»,«暦日0»,十八〳,つちのとのうし,あやふ,,　, 田うへ  つめとりよし
«1745-1730»,«暦日2»,十九〳,かのえとら,なる,木,　,さい下しき きこ  井ほり  つめとりよし
«1745-1740»,«暦日0»,廿〳,かのとのう,おさん,,　,ちいみ 大くわ  ものたちよし
«1745-1750»,«暦日2»,廿一〳,みつのえたつ,ひらく,水,　,大みやう 五む日
«1745-1760»,«暦日0»,廿二〳,みつのとのみ,とつ,,天一天上,十し
