《1690-0000》,# カンマ区切りテキスト形式です。
《1690-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1690-2190》,《暦日0》,十四／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1690-2200》,《暦日2》,十五／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日
《1690-2210》,《暦日0》,十六／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1690-2220》,《暦日2》,十七／,ひのえむま,ひらく,水,七月中さるの初刻,神よし 大みやう 天火 らうしやく  かといてよし
《1690-2230》,《暦日0》,十八／,ひのとのひつし,とつ,,　,さい下しき 神よし  いちたちよし
《1690-2240》,《暦日2》,十九／,つちのえさる,たつ,土,　,天しや よろつよし
《1690-2250》,《暦日0》,廿／,つちのとのとり,のそく,,　,十し
《1690-2260》,《暦日2》,廿一／,かのえいぬ,みつ,金,　,大みやう ふく日
《1690-2270》,《暦日0》,廿二／,かのとのい,たいら,,　,神よし 大みやう ちう日 めつもん 地火
《1690-2280》,《暦日2》,廿三／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1690-2290》,《暦日0》,廿四／,みつのとのうし,とる,,ま日,●
《1690-2300》,《暦日2》,廿五／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1690-2310》,《暦日0》,廿六／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1690-2320》,《暦日2》,廿七／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1690-2330》,《暦日0》,廿八／,ひのとのみ,おさん,,二百十日,大くわ ちう日  ものたちよし
《1690-2340》,《暦日1》,廿九／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1690-2350》,《月序》,八月,小,建,乙酉,斗宿　昴　日よう
《1690-2360》,《暦日1》,一／,つちのとのひつし,とつ,火,　,大みやう
《1690-2370》,《食記》,日そく四分
《1690-2380》,《暦日2》,二／,かのえさる,たつ,木,　,大みやう くゑ日 ふく日 下しきみの時
《1690-2390》,《暦日0》,三／,かのとのとり,たつ,,八月せついぬの六刻ニ入,大みやう くゑ日 ふく日 天火 らうしやく 下しきむまの時
《1690-2400》,《暦日2》,四／,みつのえいぬ,のそく,水,ま日,ちいみ  たねまきよし
《1690-2410》,《暦日0》,五／,みつのとのい,みつ,,八せんのおはり,ちう日  いちたちよし
《1690-2420》,《暦日2》,六／,きのえね,たいら,金,　,きしく 大くわ 地火  わたましよし
《1690-2430》,《暦日0》,七／,きのとのうし,さたん,,　,神よし ふく日  つめとりよし
《1690-2440》,《暦日2》,八／,ひのえとら,とる,火,　,きこ  つめとりよし
《1690-2450》,《暦日0》,九／,ひのとのう,やふる,,二百廿日, 田かりよし
《1690-2460》,《暦日2》,十／,つちのえたつ,あやふ,木,　,五む日  みそすつくりよし
《1690-2470》,《暦日0》,十一／,つちのとのみ,なる,,　,十し
《1690-2480》,《暦日2》,十二／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1690-2490》,《暦日0》,十三／,かのとのひつし,ひらく,,　,●
《1690-2500》,《暦日2》,十四／,みつのえさる,とつ,金,　,神よし 大みやう
《1690-2510》,《暦日0》,十五／,みつのとのとり,たつ,,　,大みやう 天火 らうしやく 下しきむまの時
《1690-2520》,《暦日1》,十六／,きのえいぬ,のそく,火,　,ちいみ
《1690-2530》,《食記》,月そく四分
《1690-2540》,《暦日1》,十七／,きのとのい,みつ,火,　,ちう日 ふく日  入学よし
《1690-2550》,《暦日2》,十八／,ひのえね,たいら,水,　,大くわ 地火
《1690-2560》,《暦日0》,十九／,ひのとのうし,さたん,,秋分八月中うしの二刻,神よし 大みやう  ものたち  つめとりよし
《1690-2570》,《暦日2》,廿／,つちのえとら,とる,土,社日,きこ わうまう  田かり  つめとりよし
《1690-2580》,《暦日0》,廿一／,つちのとのう,やふる,,ひかんニなる,大みやう
《1690-2590》,《暦日2》,廿二／,かのえたつ,あやふ,金,　
《1690-2600》,《暦日0》,廿三／,かのとのみ,なる,,　,十し
《1690-2610》,《暦日2》,廿四／,みつのえむま,おさん,木,　,大みやう めつもん
《1690-2620》,《暦日0》,廿五／,みつのとのひつし,ひらく,,　,●
《1690-2630》,《暦日2》,廿六／,きのえさる,とつ,水,十方くれニ入,神よし 大みやう  竹木こり 田かりよし
《1690-2640》,《暦日0》,廿七／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1690-2650》,《暦日2》,廿八／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1690-2660》,《暦日0》,廿九／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1690-2670》,《月序》,九月,大,建,丙戌,牛宿　畢　月よう
《1690-2680》,《暦日2》,一／,つちのえね,たいら,火,　,大くわ 地火
《1690-2690》,《暦日0》,二／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1690-2700》,《暦日2》,三／,かのえとら,とる,木,　,きこ  つめとりよし
《1690-2710》,《暦日0》,四／,かのとのう,やふる,,　,ふく日  田かりよし
《1690-2720》,《暦日2》,五／,みつのえたつ,やふる,水,かん露九月せつうの八刻ニ入,きしく 大みやう 五む日 くゑ日
《1690-2730》,《暦日0》,六／,みつのとのみ,あやふ,,天一天上,くゑ日 ちいみ ちう日 下しきひつしの時
《1690-2740》,《暦日2》,七／,きのえむま,なる,金,　,くゑ日
《1690-2750》,《暦日0》,八／,きのとのひつし,おさん,,　,大みやう 五む日 くゑ日 大くわ
《1690-2760》,《暦日2》,九／,ひのえさる,ひらく,火,　,くゑ日
《1690-2770》,《暦日0》,十／,ひのとのとり,とつ,,　,くゑ日
《1690-2780》,《暦日2》,十一／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1690-2790》,《暦日0》,十二／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1690-2800》,《暦日2》,十三／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1690-2810》,《暦日0》,十四／,かのとのうし,たいら,,　,十し
《1690-2820》,《暦日2》,十五／,みつのえとら,さたん,金,　,●
《1690-2830》,《暦日0》,十六／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1690-2840》,《暦日2》,十七／,きのえたつ,やふる,火,とようむまの初刻ニ入,大みやう
《1690-2850》,《暦日0》,十八／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1690-2860》,《暦日2》,十九／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《1690-2870》,《暦日0》,廿／,ひのとのひつし,おさん,,九月中むまの四刻,さい下しき 神よし 大くわ  田かりよし
《1690-2880》,《暦日2》,廿一／,つちのえさる,ひらく,土,　,天しや よろつよし
《1690-2890》,《暦日0》,廿二／,つちのとのとり,とつ,,　,神よし 大みやう ふく日  たねまきよし
《1690-2900》,《暦日2》,廿三／,かのえいぬ,たつ,金,　,大みやう くゑ日
《1690-2910》,《暦日0》,廿四／,かのとのい,のそく,,　,神よし 大みやう ちう日  田かりよし
《1690-2920》,《暦日2》,廿五／,みつのえね,みつ,木,八せんのはしめ,神よし きこ 天火 らうしやく
