《1691-0000》,# カンマ区切りテキスト形式です。
《1691-0010》,# ・「みんなで翻刻」の各コマ編集では当該コマ外の行を削除してください。
《1691-1850》,《暦日2》,十／,きのえね,やふる,金,　,●
《1691-1860》,《暦日0》,十一／,きのとのうし,あやふ,,　,神よし  つめとりよし
《1691-1870》,《暦日2》,十二／,ひのえとら,あやふ,火,六月せつうの一刻ニ入, わたまし  つめとりよし
《1691-1880》,《暦日0》,十三／,ひのとのう,なる,,　,神よし 天火 らうしやく
《1691-1890》,《暦日2》,十四／,つちのえたつ,おさん,木,　,五む日 ふく日 めつもん
《1691-1900》,《暦日0》,十五／,つちのとのみ,ひらく,,　,くゑ日 ちう日 ふく日
《1691-1910》,《暦日2》,十六／,かのえむま,とつ,土,　,●
《1691-1920》,《暦日0》,十七／,かのとのひつし,たつ,,　,大みやう  かといて ふねのりよし
《1691-1930》,《暦日2》,十八／,みつのえさる,のそく,金,　,神よし きしく 大みやう  くさかりよし
《1691-1940》,《暦日0》,十九／,みつのとのとり,みつ,,　,神よし 大みやう ちいみ  みそすつくりよし
《1691-1950》,《暦日2》,廿／,きのえいぬ,たいら,火,　,大くわ 地火  わたましよし
《1691-1960》,《暦日0》,廿一／,きのとのい,さたん,,　,ちう日
《1691-1970》,《暦日2》,廿二／,ひのえね,とる,水,　,きこ 下しきたつの時
《1691-1980》,《暦日0》,廿三／,ひのとのうし,やふる,,　,十し
《1691-1990》,《暦日2》,廿四／,つちのえとら,あやふ,土,とようみの二刻ニ入,ふく日  たねまき  つめとりよし
《1691-2000》,《暦日0》,廿五／,つちのとのう,なる,,　,神よし 大みやう ふく日 天火 らうしやく
《1691-2010》,《暦日2》,廿六／,かのえたつ,おさん,金,初伏,めつもん  けんふくよし
《1691-2020》,《暦日0》,廿七／,かのとのみ,ひらく,,六月中みの六刻,ちう日  ものたちよし
《1691-2030》,《暦日2》,廿八／,みつのえむま,とつ,木,　,●
《1691-2040》,《暦日0》,廿九／,みつのとのひつし,たつ,,　, たねまきよし
《1691-2050》,《月序》,七月,大,建,丙申,畢宿　箕　水よう
《1691-2060》,《暦日2》,一／,きのえさる,のそく,水,十方くれニ入,神よし 大みやう
《1691-2070》,《暦日0》,二／,きのとのとり,みつ,,　,神よし ちいみ
《1691-2080》,《暦日2》,三／,ひのえいぬ,たいら,土,　,五む日 大くわ 地火
《1691-2090》,《暦日0》,四／,ひのとのい,さたん,,　,大みやう ちう日
《1691-2100》,《暦日2》,五／,つちのえね,とる,火,　,きこ ふく日 下しきたつの時
《1691-2110》,《暦日0》,六／,つちのとのうし,やふる,,　,十し
《1691-2120》,《暦日2》,七／,かのえとら,あやふ,木,中伏, やたて  つめとりよし
《1691-2130》,《暦日0》,八／,かのとのう,なる,,　,神よし 天火 らうしやく
《1691-2140》,《暦日2》,九／,みつのえたつ,おさん,水,　,大みやう 五む日 めつもん
《1691-2150》,《暦日0》,十／,みつのとのみ,ひらく,,天一天上,ちう日  いちたちよし
《1691-2160》,《暦日2》,十一／,きのえむま,とつ,金,　,●
《1691-2170》,《暦日0》,十二／,きのとのひつし,たつ,,　,大みやう 五む日
《1691-2180》,《暦日2》,十三／,ひのえさる,たつ,火,立秋七月せつさるの三刻ニ入,神よし 下しきみの時  入学よし
《1691-2190》,《暦日0》,十四／,ひのとのとり,のそく,,　,十し
《1691-2200》,《暦日2》,十五／,つちのえいぬ,みつ,木,　, くらたて かまぬりよし
《1691-2210》,《暦日0》,十六／,つちのとのい,たいら,,　,神よし ちう日 めつもん 地火
《1691-2220》,《暦日2》,十七／,かのえね,さたん,土,末伏,神よし きしく ふく日
《1691-2230》,《暦日0》,十八／,かのとのうし,とる,,　,●
《1691-2240》,《暦日2》,十九／,みつのえとら,やふる,金,　,大みやう  やたて  つめとりよし
《1691-2250》,《暦日0》,廿／,みつのとのう,あやふ,,　,神よし  わたまし みそすつくりよし
《1691-2260》,《暦日2》,廿一／,きのえたつ,なる,火,　,大みやう くゑ日 ちいみ ふく日 わうまう
《1691-2270》,《暦日0》,廿二／,きのとのみ,おさん,,　,神よし 大みやう 大くわ ちう日  けんふくよし
《1691-2280》,《暦日2》,廿三／,ひのえむま,ひらく,水,　,神よし 大みやう 天火 らうしやく  かといてよし
《1691-2290》,《暦日0》,廿四／,ひのとのひつし,とつ,,　,神よし  いちたちよし
《1691-2300》,《暦日2》,廿五／,つちのえさる,たつ,土,　,天しや よろつよし
《1691-2310》,《暦日0》,廿六／,つちのとのとり,のそく,,　,十し
《1691-2320》,《暦日2》,廿七／,かのえいぬ,みつ,金,　,大みやう ふく日
《1691-2330》,《暦日0》,廿八／,かのとのい,たいら,,七月中いの初刻,神よし 大みやう ちう日 めつもん 地火
《1691-2340》,《暦日2》,廿九／,みつのえね,さたん,木,八せんのはしめ,神よし  くらたてよし
《1691-2350》,《暦日0》,卅／,みつのとのうし,とる,,ま日,●
《1691-2360》,《月序》,八月,小,建,丁酉,觜宿　牛　金よう
《1691-2370》,《暦日2》,一／,きのえとら,やふる,水,　,ふく日  かといて  つめとりよし
《1691-2380》,《暦日0》,二／,きのとのう,あやふ,,　,神よし  くらたて かまぬりよし
《1691-2390》,《暦日2》,三／,ひのえたつ,なる,土,ま日,大みやう ちいみ  くさかりよし
《1691-2400》,《暦日0》,四／,ひのとのみ,おさん,,　,大くわ ちう日  ものたちよし
《1691-2410》,《暦日2》,五／,つちのえむま,ひらく,火,ま日,神よし 天火 らうしやく  入学よし
《1691-2420》,《暦日0》,六／,つちのとのひつし,とつ,,　,神よし 大みやう  みそすつくりよし
《1691-2430》,《暦日2》,七／,かのえさる,たつ,木,　,さい下しき 大みやう くゑ日 ふく日 下しきみの時
《1691-2440》,《暦日0》,八／,かのとのとり,のそく,,　,十し
《1691-2450》,《暦日2》,九／,みつのえいぬ,みつ,水,ま日
《1691-2460》,《暦日0》,十／,みつのとのい,たいら,,二百十日/八せんのおはり,ちう日 めつもん 地火
《1691-2470》,《暦日2》,十一／,きのえね,さたん,金,　,ふく日  ふねのりよし
《1691-2480》,《暦日0》,十二／,きのとのうし,とる,,　,●
《1691-2490》,《暦日2》,十三／,ひのえとら,やふる,火,　, けんふく  つめとりよし
《1691-2500》,《暦日0》,十四／,ひのとのう,やふる,,八月せつうしの五刻ニ入, 田かりよし
《1691-2510》,《暦日2》,十五／,つちのえたつ,あやふ,木,　,きしく 五む日  みそすつくりよし
《1691-2520》,《暦日0》,十六／,つちのとのみ,なる,,　,十し
《1691-2530》,《暦日2》,十七／,かのえむま,おさん,土,　,めつもん  竹木こりよし
《1691-2540》,《暦日0》,十八／,かのとのひつし,ひらく,,　,●
《1691-2550》,《暦日2》,十九／,みつのえさる,とつ,金,　,神よし 大みやう
《1691-2560》,《暦日0》,廿／,みつのとのとり,たつ,,二百廿日,大みやう 天火 らうしやく 下しきむまの時
《1691-2570》,《暦日2》,廿一／,きのえいぬ,のそく,火,　,ちいみ  竹木こりよし
《1691-2580》,《暦日0》,廿二／,きのとのい,みつ,,　,ちう日 ふく日  入学よし
《1691-2590》,《暦日2》,廿三／,ひのえね,たいら,水,　,大くわ 地火
《1691-2600》,《暦日0》,廿四／,ひのとのうし,さたん,,　,神よし 大みやう  ものたち  つめとりよし
《1691-2610》,《暦日2》,廿五／,つちのえとら,とる,土,社日,きこ  田かり  つめとりよし
《1691-2620》,《暦日0》,廿六／,つちのとのう,やふる,,　,大みやう
《1691-2630》,《暦日2》,廿七／,かのえたつ,あやふ,金,　
《1691-2640》,《暦日0》,廿八／,かのとのみ,なる,,　,十し
《1691-2650》,《暦日1》,廿九／,みつのえむま,おさん,木,秋分八月中たつの二刻,大みやう めつもん
《1691-2660》,《月序》,閏八月,小,女　土よう
《1691-2670》,《暦日1》,一／,みつのとのひつし,ひらく,木,　,●
《1691-2680》,《暦日2》,二／,きのえさる,とつ,水,ひかんニなる/十方くれニ入,大みやう わうまう  竹木こり 田かりよし
《1691-2690》,《暦日0》,三／,きのとのとり,たつ,,　,ふく日 天火 らうしやく 下しきむまの時
《1691-2700》,《暦日2》,四／,ひのえいぬ,のそく,土,　,五む日 ちいみ
《1691-2710》,《暦日0》,五／,ひのとのい,みつ,,　,大みやう ちう日  入学よし
《1691-2720》,《暦日2》,六／,つちのえね,たいら,火,　,大くわ 地火
《1691-2730》,《暦日0》,七／,つちのとのうし,さたん,,　, かまぬり  つめとりよし
《1691-2740》,《暦日2》,八／,かのえとら,とる,木,　,きこ  つめとりよし
《1691-2750》,《暦日0》,九／,かのとのう,やふる,,　,ふく日  田かりよし
《1691-2760》,《暦日2》,十／,みつのえたつ,あやふ,水,　,大みやう 五む日
《1691-2770》,《暦日0》,十一／,みつのとのみ,なる,,天一天上,十し
《1691-2780》,《暦日2》,十二／,きのえむま,おさん,金,　,めつもん
《1691-2790》,《暦日0》,十三／,きのとのひつし,ひらく,,　,●
《1691-2800》,《暦日2》,十四／,ひのえさる,とつ,火,　,神よし きしく
《1691-2810》,《暦日0》,十五／,ひのとのとり,とつ,,かん露九月せつむまの七刻ニ入,くゑ日
《1691-2820》,《暦日2》,十六／,つちのえいぬ,たつ,木,　,くゑ日 ふく日  田かりよし
《1691-2830》,《暦日0》,十七／,つちのとのい,のそく,,　,神よし ちう日 ふく日  むきまきよし
《1691-2840》,《暦日2》,十八／,かのえね,みつ,土,　,神よし きこ 天火 らうしやく
《1691-2850》,《暦日0》,十九／,かのとのうし,たいら,,　,十し
《1691-2860》,《暦日2》,廿／,みつのえとら,さたん,金,　,●
《1691-2870》,《暦日0》,廿一／,みつのとのう,とる,,　,神よし  けんふく かといてよし
《1691-2880》,《暦日2》,廿二／,きのえたつ,やふる,火,　,大みやう
《1691-2890》,《暦日0》,廿三／,きのとのみ,あやふ,,　,神よし 大みやう ちいみ ちう日 下しきひつしの時
《1691-2900》,《暦日2》,廿四／,ひのえむま,なる,水,　,神よし 大みやう  いちたちよし
《1691-2910》,《暦日0》,廿五／,ひのとのひつし,おさん,,　,神よし 大くわ  田かりよし
《1691-2920》,《暦日2》,廿六／,つちのえさる,ひらく,土,　,天しや よろつよし
